Var1,Var2
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,-0.000557376767319285
10,0.000389131440550465
11,0.00117465632900228
12,0.00104093912285838
13,-4.28224288382805e-05
14,-0.00124021178109252
15,-0.00149075600914272
16,-0.000457739127354889
17,0.00105297298717696
18,0.00167797260876017
19,0.000704891225848702
20,-0.00112343887574032
21,-0.00204828489864455
22,-0.000816312218230147
23,0.00192663094936114
24,0.00372928778191311
25,0.00221237931681811
26,-0.00254950849016564
27,-0.00721355619303786
28,-0.00713419655052691
29,-0.000186577656765663
30,0.0103444088057678
31,0.0165812585935767
32,0.0110417076596918
33,-0.00695968809196513
34,-0.0280432770953282
35,-0.0358907501047829
36,-0.016088213891888
37,0.0341317725800186
38,0.101481472576355
39,0.161140351397909
40,0.188499531172802
41,0.171768364255689
42,0.118188965673794
43,0.0502084049448044
44,-0.00613857430902381
45,-0.0339014879323822
46,-0.031923935405447
47,-0.0125135878420228
48,0.00751630166793537
49,0.0164870778161706
50,0.0126565095922878
51,0.00236525449070012
52,-0.00601534008982375
53,-0.0077954632326639
54,-0.00391034676177458
55,0.001246443424135
56,0.00371537141304732
57,0.00257947123664245
58,-0.000198244968840042
59,-0.00195593262029501
60,-0.00151069414823378
61,0.000267404344499448
62,0.00158207849753593
63,0.00134070824516659
64,-7.26019372343475e-05
65,-0.00134002339870238
66,-0.00142354677746207
67,-0.000376654756785744
68,0.000838759810237718
69,0.00124499141106099
70,0.000636888494458741
71,-0.000355334154110396
72,-0.0008852489780145
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
