              l [km] ;     r [bits/symbol] 
            0.000000 ;            0.473242 
            1.400000 ;            0.407993 
            2.800000 ;            0.355292 
            4.200000 ;            0.311989 
            5.600000 ;            0.275897 
            7.000000 ;            0.245450 
            8.400000 ;            0.219497 
            9.800000 ;            0.197174 
           11.200000 ;            0.177820 
           12.600000 ;            0.160923 
           14.000000 ;            0.146078 
           15.400000 ;            0.132964 
           16.800000 ;            0.121322 
           18.200000 ;            0.110939 
           19.600000 ;            0.101642 
           21.000000 ;            0.093287 
           22.400000 ;            0.085754 
           23.800000 ;            0.078942 
           25.200000 ;            0.072764 
           26.600000 ;            0.067148 
           28.000000 ;            0.062030 
           29.400000 ;            0.057357 
           30.800000 ;            0.053082 
           32.200000 ;            0.049165 
           33.600000 ;            0.045568 
           35.000000 ;            0.042262 
           36.400000 ;            0.039219 
           37.800000 ;            0.036413 
           39.200000 ;            0.033824 
           40.600000 ;            0.031432 
           42.000000 ;            0.029220 
           43.400000 ;            0.027173 
           44.800000 ;            0.025276 
           46.200000 ;            0.023517 
           47.600000 ;            0.021886 
           49.000000 ;            0.020370 
           50.400000 ;            0.018963 
           51.800000 ;            0.017654 
           53.200000 ;            0.016437 
           54.600000 ;            0.015304 
           56.000000 ;            0.014249 
           57.400000 ;            0.013266 
           58.800000 ;            0.012350 
           60.200000 ;            0.011496 
           61.600000 ;            0.010700 
           63.000000 ;            0.009957 
           64.400000 ;            0.009264 
           65.800000 ;            0.008617 
           67.200000 ;            0.008012 
           68.600000 ;            0.007448 
           70.000000 ;            0.006920 
           71.400000 ;            0.006428 
           72.800000 ;            0.005967 
           74.200000 ;            0.005537 
           75.600000 ;            0.005134 
           77.000000 ;            0.004757 
           78.400000 ;            0.004405 
           79.800000 ;            0.004076 
           81.200000 ;            0.003768 
           82.600000 ;            0.003479 
           84.000000 ;            0.003209 
           85.400000 ;            0.002957 
           86.800000 ;            0.002720 
           88.200000 ;            0.002499 
           89.600000 ;            0.002292 
           91.000000 ;            0.002098 
           92.400000 ;            0.001916 
           93.800000 ;            0.001746 
           95.200000 ;            0.001586 
           96.600000 ;            0.001437 
           98.000000 ;            0.001297 
           99.400000 ;            0.001166 
          100.800000 ;            0.001044 
          102.200000 ;            0.000929 
          103.600000 ;            0.000821 
          105.000000 ;            0.000720 
          106.400000 ;            0.000626 
          107.800000 ;            0.000537 
          109.200000 ;            0.000454 
          110.600000 ;            0.000376 
          112.000000 ;            0.000303 
          113.400000 ;            0.000235 
          114.800000 ;            0.000171 
          116.200000 ;            0.000111 
          117.600000 ;            0.000055 
          119.000000 ;            0.000002 
          120.400000 ;           -0.000000 
          121.800000 ;           -0.000000 
          123.200000 ;           -0.000000 
          124.600000 ;           -0.000000 
          126.000000 ;           -0.000000 
          127.400000 ;           -0.000000 
          128.800000 ;           -0.000000 
          130.200000 ;           -0.000000 
          131.600000 ;           -0.000000 
          133.000000 ;           -0.000000 
          134.400000 ;           -0.000000 
          135.800000 ;           -0.000000 
          137.200000 ;           -0.000000 
          138.600000 ;           -0.000000 
          140.000000 ;           -0.000000 
