,f,P
0,-200.0,-189.038486978301
1,-199.951171875,-187.18042721503903
2,-199.90234375,-188.4536036879875
3,-199.853515625,-187.2347102672485
4,-199.8046875,-188.13237692375625
5,-199.755859375,-186.12694091395736
6,-199.70703125,-184.89478327421824
7,-199.658203125,-187.67119024685877
8,-199.609375,-186.91850849766178
9,-199.560546875,-190.29230706559207
10,-199.51171875,-185.46431052659227
11,-199.462890625,-185.82549838569147
12,-199.4140625,-188.3910933163066
13,-199.365234375,-186.83501524173346
14,-199.31640625,-189.02706954534025
15,-199.267578125,-186.0174878415393
16,-199.21875,-184.67820995835262
17,-199.169921875,-190.13729000456738
18,-199.12109375,-188.20776754243485
19,-199.072265625,-189.67011602649268
20,-199.0234375,-187.66493902842856
21,-198.974609375,-186.35420792991616
22,-198.92578125,-188.23818378734535
23,-198.876953125,-185.74158923933726
24,-198.828125,-189.03666701857827
25,-198.779296875,-185.95151923894676
26,-198.73046875,-188.14260575671304
27,-198.681640625,-188.89643636225682
28,-198.6328125,-187.81948057564387
29,-198.583984375,-188.18116123656253
30,-198.53515625,-186.75476848379188
31,-198.486328125,-187.33791008378
32,-198.4375,-188.39889408634627
33,-198.388671875,-188.4386086290229
34,-198.33984375,-187.03340660342064
35,-198.291015625,-187.99678794091355
36,-198.2421875,-186.81258124855364
37,-198.193359375,-188.2429510395579
38,-198.14453125,-189.32826143131007
39,-198.095703125,-190.0953642369324
40,-198.046875,-187.7920603210239
41,-197.998046875,-187.66585906184056
42,-197.94921875,-188.25822711062233
43,-197.900390625,-188.36564424726865
44,-197.8515625,-186.43128914324052
45,-197.802734375,-185.3444056769088
46,-197.75390625,-185.80047383318734
47,-197.705078125,-187.18502475315825
48,-197.65625,-190.499980826136
49,-197.607421875,-188.99447997049245
50,-197.55859375,-186.8145228301128
51,-197.509765625,-188.93523273075118
52,-197.4609375,-184.3654222325224
53,-197.412109375,-187.4457671797768
54,-197.36328125,-189.20305704184025
55,-197.314453125,-185.4267610255074
56,-197.265625,-186.60828996302655
57,-197.216796875,-185.64408298310292
58,-197.16796875,-187.01180741776568
59,-197.119140625,-187.535837131198
60,-197.0703125,-186.1596531670621
61,-197.021484375,-187.1257709608341
62,-196.97265625,-187.49942696953133
63,-196.923828125,-188.30211309474313
64,-196.875,-187.37735916328376
65,-196.826171875,-188.94488630638858
66,-196.77734375,-188.81431585940535
67,-196.728515625,-187.61260564998543
68,-196.6796875,-187.6659156587781
69,-196.630859375,-186.65440913951292
70,-196.58203125,-185.32247554012665
71,-196.533203125,-187.92828822070487
72,-196.484375,-188.75776643514732
73,-196.435546875,-188.73162623480215
74,-196.38671875,-186.34559944036343
75,-196.337890625,-186.5537488152774
76,-196.2890625,-188.01379947026243
77,-196.240234375,-187.14752958098344
78,-196.19140625,-188.03834923170822
79,-196.142578125,-184.3568722226369
80,-196.09375,-185.7294211548982
81,-196.044921875,-185.31849250331285
82,-195.99609375,-187.51470362572235
83,-195.947265625,-187.02232099851867
84,-195.8984375,-185.2301594165727
85,-195.849609375,-186.4620712923441
86,-195.80078125,-185.85717817008904
87,-195.751953125,-185.30791609046844
88,-195.703125,-187.47257263625718
89,-195.654296875,-186.92938528429968
90,-195.60546875,-186.30317091522403
91,-195.556640625,-186.2559188560544
92,-195.5078125,-188.1063130824023
93,-195.458984375,-188.48822764208649
94,-195.41015625,-189.20705126688597
95,-195.361328125,-188.0582600351519
96,-195.3125,-187.12229513419624
97,-195.263671875,-187.87772131554212
98,-195.21484375,-186.9958330651551
99,-195.166015625,-187.56240831749997
100,-195.1171875,-191.2518677361424
101,-195.068359375,-188.93274199827152
102,-195.01953125,-189.01594851530768
103,-194.970703125,-187.15462180537227
104,-194.921875,-186.63106579370321
105,-194.873046875,-188.06584855905814
106,-194.82421875,-188.56980019981242
107,-194.775390625,-191.2893131926714
108,-194.7265625,-188.29073514408068
109,-194.677734375,-190.0308217415795
110,-194.62890625,-187.22028529075882
111,-194.580078125,-186.68763703562018
112,-194.53125,-186.95546289894222
113,-194.482421875,-188.611231117132
114,-194.43359375,-185.37623368657466
115,-194.384765625,-188.47571677790063
116,-194.3359375,-188.42172902675372
117,-194.287109375,-189.83585811923518
118,-194.23828125,-186.31097196335227
119,-194.189453125,-185.84730229586242
120,-194.140625,-187.1719701573652
121,-194.091796875,-188.9138221529437
122,-194.04296875,-188.12125250048933
123,-193.994140625,-186.75211723311497
124,-193.9453125,-189.09897340071709
125,-193.896484375,-189.45659652485713
126,-193.84765625,-188.1955221878575
127,-193.798828125,-189.2783752728462
128,-193.75,-186.61876444350867
129,-193.701171875,-187.4153545311078
130,-193.65234375,-189.95815904910665
131,-193.603515625,-187.48291426958895
132,-193.5546875,-187.08438918770486
133,-193.505859375,-188.16347407253954
134,-193.45703125,-185.24817415838947
135,-193.408203125,-189.7705295339118
136,-193.359375,-185.73632537011625
137,-193.310546875,-187.28850102382228
138,-193.26171875,-187.8506145109685
139,-193.212890625,-185.1125190162335
140,-193.1640625,-186.41081156921817
141,-193.115234375,-185.12433584746063
142,-193.06640625,-190.66709662471533
143,-193.017578125,-187.86262546124408
144,-192.96875,-187.00178661102106
145,-192.919921875,-188.76474315021176
146,-192.87109375,-186.5928387263352
147,-192.822265625,-187.7560068376977
148,-192.7734375,-184.7092092229905
149,-192.724609375,-187.71358620973444
150,-192.67578125,-190.01587863291084
151,-192.626953125,-186.3892648968169
152,-192.578125,-186.59683705690682
153,-192.529296875,-184.40066129102235
154,-192.48046875,-188.1574333717754
155,-192.431640625,-190.01799550303676
156,-192.3828125,-185.9621046958559
157,-192.333984375,-186.55046377141835
158,-192.28515625,-189.22479460586288
159,-192.236328125,-188.28978602490045
160,-192.1875,-188.0226665742097
161,-192.138671875,-187.4324175885734
162,-192.08984375,-188.08873371830316
163,-192.041015625,-185.65920823483717
164,-191.9921875,-188.0502868985122
165,-191.943359375,-184.8186455558675
166,-191.89453125,-186.11779927669457
167,-191.845703125,-186.49693124255413
168,-191.796875,-187.00066246563748
169,-191.748046875,-188.26371216887435
170,-191.69921875,-187.67699275732156
171,-191.650390625,-185.6663603439755
172,-191.6015625,-190.4813257022436
173,-191.552734375,-186.74569911695488
174,-191.50390625,-189.80051729952012
175,-191.455078125,-185.4137915751739
176,-191.40625,-188.7388571550523
177,-191.357421875,-190.4671016643079
178,-191.30859375,-188.61195385688663
179,-191.259765625,-186.19552344417323
180,-191.2109375,-186.82935723376744
181,-191.162109375,-186.3481269018106
182,-191.11328125,-187.11163647391186
183,-191.064453125,-185.45901038811888
184,-191.015625,-185.2618038270748
185,-190.966796875,-183.90647478269176
186,-190.91796875,-188.88295815300648
187,-190.869140625,-188.92475143070624
188,-190.8203125,-187.81937161498246
189,-190.771484375,-187.16803762945318
190,-190.72265625,-188.46671559293094
191,-190.673828125,-188.7664081558563
192,-190.625,-186.12765394009136
193,-190.576171875,-186.77996578717287
194,-190.52734375,-187.73849705683037
195,-190.478515625,-184.87728880877873
196,-190.4296875,-189.643149381337
197,-190.380859375,-188.94079943154628
198,-190.33203125,-189.84149637076067
199,-190.283203125,-188.02887668350616
200,-190.234375,-187.99289935553855
201,-190.185546875,-189.0368736786197
202,-190.13671875,-188.42101284368894
203,-190.087890625,-185.44425381673682
204,-190.0390625,-189.99782933482555
205,-189.990234375,-185.43579990648274
206,-189.94140625,-186.75736128921628
207,-189.892578125,-187.1561534091981
208,-189.84375,-186.98600485239928
209,-189.794921875,-186.79029033412172
210,-189.74609375,-184.71780987587826
211,-189.697265625,-188.41497118768515
212,-189.6484375,-185.86396932191684
213,-189.599609375,-185.05235502839477
214,-189.55078125,-186.88988979127174
215,-189.501953125,-188.4297368275566
216,-189.453125,-187.93811921946624
217,-189.404296875,-190.65616752696786
218,-189.35546875,-184.99607454001543
219,-189.306640625,-187.19755117308057
220,-189.2578125,-186.58661879796742
221,-189.208984375,-188.37864442327358
222,-189.16015625,-189.38177157655545
