c1,c2
-3.99609375,-60.9597612769412
-3.9921875,-61.290096638854
-3.98828125,-61.8319157298885
-3.984375,-62.3566663398472
-3.98046875,-62.5639748302219
-3.9765625,-62.3114351406018
-3.97265625,-61.770793541346
-3.96875,-61.2429176475048
-3.96484375,-60.9429982367897
-3.9609375,-60.9633987225697
-3.95703125,-61.2983805567038
-3.953125,-61.8417578347363
-3.94921875,-62.3628863833561
-3.9453125,-62.5619949049323
-3.94140625,-62.3019922715325
-3.9375,-61.7591731452519
-3.93359375,-61.2340010627732
-3.9296875,-60.9392874094768
-3.92578125,-60.9654225744521
-3.921875,-61.3050174722616
-3.91796875,-61.8498804397578
-3.9140625,-62.3672900521718
-3.91015625,-62.5581579944848
-3.90625,-62.2907591098957
-3.90234375,-61.7458595419257
-3.8984375,-61.2234521163067
-3.89453125,-60.933966957792
-3.890625,-60.9658319919685
-3.88671875,-61.3100058842999
-3.8828125,-61.8562811352868
-3.87890625,-62.3698747288529
-3.875,-62.5524629539956
-3.87109375,-62.2777357616193
-3.8671875,-61.7308525920274
-3.86328125,-61.2112700646148
-3.859375,-60.9270357173727
-3.85546875,-60.9646254040074
-3.8515625,-61.3133435574674
-3.84765625,-61.8609567798583
-3.84375,-62.3706370907436
-3.83984375,-62.5449079546346
-3.8359375,-62.2629216229767
-3.83203125,-61.7141514259852
-3.828125,-61.1974534316863
-3.82421875,-60.9184917922132
-3.8203125,-60.9618005066109
-3.81640625,-61.3150275199026
-3.8125,-61.8639034977496
-3.80859375,-62.3695731072506
-3.8046875,-62.5354904794158
-3.80078125,-62.2463153754822
-3.796875,-61.6957544393326
-3.79296875,-61.1820000048293
-3.7890625,-60.9083325508488
-3.78515625,-60.9573542593243
-3.78125,-61.3150540595638
-3.77734375,-61.8651166752367
-3.7734375,-62.3666780358118
-3.76953125,-62.5242073176619
-3.765625,-62.2279149794718
-3.76171875,-61.6756592867554
-3.7578125,-61.1649068292068
-3.75390625,-60.8965546212238
-3.75,-60.95128288024
-3.74609375,-61.3134187192498
-3.7421875,-61.8645909555396
-3.73828125,-62.3619464165364
-3.734375,-62.5110545581134
-3.73046875,-62.20771766638
-3.7265625,-61.6538628748166
-3.72265625,-61.1461702010433
-3.71875,-60.8831538842329
-3.71484375,-60.9435818397137
-3.7109375,-61.3101162903007
-3.70703125,-61.86232023245
-3.703125,-62.3553720654929
-3.69921875,-62.4960275806639
-3.6953125,-62.1857199296537
-3.69140625,-61.6303613533349
-3.6875,-61.1257856594739
-3.68359375,-60.8681254659036
-3.6796875,-60.9342458527251
-3.67578125,-61.3051408049499
-3.671875,-61.8582976425966
-3.66796875,-62.3469480666068
-3.6640625,-62.4791210466724
-3.66015625,-62.1619175142813
-3.65625,-61.60515010538
-3.65234375,-61.103747977003
-3.6484375,-60.8514637281843
-3.64453125,-60.9232688698539
-3.640625,-61.29848552729
-3.63671875,-61.8525155563295
-3.6328125,-62.3366667621385
-3.62890625,-62.4603288878355
-3.625,-62.1363054048984
-3.62109375,-61.5782237358353
-3.6171875,-61.0800511485265
-3.61328125,-60.8331622583026
-3.609375,-60.9106440668351
-3.60546875,-61.2901429428266
-3.6015625,-61.8449655671767
-3.59765625,-62.3245197416973
-3.59375,-62.4396442935511
-3.58984375,-62.1088778124082
-3.5859375,-61.5495760584918
-3.58203125,-61.0546883788785
-3.578125,-60.8132138566535
-3.57421875,-60.8963638326429
-3.5703125,-61.2801047465635
-3.56640625,-61.8356384798294
-3.5625,-62.3104978297353
-3.55859375,-62.4170596967366
-3.5546875,-62.0796281590778
-3.55078125,-61.5192000816046
-3.546875,-61.0276520688422
-3.54296875,-60.7916105231505
-3.5390625,-60.880419756063
-3.53515625,-61.2683618295839
-3.53125,-61.8245242966014
-3.52734375,-62.2945910714756
-3.5234375,-62.3925667580367
-3.51953125,-62.0485490620414
-3.515625,-61.4870879918621
-3.51171875,-60.9989337995618
-3.5078125,-60.7683434419984
-3.50390625,-60.8628026106857
-3.5,-61.2549042640579
-3.49609375,-61.8116122023107
-3.4921875,-62.2767887171989
-3.48828125,-62.3661563483513
-3.484375,-62.0156323151374
-3.48046875,-61.453231136689
-3.4765625,-60.9685243152998
-3.47265625,-60.7434029648084
-3.46875,-60.8435023382656
-3.46484375,-61.2397212866165
-3.4609375,-61.7968905475068
-3.45703125,-62.2570792048246
-3.453125,-62.3378185296151
-3.44921875,-61.9808688690106
-3.4453125,-61.4176200048076
-3.44140625,-60.9364135044489
-3.4375,-60.7167785919892
-3.43359375,-60.8225080303642
-3.4296875,-61.2228012800243
-3.42578125,-61.7803468299754
-3.421875,-62.2354501407071
-3.41796875,-62.3075425337394
-3.4140625,-61.9442488093833
-3.41015625,-61.3802442049729
-3.40625,-60.9025903787173
-3.40234375,-60.6884589523251
-3.3984375,-60.7998079082029
-3.39453125,-61.2041317530636
-3.390625,-61.7619676744365
-3.38671875,-62.2118882785475
-3.3828125,-62.2753167396231
-3.37890625,-61.9057613334123
-3.375,-61.3410924427826
-3.37109375,-60.8670430503991
-3.3671875,-60.6584317806531
-3.36328125,-60.7753893006378
