c1,c2
-3.99609375,-3.47182094519052
-3.9921875,-2.83482313245538
-3.98828125,-1.86398453037208
-3.984375,-2.97646231517756
-3.98046875,-3.15835084146011
-3.9765625,-1.54596880639257
-3.97265625,-3.43926855194603
-3.96875,-4.22387404551883
-3.96484375,-4.38484100941184
-3.9609375,-4.33979501449862
-3.95703125,-2.39765993738133
-3.953125,-1.60902173856827
-3.94921875,-4.08805172076752
-3.9453125,-4.39037017605688
-3.94140625,-3.22588505309429
-3.9375,-4.94966102374926
-3.93359375,-4.50375635091181
-3.9296875,-5.12911830816902
-3.92578125,-4.85371715343033
-3.921875,-1.43995398664704
-3.91796875,-0.699338340149596
-3.9140625,-3.54639070921574
-3.91015625,-3.99690938991381
-3.90625,-3.03798456473089
-3.90234375,-2.1343767174846
-3.8984375,-1.89020790081049
-3.89453125,-2.16052834217986
-3.890625,-3.22529636194814
-3.88671875,-4.8609302698981
-3.8828125,-4.54088425598075
-3.87890625,-3.20388646090584
-3.875,-4.0257617957341
-3.87109375,-3.6258712534973
-3.8671875,-1.42336041653764
-3.86328125,-3.27517493880598
-3.859375,-5.93545851490804
-3.85546875,-4.73725108794913
-3.8515625,-5.3442403915255
-3.84765625,-2.98535662166902
-3.84375,-0.894488422479331
-3.83984375,-1.62902001872553
-3.8359375,-1.12482770568055
-3.83203125,-1.66809942773494
-3.828125,-2.01817512020248
-3.82421875,-2.50973999772
-3.8203125,-4.8785585945724
-3.81640625,-2.88064788751606
-3.8125,-1.82002249422152
-3.80859375,-0.628858412043551
-3.8046875,-0.437318098517572
-3.80078125,-4.53959457442178
-3.796875,-4.11236003985386
-3.79296875,-4.1522613527035
-3.7890625,-5.24251678433544
-3.78515625,-3.8910215770868
-3.78125,-3.65237345227727
-3.77734375,-3.82849012475603
-3.7734375,-2.06287787366468
-3.76953125,-0.323622594553534
-3.765625,-1.72049210663615
-3.76171875,-6.06110738244198
-3.7578125,-4.3845209978003
-3.75390625,-3.13309691848019
-3.75,-4.3703686920231
-3.74609375,-1.46704437900465
-3.7421875,-2.27476534543714
-3.73828125,-4.77744511610493
-3.734375,-3.52162088007375
-3.73046875,-3.98043539000687
-3.7265625,-6.82470639516273
-3.72265625,-4.08537757047392
-3.71875,-3.07202677174543
-3.71484375,-0.909977788069491
-3.7109375,-2.48580109564611
-3.70703125,-3.35300709872883
-3.703125,-4.01658221677303
-3.69921875,-3.90048665996495
-3.6953125,-4.23158340683557
-3.69140625,-2.68555770897115
-3.6875,-2.71776967542637
-3.68359375,-3.35833645086856
-3.6796875,-2.9640189615016
-3.67578125,-3.13771011562161
-3.671875,-3.4167815239499
-3.66796875,-4.29880986798423
-3.6640625,-5.18210619753126
-3.66015625,-3.01340945896242
-3.65625,-4.4657997140508
-3.65234375,-4.04306611009277
-3.6484375,-4.0838428353121
-3.64453125,-4.09348264249284
-3.640625,-3.42087483044069
-3.63671875,-2.81940446698634
-3.6328125,-1.75588133694699
-3.62890625,-1.20324583318339
-3.625,-3.78764636269717
-3.62109375,-6.85561776325449
-3.6171875,-6.20259317531076
-3.61328125,-2.91693925025468
-3.609375,-2.40300611785531
-3.60546875,-2.78608430042361
-3.6015625,-2.86793144969118
-3.59765625,-2.20536632583958
-3.59375,-3.50237198325782
-3.58984375,-3.08491919448845
-3.5859375,-1.19802391245516
-3.58203125,-2.25047366076397
-3.578125,-2.00151404389006
-3.57421875,-1.94895804213998
-3.5703125,-2.62109259954241
-3.56640625,-1.58978342952962
-3.5625,-1.45776477419234
-3.55859375,-2.88749914929919
-3.5546875,-2.95746021192063
-3.55078125,-4.42740429117992
-3.546875,-2.90985292874859
-3.54296875,-4.35604934326784
-3.5390625,-5.88961514244736
-3.53515625,-5.07146069597155
-3.53125,-3.99203239703636
-3.52734375,-3.46447809132682
-3.5234375,-4.29551771308571
-3.51953125,-4.20071927043726
-3.515625,-2.89788320917976
-3.51171875,-4.01845193458794
-3.5078125,-5.81599610388072
-3.50390625,-4.3683117689846
-3.5,-7.06564726778132
-3.49609375,-9.26938443707815
-3.4921875,-9.05574123675195
-3.48828125,-7.03656019794923
-3.484375,-7.43172946269864
-3.48046875,-7.62456697523756
-3.4765625,-10.2047644962104
-3.47265625,-9.88410823415573
-3.46875,-11.4122802958763
-3.46484375,-10.2890855466655
-3.4609375,-9.57023617482943
-3.45703125,-8.89130493434156
-3.453125,-11.2891102665951
-3.44921875,-11.3107623714534
-3.4453125,-12.1931047599119
-3.44140625,-10.999937945004
-3.4375,-12.4727353717745
-3.43359375,-10.9064919500876
-3.4296875,-11.6483584312672
-3.42578125,-14.3513928875394
-3.421875,-13.8115470244692
-3.41796875,-13.7192678532448
-3.4140625,-15.0344147764314
-3.41015625,-18.6398376393303
-3.40625,-18.6697121000965
-3.40234375,-18.3102141263457
-3.3984375,-21.4096566473286
-3.39453125,-23.6091687964155
-3.390625,-22.2053589192783
-3.38671875,-24.3064825818029
-3.3828125,-27.4870485679142
-3.37890625,-30.8629286214264
-3.375,-31.4857178769962
-3.37109375,-33.6442197794335
-3.3671875,-38.658411693999
-3.36328125,-42.1568269428574
-3.359375,-44.6411767226095
-3.35546875,-44.5780473583097
-3.3515625,-42.5564222214778
-3.34765625,-41.3973535139401
-3.34375,-40.449189096127
-3.33984375,-41.2045925309957
-3.3359375,-42.4136368516331
-3.33203125,-40.2305356102255
-3.328125,-47.0384359662469
-3.32421875,-45.4117992276748
-3.3203125,-43.4152727791103
-3.31640625,-44.911656772047
-3.3125,-46.6461841391756
-3.30859375,-49.4219463102351
-3.3046875,-48.9731385705417
-3.30078125,-52.7740365892552
-3.296875,-45.7917061443299
-3.29296875,-46.3108923441109
-3.2890625,-44.98517167663
-3.28515625,-44.3781682781568
-3.28125,-44.4456196971945
-3.27734375,-45.559969883016
-3.2734375,-46.0755045275957
-3.26953125,-47.9913939599283
-3.265625,-49.2150069961292
-3.26171875,-48.5871530887444
-3.2578125,-48.7240983558757
-3.25390625,-48.034394092458
-3.25,-47.8151039748527
-3.24609375,-46.9540853168523
-3.2421875,-46.979759189463
-3.23828125,-50.1514651846668
-3.234375,-48.0678833509895
-3.23046875,-49.4591615461986
-3.2265625,-48.3979319018299
-3.22265625,-46.7321200184405
-3.21875,-47.911039334996
-3.21484375,-45.6205807764534
-3.2109375,-48.5723834628381
-3.20703125,-47.6947135046831
-3.203125,-50.7177832746272
-3.19921875,-52.3784748629986
-3.1953125,-52.4618515949699
-3.19140625,-51.4093117191793
-3.1875,-49.6260080895916
-3.18359375,-47.5503701526457
-3.1796875,-48.0460088843753
-3.17578125,-47.6274831147425
-3.171875,-47.2425118632193
-3.16796875,-48.7973303168044
-3.1640625,-49.3068350422703
-3.16015625,-49.7152992231744
-3.15625,-50.4464989921077
-3.15234375,-49.1031720006546
-3.1484375,-49.010185564632
-3.14453125,-48.896550586341
-3.140625,-49.3920432257056
-3.13671875,-49.8307066958234
-3.1328125,-51.5322550142267
-3.12890625,-51.8038137995217
-3.125,-51.4207852018025
-3.12109375,-49.2239505806569
-3.1171875,-50.5649828375508
-3.11328125,-49.0754058165078
-3.109375,-47.5021915944066
-3.10546875,-49.0409690591157
-3.1015625,-49.2252513863597
-3.09765625,-50.389629691904
-3.09375,-53.6016310804493
-3.08984375,-53.2299666389451
-3.0859375,-52.07604592385
-3.08203125,-51.2218904950868
-3.078125,-48.8838252796742
-3.07421875,-49.8947806083274
-3.0703125,-49.8298882474762
-3.06640625,-49.007123475658
-3.0625,-51.2030671053675
-3.05859375,-54.9248290660248
-3.0546875,-50.9090232820011
-3.05078125,-52.2232833564112
-3.046875,-50.1152567992109
-3.04296875,-48.8148561573398
-3.0390625,-48.933938796856
-3.03515625,-50.5156246123367
-3.03125,-50.555703889499
-3.02734375,-52.3843524278756
-3.0234375,-53.3552770429045
-3.01953125,-53.021012751675
-3.015625,-53.9692152769469
-3.01171875,-49.1466382600644
-3.0078125,-49.048236903898
-3.00390625,-52.1564467581827
-3,-47.3113346847908
-2.99609375,-52.160784494063
-2.9921875,-50.360830164699
-2.98828125,-51.4391961980186
-2.984375,-53.6756828316715
-2.98046875,-51.6826943373833
-2.9765625,-51.6432904822408
-2.97265625,-50.1793728099918
-2.96875,-50.1986838392384
-2.96484375,-49.9529898454193
-2.9609375,-51.6690750305097
-2.95703125,-50.034852072744
-2.953125,-52.8028395694414
-2.94921875,-51.5704902867325
-2.9453125,-51.5516752200814
-2.94140625,-50.4521564197482
-2.9375,-49.8751046922879
-2.93359375,-48.6789821098903
-2.9296875,-50.7368267030974
-2.92578125,-51.0158768317192
-2.921875,-51.8261852421517
-2.91796875,-53.9304112445525
-2.9140625,-53.2595545776126
-2.91015625,-52.9033073324186
-2.90625,-50.5857820173912
-2.90234375,-49.7903621587978
-2.8984375,-48.031432853873
-2.89453125,-50.8165162100377
-2.890625,-49.6189908969027
-2.88671875,-51.602736561796
-2.8828125,-50.846631040032
-2.87890625,-52.0587778331215
-2.875,-50.9383679607644
-2.87109375,-50.7463928695399
-2.8671875,-49.9466532999887
-2.86328125,-50.2651312274438
-2.859375,-50.2650511382265
-2.85546875,-51.1141347534711
-2.8515625,-52.4146858705241
-2.84765625,-50.720272180193
-2.84375,-51.3355597004373
-2.83984375,-50.6620007335084
-2.8359375,-48.0613712859888
-2.83203125,-48.008955584663
-2.828125,-48.8882068789258
-2.82421875,-47.1991501804114
-2.8203125,-50.3055418941516
-2.81640625,-50.8742915374538
-2.8125,-52.5679204216688
-2.80859375,-51.3626712021887
-2.8046875,-52.7691507467169
-2.80078125,-51.014480801574
-2.796875,-49.9446682795527
-2.79296875,-48.7088211957643
-2.7890625,-50.4683787826727
-2.78515625,-49.0767849684968
-2.78125,-48.8134127998228
-2.77734375,-48.4988348898564
-2.7734375,-49.233423557722
-2.76953125,-46.7436261148958
-2.765625,-46.6411403202077
-2.76171875,-48.1109751459512
-2.7578125,-50.3145784028306
-2.75390625,-48.5600296501079
-2.75,-50.4531458765956
-2.74609375,-51.7589909907681
-2.7421875,-52.3217283707121
-2.73828125,-51.0174693545996
-2.734375,-48.496955772672
-2.73046875,-49.2041023231668
-2.7265625,-46.9723163265214
-2.72265625,-46.1644028062264
-2.71875,-45.2980406784521
-2.71484375,-42.5274869561198
-2.7109375,-47.497828087891
-2.70703125,-47.8029316140567
-2.703125,-46.6872115002609
-2.69921875,-49.6011702914147
-2.6953125,-49.1068083238091
-2.69140625,-48.8515579295386
-2.6875,-49.7817908811883
-2.68359375,-45.5951861519623
-2.6796875,-45.3982769210873
-2.67578125,-44.410388598423
-2.671875,-42.7653462140357
-2.66796875,-42.2876790482849
-2.6640625,-41.9254186780419
-2.66015625,-41.2592853066223
-2.65625,-40.9871398668012
-2.65234375,-44.0719496237201
-2.6484375,-42.7830254763586
-2.64453125,-47.2728147279685
-2.640625,-47.0680285621042
-2.63671875,-42.6649664846035
-2.6328125,-35.9883400489516
-2.62890625,-33.0091914453584
-2.625,-32.8676048238108
-2.62109375,-32.9056005549012
