c1,c2
0,-3.39456103225993
0.125,-2.39877049998164
0.25,-1.53641471191643
0.375,-0.903751881301076
0.5,-0.536236097831424
0.625,-0.404150948328088
0.75,-0.428134204094659
0.875,-0.507728958754045
1,-0.552385081914139
1.125,-0.5048444940307
1.25,-0.3507961183957
1.375,-0.114136638654982
1.5,0.158047764838802
1.625,0.414113010132637
1.75,0.613595841672084
1.875,0.735843157759217
2,0.780514766922972
2.125,0.761777601416969
2.25,0.699621645578351
2.375,0.611861175397344
2.5,0.509318210619851
2.625,0.395026065885321
2.75,0.266723997999121
2.875,0.120956964095685
3,-0.0430626909288851
3.125,-0.221174825192695
3.25,-0.404091959508122
3.375,-0.579038322441462
3.5,-0.732390286192712
3.625,-0.852345061561493
3.75,-0.930845010086801
3.875,-0.964399365241793
4,-0.953870722122689
4.125,-0.903568819338201
4.25,-0.820070527059832
4.375,-0.711109943012299
4.5,-0.584729896901374
4.625,-0.448718409733491
4.75,-0.31022874679567
4.875,-0.17544851575868
5,-0.0492464748218275
5.125,0.0651684070851393
5.25,0.166464899282561
5.375,0.255165170575968
5.5,0.333310014833812
5.625,0.403828655141848
5.75,0.469716739065619
5.875,0.533194007827178
6,0.595034342549884
6.125,0.654224152714809
6.25,0.708023794696223
6.375,0.752407946562797
6.5,0.782769559365851
6.625,0.794711091277381
6.75,0.784739033384953
6.875,0.75072905888722
7,0.692112909310171
7.125,0.609814198522481
7.25,0.506009440523309
7.375,0.383817232339655
7.5,0.247023449169372
7.625,0.0999225701883488
7.75,-0.0527034246274603
7.875,-0.205509324153816
8,-0.352491988515957
8.125,-0.486964045464152
8.25,-0.601678714041798
8.375,-0.689170818264293
8.5,-0.742336177775406
8.625,-0.755206530203082
8.75,-0.723818619913726
8.875,-0.647048465566013
9,-0.527277603323228
9.125,-0.370757104122219
9.25,-0.187543130883799
9.375,0.00907716425950963
9.5,0.203662664354928
9.625,0.380096158856571
9.75,0.523297212219253
9.875,0.620972090439097
10,0.665177141165712
10.125,0.653451691762257
10.25,0.589297967235527
10.375,0.481877177978989
10.5,0.344929709581757
10.625,0.195057579299841
10.75,0.0495967280648456
10.875,-0.0756354323763497
11,-0.168393201028213
11.125,-0.221533142197351
11.25,-0.233772018830004
11.375,-0.209567598310188
11.5,-0.158186980384609
11.625,-0.0921605045110565
11.75,-0.0253904723562902
11.875,0.0287961330282564
12,0.059375151572077
12.125,0.0589029117636601
12.25,0.0241988083592747
12.375,-0.0435987550283501
12.5,-0.139525563652791
12.625,-0.25568654400009
12.75,-0.382382421618697
12.875,-0.509302700741043
13,-0.626630730430027
13.125,-0.725926507443023
13.25,-0.800697131017786
13.375,-0.84663127213494
13.5,-0.861535036433588
13.625,-0.845039901674686
13.75,-0.798167202937805
13.875,-0.722846991218785
14,-0.621497735097859
14.125,-0.49675569468721
14.25,-0.351396315436903
14.375,-0.188438757807527
14.5,-0.0113876091854939
14.625,0.175461723740618
14.75,0.366751542048411
14.875,0.555928591565525
15,0.735326332877433
15.125,0.89649007681872
15.25,1.03072807736154
15.375,1.12984308031391
15.5,1.18696938806882
15.625,1.1974039381143
15.75,1.15930209967429
15.875,1.07413376939303
16,0.94684461965478
16.125,0.785701893587052
16.25,0.6018181433628
16.375,0.408369762932595
16.5,0.219573052524794
16.625,0.0495206720611363
16.75,-0.0890126387617744
16.875,-0.18570147629836
17,-0.23364712381181
17.125,-0.23009275569234
17.25,-0.176762563360861
17.375,-0.079743214119932
17.5,0.0511121301736521
17.625,0.203215437441408
17.75,0.362620387049803
17.875,0.515603103991298
18,0.650246684981461
18.125,0.757786234499475
18.25,0.833486731283772
18.375,0.876910599363134
18.5,0.891549338037042
18.625,0.883899769852465
18.75,0.862147183730236
18.875,0.834681490080579
19,0.808709312552896
19.125,0.789209370002587
19.25,0.778402340130387
19.375,0.775792584875631
19.5,0.778721325703648
19.625,0.783275006839829
19.75,0.785337088194997
19.875,0.781565521432033
20,0.770114039449128
20.125,0.750976034895899
20.25,0.725905477706518
20.375,0.697955102952916
20.5,0.670750897748033
20.625,0.647667709092114
20.75,0.631072431900689
20.875,0.621770061825607
21,0.618740209993062
21.125,0.619196439628744
21.25,0.618945282535744
21.375,0.612975051237425
21.5,0.59617156433697
21.625,0.564040769822064
21.75,0.513323290168524
21.875,0.442417295618996
22,0.351572221825851
22.125,0.24285568878431
22.25,0.119922042239529
22.375,-0.0123670727255877
22.5,-0.148397861181037
22.625,-0.282255996594984
22.75,-0.40811673314203
22.875,-0.520554169317383
23,-0.614780625206638
23.125,-0.686838337671074
23.25,-0.733768454176649
23.375,-0.753783722572759
23.5,-0.746459882464396
23.625,-0.712927456426476
23.75,-0.656007538828025
23.875,-0.580221135660366
24,-0.491618495188873
24.125,-0.397405574774285
24.25,-0.305377679194165
24.375,-0.223210791191426
24.5,-0.157709013259615
24.625,-0.114139575544835
24.75,-0.0957790880878009
24.875,-0.103744457725719
25,-0.1371130807565
25.125,-0.193276472012683
25.25,-0.268431485514209
25.375,-0.358093347042154
25.5,-0.45751517439933
25.625,-0.56192590552415
25.75,-0.666554554435083
25.875,-0.766477887030649
26,-0.856383999300576
26.125,-0.930370607641211
26.25,-0.98189889563859
26.375,-1.0040066492503
26.5,-0.989839508544779
26.625,-0.933483690019795
26.75,-0.831002111673236
26.875,-0.681520312523303
27,-0.488181798124436
27.125,-0.258776729582732
27.25,-0.00584797951011812
27.375,0.253872499139516
27.5,0.50073394376633
27.625,0.714048620887769
27.75,0.874388221216006
27.875,0.966033602474529
28,0.979261028806854
28.125,0.912098613474109
28.25,0.771194394772466
28.375,0.571549722841787
28.5,0.335065249715692
28.625,0.0880450807674191
28.75,-0.142042953053797
28.875,-0.330136465217541
29,-0.456964852387824
29.125,-0.511696153663683
29.25,-0.493362019378005
29.375,-0.410788312711493
29.5,-0.281038475409553
29.625,-0.126629550336278
29.75,0.0280438650543496
29.875,0.160535680397466
30,0.253829120140541
30.125,0.298899136436116
30.25,0.295917357462022
30.375,0.253901878222782
30.5,0.188898459123663
30.625,0.121024855400324
30.75,0.0708715022245402
30.875,0.055832725138922
31,0.0869578283765683
31.125,0.166853720845107
31.25,0.289018291244546
31.375,0.438737440276065
31.5,0.595388311112004
31.625,0.735739101049469
31.75,0.83768619707991
31.875,0.883830133826058
32,0.864330308710064
32.125,0.778575321181796
32.25,0.635378299616015
32.375,0.451663151095823
32.5,0.249894371207969
32.625,0.0547224230034942
32.75,-0.110593093187237
32.875,-0.227442437530597
33,-0.284348377722157
33.125,-0.278331915157917
33.25,-0.214988956400659
33.375,-0.107324200205654
33.5,0.0263939726002651
33.625,0.165349739342379
33.75,0.289023070100317
33.875,0.379761842354232
34,0.424765973263069
34.125,0.417264316532818
34.25,0.356790708583092
34.375,0.248618774560574
34.5,0.102555356480946
34.625,-0.0686334019449476
34.75,-0.250895507770893
34.875,-0.430450023870681
