c1,c2
0,-0.0041053779403798
0.5,0.18644779117462
1,0.432673246169186
1.5,0.57523771893692
2,0.35806743152405
2.5,-0.163531296237354
3,-0.37436389793501
3.5,0.0315872008647046
4,0.397861034660881
4.5,0.105664548128357
5,-0.518379877135984
5.5,-0.860142405830435
6,-0.737725831822708
6.5,-0.268063124999272
7,0.235232122824214
7.5,0.425234884782254
8,0.430865422440351
8.5,0.531178747694762
9,0.357601902313069
9.5,-0.340737937868344
10,-0.723563428776395
10.5,-0.182637418660291
11,0.463848421866275
11.5,0.40987482404123
12,0.0548988739160398
12.5,-0.0291339645023952
13,0.0360825462427281
13.5,-0.00786172086760335
14,-0.184740909878678
14.5,-0.348458514826177
15,-0.199214222724965
15.5,0.348894099999424
16,0.707673699192873
16.5,0.31173976847314
17,-0.416756283965513
17.5,-0.654706592674757
18,-0.432965988487831
18.5,-0.217039309040893
19,0.0532444928448996
19.5,0.407065266161288
20,0.390850252992875
20.5,-0.0560080504451837
21,-0.176803735773789
21.5,0.46017775119402
22,1.11507928743225
22.5,1.00359841348055
23,0.526363950118637
23.5,0.544075505405731
24,0.891021057276154
24.5,0.832503356727228
25,0.614270543387843
25.5,0.630550394442015
26,0.0153581250358531
26.5,-1.52968875187523
27,-2.0406752943851
27.5,-0.413055366794619
28,1.05003863841921
28.5,0.395718433798924
29,-0.5461586794213
29.5,0.270987473973935
30,1.47079724270566
30.5,1.15853007963214
31,0.0459825863564364
31.5,-0.486010038406135
32,-0.635005742483764
32.5,-0.9036076952897
33,-0.945119346824139
33.5,-0.581397024369371
34,-0.306263870629624
34.5,-0.317146945345847
35,-0.160983104710518
35.5,0.329611799331152
36,0.423839547699219
36.5,-0.282031183342644
37,-0.716651943980464
37.5,0.0414249107139949
38,1.04840055573495
38.5,1.04183322919043
39,0.47502277810151
39.5,0.238590191258914
40,-0.14166331031468
40.5,-1.04797106056485
41,-1.48243307361251
41.5,-0.805474048881399
42,0.0385355887261103
42.5,0.177554972584194
43,0.109276277286369
43.5,0.387808732247609
44,0.587361854491032
44.5,0.220469965623048
45,-0.387880076095433
45.5,-0.654738723410143
46,-0.47959052497541
46.5,-0.084833901984149
47,0.417237741185145
47.5,0.79551460182042
48,0.633412623581007
48.5,0.014079272670034
49,-0.342621996242751
49.5,-0.039818392735118
50,0.358544368899877
50.5,0.214419781287492
51,-0.134830692673686
51.5,-0.12305084571
52,0.102402240576099
52.5,0.153388650514085
53,0.0102859406842235
53.5,-0.251411623457037
54,-0.60382866917154
54.5,-0.768993760355766
55,-0.586127367062178
55.5,-0.319845492907929
56,0.00466975741762274
56.5,0.459629232238428
57,0.381481684651382
57.5,-0.521662884452911
58,-0.967148613513172
58.5,-0.123460671161325
59,0.568668609827497
59.5,-0.0880038960685227
60,-0.707512201425499
60.5,-0.00312024990631972
61,0.876505175551636
61.5,0.632704688302188
62,-0.198514982539124
62.5,-0.627360958885661
63,-0.384953090301034
63.5,0.284048983547657
64,0.671020543413691
64.5,0.281509536845433
65,-0.198043148973861
65.5,-0.072511793334968
66,0.0733911520482444
66.5,-0.462743220441067
67,-1.26446937565699
67.5,-1.51050700136979
68,-0.970767351085791
68.5,-0.116672893291103
69,0.293953839676204
69.5,-0.0258062007581639
70,-0.513706187340579
70.5,-0.470307891458803
71,0.132569047873483
71.5,0.652278247183072
72,0.325891704086377
72.5,-0.718198210665443
73,-1.24814239148636
73.5,-0.576468020540318
74,0.492974663548774
74.5,0.876906491428029
75,0.41513011617289
75.5,-0.29348632347542
76,-0.3838095543513
76.5,0.316999743529736
77,0.64771194116738
77.5,-0.214360609843458
78,-0.908370943127537
78.5,-0.114322740409846
79,0.980799813586639
79.5,0.795104503472584
80,-0.215598037479873
80.5,-0.957042031875193
81,-1.230708901519
81.5,-1.1699705623801
82,-0.919100827038625
82.5,-0.71828125926993
83,-0.445905759760801
83.5,0.0602474922861778
84,0.291784363318035
84.5,-0.195801179279675
85,-0.836248178558505
85.5,-0.807417404316511
86,-0.194045993354096
86.5,0.349619245812584
87,0.480916658361893
87.5,0.208710120452512
88,-0.356426298628939
88.5,-0.837765211894345
89,-0.60631078205301
89.5,0.314082622042238
90,0.842130414042847
90.5,0.306273844204807
91,-0.414699806190163
91.5,-0.31573794582
92,0.21301232090351
92.5,0.280223994651115
93,0.0820913415250331
93.5,0.205457456738172
94,0.291593937263674
94.5,-0.0819891683692243
95,-0.35378109523209
95.5,-0.18889429371551
96,-0.234084048358834
96.5,-0.722331727026139
97,-0.711064155746922
97.5,0.263389289439081
98,1.14165921387486
98.5,0.895914687217041
99,-0.0929644149726686
99.5,-0.830125128288762
100,-0.773608116877054
100.5,-0.01847044696033
101,0.781776829631523
101.5,0.881924967554804
102,0.340658400107287
102.5,-0.182618026941965
103,-0.602897448910237
103.5,-1.10866902191871
104,-1.17354886525752
104.5,-0.376474992209658
105,0.402010657737223
105.5,0.294130004620224
106,0.0527489302635011
106.5,0.376873654427119
107,0.289885893489212
107.5,-0.857539966773235
108,-1.58509747647892
108.5,-0.682885355068898
109,0.510033919903131
109.5,0.539523167683009
110,0.203413745268782
110.5,0.487671766893614
111,0.84265815355738
111.5,0.662935492748528
112,0.177228654749042
112.5,-0.332167694356668
113,-0.624023085599615
113.5,-0.495317339558962
114,-0.47169829815944
114.5,-1.02220984064311
115,-1.09708458365471
115.5,0.164692575871961
116,1.23415272017326
116.5,0.61358914144522
117,-0.451726092764696
117.5,-0.508015718058044
118,-0.388350889896125
118.5,-0.948292170856514
119,-1.14169290824597
119.5,-0.218913297580173
120,0.874024091338951
120.5,1.14091809913435
121,0.580546147129952
121.5,-0.230563896855165
122,-0.481947754411645
122.5,0.126095219074283
123,0.696685774203251
123.5,0.317171498361295
124,-0.453583267275348
124.5,-0.62991781844398
125,-0.321025686636765
125.5,-0.157184797653412
126,-0.29567182929452
126.5,-0.572925702141896
127,-0.842675930873809
127.5,-0.893887294026692
128,-0.591632169527573
128.5,-0.183937042043863
129,-0.00855143647796139
