c1,c2
0,-0.839361647171553
0.5,0
1,0.661287164085645
1.5,0
2,-0.366917817004392
2.5,0
3,0.525430596877402
3.5,0
4,-0.182514444728211
4.5,0
5,0.422297343004969
5.5,0
6,-0.131659269622364
6.5,0
7,0.634293662938947
7.5,0
8,-0.427814949089373
8.5,0
9,1.68801195655123
9.5,0
10,0.905289466264406
10.5,0
11,0.546082711016463
11.5,0
12,-0.456679248171954
12.5,0
13,0.549658242189437
13.5,0
14,-0.229721649579577
14.5,0
15,1.23838794689627
15.5,0
16,0.526848423770664
16.5,0
17,0.984050433866398
17.5,0
18,-0.124967291174474
18.5,0
19,-0.337042309096079
19.5,0
20,0.184211395847474
20.5,0
21,-0.306942263572566
21.5,0
22,-0.504124154273662
22.5,0
23,0.937794387542048
23.5,0
24,-0.708135549863181
24.5,0
25,0.167806434020505
25.5,0
26,1.16312666384883
26.5,0
27,-0.804168499448546
27.5,0
28,0.822491420267758
28.5,0
29,-0.0650159957052435
29.5,0
30,-0.661546387760482
30.5,0
31,-0.837434320341904
31.5,0
32,0.430439685826896
32.5,0
33,2.0750736043106
33.5,0
34,0.525308694846659
34.5,0
35,-0.291429292538055
35.5,0
36,1.48081363908561
36.5,0
37,-0.49742478003683
37.5,0
38,-0.231562177713307
38.5,0
39,0.650577978594637
39.5,0
40,-1.53127748089591
40.5,0
41,-0.736314943919922
41.5,0
42,0.12176399725734
42.5,0
43,0.299092377863946
43.5,0
44,-0.683606107685088
44.5,0
45,0.1533157339073
45.5,0
46,0.10113885443804
46.5,0
47,0.0276269892193344
47.5,0
48,0.637387431751235
48.5,0
49,-0.241906652730355
49.5,0
50,0.25863765243727
50.5,0
51,-0.392781037567518
51.5,0
52,-0.771951354494207
52.5,0
53,0.280661685313196
53.5,0
54,-2.76881062286262
54.5,0
55,-0.33123830836295
55.5,0
56,-0.426177933484311
56.5,0
57,0.291256325684024
57.5,0
58,0.230036702965079
58.5,0
59,0.769713417681928
59.5,0
60,-0.380065242366418
60.5,0
61,0.0499771584196194
61.5,0
62,-0.283042129040273
62.5,0
63,1.22930851334395
63.5,0
64,-0.0929209009359994
64.5,0
65,-0.639407101159129
65.5,0
66,1.15422674304241
66.5,0
67,-1.2663656239408
67.5,0
68,-0.457457839998993
68.5,0
69,-0.665783147092025
69.5,0
70,-0.461428169614387
70.5,0
71,-0.423449135338998
71.5,0
72,1.00813823421716
72.5,0
73,0.200010056231555
73.5,0
74,1.83663257218216
74.5,0
75,-0.365153586503486
75.5,0
76,-0.054671642516707
76.5,0
77,-0.0301360156089742
77.5,0
78,0.862498631907517
78.5,0
79,0.159380184459975
79.5,0
80,-0.0398747070575553
80.5,0
81,-0.112110913263656
81.5,0
82,0.94528381963141
82.5,0
83,0.311590461003875
83.5,0
84,-0.195476796318573
84.5,0
85,0.0810658891772768
85.5,0
86,1.57215181981927
86.5,0
87,1.07516391708341
87.5,0
88,-0.269993467076029
88.5,0
89,-0.199622913850173
89.5,0
90,0.363453240107808
90.5,0
91,-0.638317620544891
91.5,0
92,-0.175460584919359
92.5,0
93,-0.78006776484338
93.5,0
94,-1.32502797884016
94.5,0
95,-0.299941045201024
95.5,0
96,-0.0842479854301058
96.5,0
97,0.372317467698216
97.5,0
98,-0.0684208005407941
98.5,0
99,-1.23609084277661
99.5,0
100,0.434324251818901
100.5,0
101,-0.529277463979113
101.5,0
102,-0.880954757086197
102.5,0
103,0.936179509120646
103.5,0
104,0.332104059185696
104.5,0
105,0.0366724119220514
105.5,0
106,0.117505033635671
106.5,0
107,1.19887971717269
107.5,0
108,-0.366782920524416
108.5,0
109,-0.412517484187706
109.5,0
110,-1.15692985275195
110.5,0
111,0.77259858834653
111.5,0
112,0.378394145752051
112.5,0
113,0.32659494947291
113.5,0
114,-0.717228183607198
114.5,0
115,-0.265874725781254
115.5,0
116,0.148198952834689
116.5,0
117,0.385395579977507
117.5,0
118,-0.267445212853156
118.5,0
119,-1.35082214046575
119.5,0
120,-0.676502182604543
120.5,0
121,0.162973730791723
121.5,0
122,-0.133807581792499
122.5,0
123,1.10255429553569
123.5,0
124,-1.27321146743581
124.5,0
125,-1.02687949650163
125.5,0
126,0.203034804894341
126.5,0
127,-0.930921095055363
127.5,0
128,0.781213726626992
128.5,0
129,0.452322490167715
129.5,0
130,-0.144891282658035
130.5,0
131,-0.926770437628757
131.5,0
132,0.0871952467523477
132.5,0
133,0.49789593834488
133.5,0
134,0.248343334619542
134.5,0
135,-0.263756036533435
135.5,0
136,-0.129834337952686
136.5,0
137,0.895009648200425
137.5,0
138,0.717183889389399
138.5,0
139,0.393959947313908
139.5,0
140,-0.946256123462588
140.5,0
141,-1.84496221716581
141.5,0
142,-0.633389890178981
142.5,0
143,-0.662302025821242
143.5,0
144,-0.325728245434264
144.5,0
145,-0.438991330662016
145.5,0
146,0.437791441465359
146.5,0
147,-0.480631124955142
147.5,0
148,1.18011875422208
148.5,0
149,-0.0847918448612647
149.5,0
150,0.0406689732145659
150.5,0
151,-1.4103714050487
151.5,0
152,-0.611941618129502
152.5,0
153,-1.75775336751444
153.5,0
154,-0.294445008663776
154.5,0
155,0.489225323807053
155.5,0
156,0.977990846041927
156.5,0
157,-1.15229050943039
157.5,0
158,-1.47621051985395
158.5,0
159,0.271455920773059
159.5,0
160,0.0986533005744108
160.5,0
161,-0.693832713819667
161.5,0
162,0.4346078822613
162.5,0
163,-0.0901131426429148
163.5,0
164,0.28305070963247
164.5,0
165,-0.295289331481885
165.5,0
166,-0.607244943985841
166.5,0
167,0.68151467701137
167.5,0
168,0.779799301505386
168.5,0
169,1.01574469776549
169.5,0
170,-0.319369878412502
170.5,0
171,-0.352240855717386
171.5,0
172,0.242356917688227
172.5,0
173,-0.420782090235565
173.5,0
174,0.28269584079609
174.5,0
175,-0.519450919531241
175.5,0
176,-0.144220939227113
176.5,0
177,-1.00003756148968
177.5,0
178,-1.36184989274783
178.5,0
179,0.122248724675772
179.5,0
180,-0.21672319967718
180.5,0
181,-0.562877341990823
181.5,0
182,-0.072606120511632
182.5,0
183,-0.256392905148359
183.5,0
184,0.916859001447549
184.5,0
185,-0.293211034964935
185.5,0
186,0.87536235600007
186.5,0
187,-0.536551823527088
187.5,0
188,-0.61844784899168
188.5,0
189,-1.32080902442937
189.5,0
190,0.285885921107697
190.5,0
191,0.25986925303288
191.5,0
192,1.13062805079509
192.5,0
193,1.63954828719204
193.5,0
194,0.954079428431265
194.5,0
195,0.237083103631733
195.5,0
196,0.725405172265273
196.5,0
197,0.0737192686600673
197.5,0
198,-0.0941067320585755
198.5,0
199,-0.411825647579295
199.5,0
200,0.511179676612605
200.5,0
201,0.227452381124077
201.5,0
202,-0.772717167460842
202.5,0
203,0.396540845911853
203.5,0
204,0.686402215800261
204.5,0
205,-0.00167233115937647
205.5,0
206,0.0889203733561399
206.5,0
207,0.305349004768005
207.5,0
208,-0.539720097914527
208.5,0
209,-0.528133450911372
209.5,0
210,1.02170501228191
210.5,0
211,0.714568415096772
211.5,0
212,0.856826084184292
212.5,0
213,-0.460999653789511
213.5,0
214,0.744960410226755
214.5,0
215,0.671677514243612
215.5,0
216,0.620242517734302
216.5,0
217,-0.169977426832342
217.5,0
218,0.08233408355366
218.5,0
219,1.49107709053021
219.5,0
220,0.349658646123688
220.5,0
221,-1.08020428489301
221.5,0
222,-0.120774798871076
222.5,0
223,-1.38733058127783
223.5,0
224,0.517678255811484
224.5,0
225,-0.584198612903887
225.5,0
226,-0.0709726130355276
226.5,0
227,0.307138460314257
227.5,0
228,0.214717623614193
228.5,0
229,-1.01269248069274
229.5,0
230,-0.483269208391432
230.5,0
231,-0.716575586670382
231.5,0
232,-0.369168498668972
232.5,0
