c1,c2
0,0.380188080394221
0.5,0
1,1.29675252973658
1.5,0
2,-1.59724593307763
2.5,0
3,0.60964860139042
3.5,0
4,0.225401062710842
4.5,0
5,-0.924675261995742
5.5,0
6,-0.306595859240738
6.5,0
7,0.242272083689903
7.5,0
8,2.53030874185727
8.5,0
9,1.95828770390073
9.5,0
10,-0.954514209219835
10.5,0
11,2.14601496342544
11.5,0
12,0.512938246560763
12.5,0
13,-0.0445865284192637
13.5,0
14,0.505399554100397
14.5,0
15,-0.144932889736848
15.5,0
16,-0.0877833104697382
16.5,0
17,1.05337528038248
17.5,0
18,0.996337842663646
18.5,0
19,1.00210636578221
19.5,0
20,0.474820176721603
20.5,0
21,-0.853822191224667
21.5,0
22,0.507164314083715
22.5,0
23,1.15275042789799
23.5,0
24,0.345700100267325
24.5,0
25,0.731638443759239
25.5,0
26,0.513985406958976
26.5,0
27,-0.214565135605709
27.5,0
28,0.207798507181286
28.5,0
29,-0.556693009249291
29.5,0
30,0.628190575592335
30.5,0
31,-0.811101051134265
31.5,0
32,-0.755805549180587
32.5,0
33,-0.572402016189486
33.5,0
34,-2.08192329668674
34.5,0
35,1.01708845897465
35.5,0
36,0.229944435627189
36.5,0
37,-0.533814933794659
37.5,0
38,0.968947389951362
38.5,0
39,-1.21022486588357
39.5,0
40,-0.0722963269521506
40.5,0
41,-0.170728840417993
41.5,0
42,0.225713249864372
42.5,0
43,0.221224435234832
43.5,0
44,-0.611562454452184
44.5,0
45,-0.021249475323827
45.5,0
46,-0.116587072558098
46.5,0
47,0.443856079611776
47.5,0
48,0.773055568216267
48.5,0
49,0.784374670932304
49.5,0
50,-0.610694767019118
50.5,0
51,0.0547011379247516
51.5,0
52,-0.858510394694619
52.5,0
53,-0.78736392516154
53.5,0
54,-0.00484320634844901
54.5,0
55,1.08373328404018
55.5,0
56,-0.544235986863369
56.5,0
57,0.262604476891646
57.5,0
58,-0.159512260575916
58.5,0
59,0.790090102756127
59.5,0
60,-0.770084748179583
60.5,0
61,0.0230216036892908
61.5,0
62,0.390695603417256
62.5,0
63,0.778248948506764
63.5,0
64,1.09192270289978
64.5,0
65,0.0607624869833876
65.5,0
66,-1.054713623404
66.5,0
67,-0.524886662813678
67.5,0
68,-0.750651642414331
68.5,0
69,1.66202424198075
69.5,0
70,-0.435296264896438
70.5,0
71,0.52897016660531
71.5,0
72,-0.136060433662777
72.5,0
73,0.628342457648055
73.5,0
74,-0.540830081762498
74.5,0
75,-0.991553897266907
75.5,0
76,-1.00577166202869
76.5,0
77,0.345205224195938
77.5,0
78,-0.125423176059197
78.5,0
79,-0.138630750703839
79.5,0
80,1.00360383212625
80.5,0
81,0.20618128813225
