c1,c2
-3.99609375,-148.315964504103
-3.9921875,-148.315923846615
-3.98828125,-148.315856126317
-3.984375,-148.315761301373
-3.98046875,-148.315639389926
-3.9765625,-148.315490381104
-3.97265625,-148.315314272148
-3.96875,-148.315111088497
-3.96484375,-148.314880773874
-3.9609375,-148.314623414035
-3.95703125,-148.31433888274
-3.953125,-148.314027307355
-3.94921875,-148.313688597494
-3.9453125,-148.313322761491
-3.94140625,-148.312929862833
-3.9375,-148.312509811884
-3.93359375,-148.312062609733
-3.9296875,-148.311588342468
-3.92578125,-148.311086898789
-3.921875,-148.310558349867
-3.91796875,-148.310002685148
-3.9140625,-148.30941986776
-3.91015625,-148.308809893768
-3.90625,-148.308172773661
-3.90234375,-148.307508515048
-3.8984375,-148.306817105833
-3.89453125,-148.306098477822
-3.890625,-148.305352717435
-3.88671875,-148.304579799877
-3.8828125,-148.303779670009
-3.87890625,-148.302952356086
-3.875,-148.302097835878
-3.87109375,-148.301216133273
-3.8671875,-148.300307183139
-3.86328125,-148.299371052758
-3.859375,-148.298407652493
-3.85546875,-148.297417039934
-3.8515625,-148.296399188771
-3.84765625,-148.295354092935
-3.84375,-148.294281737207
-3.83984375,-148.293182124875
-3.8359375,-148.292055230153
-3.83203125,-148.290901015332
-3.828125,-148.289719533988
-3.82421875,-148.288510766149
-3.8203125,-148.287274642226
-3.81640625,-148.286011212796
-3.8125,-148.284720431415
-3.80859375,-148.283402352149
-3.8046875,-148.282056861379
-3.80078125,-148.280684009752
-3.796875,-148.279283779053
-3.79296875,-148.277856183673
-3.7890625,-148.27640117504
-3.78515625,-148.27491874138
-3.78125,-148.273408900355
-3.77734375,-148.271871607277
-3.7734375,-148.27030691361
-3.76953125,-148.268714678428
-3.765625,-148.267094987053
-3.76171875,-148.265447814616
-3.7578125,-148.26377314258
-3.75390625,-148.262070944669
-3.75,-148.260341235222
-3.74609375,-148.258583948866
-3.7421875,-148.256799104978
-3.73828125,-148.254986700722
-3.734375,-148.253146689756
-3.73046875,-148.251279070856
-3.7265625,-148.249383823858
-3.72265625,-148.247460958684
-3.71875,-148.245510453596
-3.71484375,-148.243532277483
-3.7109375,-148.241526405832
-3.70703125,-148.239492811911
-3.703125,-148.237431532674
-3.69921875,-148.235342509877
-3.6953125,-148.233225711153
-3.69140625,-148.231081141339
-3.6875,-148.228908811836
-3.68359375,-148.226708669096
-3.6796875,-148.224480667434
-3.67578125,-148.222224835234
-3.671875,-148.219941163347
-3.66796875,-148.217629578092
-3.6640625,-148.215290106726
-3.66015625,-148.212922710171
-3.65625,-148.210527390052
-3.65234375,-148.208104111337
-3.6484375,-148.205652850845
-3.64453125,-148.203173589968
-3.640625,-148.200666280975
