c1,c2
-1.99609375,-113.263716449441
-1.9921875,-113.263325252986
-1.98828125,-113.262673264245
-1.984375,-113.261760492281
-1.98046875,-113.260586948634
-1.9765625,-113.259152647721
-1.97265625,-113.257457609296
-1.96875,-113.255501854818
-1.96484375,-113.253285409062
-1.9609375,-113.25080830134
-1.95703125,-113.248070562679
-1.953125,-113.245072229279
-1.94921875,-113.241813338513
-1.9453125,-113.238293932777
-1.94140625,-113.234514056543
-1.9375,-113.230473757692
-1.93359375,-113.226173087473
-1.9296875,-113.221612100599
-1.92578125,-113.216790853793
-1.921875,-113.211709407616
-1.91796875,-113.206367824505
-1.9140625,-113.200766172143
-1.91015625,-113.194904517594
-1.90625,-113.188782933814
-1.90234375,-113.182401496589
-1.8984375,-113.175760280817
-1.89453125,-113.168859368997
-1.890625,-113.161698842795
-1.88671875,-113.154278787292
-1.8828125,-113.146599291377
-1.87890625,-113.138660444653
-1.875,-113.130462339627
-1.87109375,-113.122005071565
-1.8671875,-113.113288738429
-1.86328125,-113.104313437993
-1.859375,-113.095079273151
-1.85546875,-113.085586347456
-1.8515625,-113.075834765397
-1.84765625,-113.06582463527
-1.84375,-113.055556065013
-1.83984375,-113.045029167135
-1.8359375,-113.034244052792
-1.83203125,-113.02320083651
-1.828125,-113.011899634301
-1.82421875,-113.000340561935
-1.8203125,-112.988523739045
-1.81640625,-112.976449283815
-1.8125,-112.964117318225
-1.80859375,-112.951527962426
-1.8046875,-112.938681339509
-1.80078125,-112.925577572185
-1.796875,-112.912216785653
-1.79296875,-112.898599102898
-1.7890625,-112.884724649967
-1.78515625,-112.870593552934
-1.78125,-112.856205936036
-1.77734375,-112.841561926216
-1.7734375,-112.826661649152
-1.76953125,-112.811505232035
-1.765625,-112.796092799258
-1.76171875,-112.780424477815
-1.7578125,-112.764500392258
-1.75390625,-112.748320668428
-1.75,-112.73188542952
-1.74609375,-112.715194800718
-1.7421875,-112.698248904759
-1.73828125,-112.681047861605
-1.734375,-112.663591794371
-1.73046875,-112.645880822133
-1.7265625,-112.627915063534
-1.72265625,-112.609694635155
-1.71875,-112.591219652888
-1.71484375,-112.572490230541
-1.7109375,-112.553506479935
-1.70703125,-112.534268512113
-1.703125,-112.514776434361
-1.69921875,-112.495030353586
-1.6953125,-112.475030373483
-1.69140625,-112.454776594961
-1.6875,-112.434269117362
-1.68359375,-112.413508036936
-1.6796875,-112.392493447166
-1.67578125,-112.371225437825
-1.671875,-112.349704096814
-1.66796875,-112.32792950739
-1.6640625,-112.305901749877
-1.66015625,-112.283620902915
-1.65625,-112.261087038348
-1.65234375,-112.238300226956
-1.6484375,-112.215260534672
-1.64453125,-112.191968024597
-1.640625,-112.168422754966
-1.63671875,-112.144624781411
-1.6328125,-112.120574152983
-1.62890625,-112.09627091577
-1.625,-112.071715110947
-1.62109375,-112.046906773287
-1.6171875,-112.021845933094
-1.61328125,-111.99653261209
-1.609375,-111.970966829573
-1.60546875,-111.945148595183
-1.6015625,-111.919077915072
-1.59765625,-111.892754789
-1.59375,-111.866179211185
-1.58984375,-111.839351172582
-1.5859375,-111.812270659663
-1.58203125,-111.78493765684
-1.578125,-111.757352142384
-1.57421875,-111.729514091691
-1.5703125,-111.701423475007
-1.56640625,-111.673080253605
-1.5625,-111.644484380417
-1.55859375,-111.615635795545
-1.5546875,-111.586534425665
-1.55078125,-111.557180182102
-1.546875,-111.527572959949
-1.54296875,-111.497712640619
-1.5390625,-111.467599092828
-1.53515625,-111.43723218029
-1.53125,-111.406611761824
-1.52734375,-111.375737702837
-1.5234375,-111.344609877027
-1.51953125,-111.313228169917
-1.515625,-111.281592481222
-1.51171875,-111.249702719474
-1.5078125,-111.217558795386
-1.50390625,-111.185160610491
-1.5,-111.152508041691
-1.49609375,-111.119600926137
-1.4921875,-111.086439046782
-1.48828125,-111.053022122128
-1.484375,-111.019349803584
-1.48046875,-110.985421682199
-1.4765625,-110.951237304357
-1.47265625,-110.916796201213
-1.46875,-110.882097922396
-1.46484375,-110.847142074507
-1.4609375,-110.811928358353
-1.45703125,-110.776456595648
-1.453125,-110.740726737345
-1.44921875,-110.70473885288
-1.4453125,-110.668493092319
-1.44140625,-110.631989623135
-1.4375,-110.595228546695
-1.43359375,-110.55820980684
-1.4296875,-110.520933098917
-1.42578125,-110.483397800547
-1.421875,-110.445602937558
-1.41796875,-110.407547203118
-1.4140625,-110.369229031056
-1.41015625,-110.330646736359
-1.40625,-110.291798693087
-1.40234375,-110.252683556091
-1.3984375,-110.213300465484
-1.39453125,-110.17364922437
-1.390625,-110.133730394366
-1.38671875,-110.093545282172
-1.3828125,-110.053095795008
-1.37890625,-110.012384159349
-1.375,-109.971412524641
-1.37109375,-109.93018248714
-1.3671875,-109.888694607333
-1.36328125,-109.84694799164
-1.359375,-109.804940028982
-1.35546875,-109.76266635697
-1.3515625,-109.720121110553
-1.34765625,-109.677297473178
-1.34375,-109.634188499136
-1.33984375,-109.590788123942
-1.3359375,-109.547092236725
-1.33203125,-109.503099646183
-1.328125,-109.45881275154
-1.32421875,-109.414237754754
-1.3203125,-109.369384281106
-1.31640625,-109.324264351635
-1.3125,-109.278890748365
-1.30859375,-109.233274924296
-1.3046875,-109.187424708386
-1.30078125,-109.141342152315
-1.296875,-109.095021890003
-1.29296875,-109.04845039947
-1.2890625,-109.001606448042
-1.28515625,-108.954462896081
-1.28125,-108.906989814755
-1.27734375,-108.859158673038
-1.2734375,-108.810947102709
-1.26953125,-108.762343576215
-1.265625,-108.713351206249
-1.26171875,-108.66398987244
-1.2578125,-108.614296017063
-1.25390625,-108.564319693055
-1.25,-108.514118833297
-1.24609375,-108.463751157983
-1.2421875,-108.413264589024
-1.23828125,-108.362687452567
-1.234375,-108.312020008438
-1.23046875,-108.26122893157
-1.2265625,-108.210246183118
-1.22265625,-108.158973287276
-1.21875,-108.107291331925
-1.21484375,-108.055076152223
-1.2109375,-108.002217194379
-1.20703125,-107.948637661269
-1.203125,-107.894312881217
-1.19921875,-107.839283566946
-1.1953125,-107.78366087382
-1.19140625,-107.727620985479
-1.1875,-107.671388271137
-1.18359375,-107.615207752767
-1.1796875,-107.559309429298
-1.17578125,-107.503868704012
-1.171875,-107.448968443329
-1.16796875,-107.394568900834
-1.1640625,-107.340491617782
-1.16015625,-107.286422426342
-1.15625,-107.23193668252
-1.15234375,-107.17654695751
-1.1484375,-107.119769765859
-1.14453125,-107.061203973894
-1.140625,-107.000610002527
-1.13671875,-106.937976641056
-1.1328125,-106.873562084335
-1.12890625,-106.807898076227
-1.125,-106.741750755945
