c1,c2
-3.99609375,-0.0355628318054957
-3.9921875,-0.0344506225881101
-3.98828125,-0.0326500133603135
-3.984375,-0.0302381914137779
-3.98046875,-0.0273184904680576
-3.9765625,-0.0240159245404294
-3.97265625,-0.0204718038386139
-3.96875,-0.0168376735297526
-3.96484375,-0.0132688419557481
-3.9609375,-0.00991777756818433
-3.95703125,-0.00692765383523827
-3.953125,-0.00442630960711579
-3.94921875,-0.00252087037505607
-3.9453125,-0.00129324523930839
-3.94140625,-0.000796676989924847
-3.9375,-0.00105348018625377
-3.93359375,-0.00205405600525492
-3.9296875,-0.00375722423121938
-3.92578125,-0.00609186324492337
-3.921875,-0.00895979933960856
-3.91796875,-0.0122398382865429
-3.9140625,-0.015792786078213
-3.91015625,-0.0194672636866749
-3.90625,-0.0231060842081127
-3.90234375,-0.0265529318167161
-3.8984375,-0.0296590624658997
-3.89453125,-0.0322897380617982
-3.890625,-0.0343301103357722
-3.88671875,-0.0356902886989209
-3.8828125,-0.0363093579980323
-3.87890625,-0.0361581563823892
-3.875,-0.0352406785187535
-3.87109375,-0.0335940323380223
-3.8671875,-0.0312869448434352
-3.86328125,-0.0284168803415421
-3.859375,-0.0251058988205551
-3.85546875,-0.021495439467607
-3.8515625,-0.0177402614971009
-3.84765625,-0.0140018094291103
-3.84375,-0.0104412915479101
-3.83984375,-0.00721276827284102
-3.8359375,-0.00445654219602923
-3.83203125,-0.00229312481563641
-3.828125,-0.000818028136342245
-3.82421875,-9.75940947398119e-05
-3.8203125,-0.000166032937195509
-3.81640625,-0.00102379481718858
-3.8125,-0.00263734837153196
-3.80859375,-0.0049403870875247
-3.8046875,-0.00783643000606803
-3.80078125,-0.0112027288745642
-3.796875,-0.0148953405915323
-3.79296875,-0.018755173272556
-3.7890625,-0.0226147684459304
-3.78515625,-0.0263055429999582
-3.78125,-0.0296651849950204
-3.77734375,-0.032544879767496
-3.7734375,-0.0348160390640141
-3.76953125,-0.0363762178508714
-3.765625,-0.0371539316670217
-3.76171875,-0.0371121315417251
-3.7578125,-0.0362501519596896
-3.75390625,-0.0346040173024824
-3.75,-0.0322450697806636
-3.74609375,-0.0292769625637526
-3.7421875,-0.0258311408217869
-3.73828125,-0.0220610061239651
-3.734375,-0.0181350221404952
-3.73046875,-0.0142290688660148
-3.7265625,-0.0105183867716314
-3.72265625,-0.00716947070209832
-3.71875,-0.00433227629842258
-3.71484375,-0.00213309035975838
-3.7109375,-0.000668392453838802
-3.70703125,0
-3.703125,-0.000151744648370019
-3.69921875,-0.00110787546674773
-3.6953125,-0.00281332531386928
-3.69140625,-0.00517591166729173
-3.6875,-0.00807047285596901
-3.68359375,-0.0113448660651975
-3.6796875,-0.0148276760325597
-3.67578125,-0.0183374051434186
-3.671875,-0.0216928396481945
-3.66796875,-0.0247242168556848
-3.6640625,-0.0272847590556065
-3.66015625,-0.0292620966355578
-3.65625,-0.0305890802798959
-3.65234375,-0.0312534843482166
-3.6484375,-0.0313061330823877
-3.64453125,-0.0308670386086661
-3.640625,-0.0301292226999859
-3.63671875,-0.0293599983012133
-3.6328125,-0.0288996050289247
