c1,c2
0,5.63820299451889e-07
0.125,-1.70421526963063e-07
0.25,-1.05074447964726e-06
0.375,-1.73426077786565e-06
0.5,-1.86137525429034e-06
0.625,-1.20877856389844e-06
0.75,1.7140595894204e-07
0.875,1.89163594183354e-06
1,3.2983080837974e-06
1.125,3.67890804721292e-06
1.25,2.55738994218802e-06
1.375,-2.54645582574598e-08
1.5,-3.37443001748758e-06
1.625,-6.24839707313497e-06
1.75,-7.2414886760495e-06
1.875,-5.35127804228588e-06
2,-5.40713877742231e-07
2.125,5.95507966639879e-06
2.25,1.17887337401767e-05
2.375,1.41974792038312e-05
2.5,1.10922577423303e-05
2.625,2.17852858402006e-06
2.75,-1.03742590154705e-05
2.875,-2.21446014860285e-05
3,-2.77244558420123e-05
3.125,-2.27992930470638e-05
3.25,-6.3736795409184e-06
3.375,1.77920517320094e-05
3.5,4.14031824483889e-05
3.625,5.39122547917802e-05
3.75,4.64788282349273e-05
3.875,1.63723765769002e-05
4,-2.99839030498952e-05
4.125,-7.70771200822961e-05
4.25,-0.000104387556939587
4.375,-9.39107792169322e-05
4.5,-3.88532916597799e-05
4.625,4.99651679590491e-05
4.75,0.000143513794894865
4.875,0.000201788582067885
5,0.000188102762760599
5.125,8.63262696734905e-05
5.25,-8.55617917773764e-05
5.375,-0.000272656465492548
5.5,-0.000395588686676221
5.625,-0.000377617945440024
5.75,-0.000179296882158741
5.875,0.000171585144037924
6,0.000568579780175399
6.125,0.000843632261752784
6.25,0.000813613478259972
6.375,0.000345791029230674
6.5,-0.000578226034732292
6.625,-0.00182437730811714
6.75,-0.00311318184053701
6.875,-0.00407789282317034
7,-0.00436227673903414
7.125,-0.0037312858594996
7.25,-0.00216086906610075
7.375,0.000122839438691452
7.5,0.00267116383694736
7.625,0.0049051372733581
7.75,0.00625232089401935
7.875,0.00629534306420885
8,0.00489419179872097
8.125,0.00224820008977159
8.25,-0.00112342724955876
8.375,-0.00448393363077775
8.5,-0.00704374364276052
8.625,-0.00814967619139857
8.75,-0.00745290246843533
8.875,-0.00501376090752332
9,-0.00131520704847809
9.125,0.00282370519626486
9.25,0.00642119076371393
9.375,0.00855931121509607
9.5,0.00861449260184878
9.625,0.00643645557915818
9.75,0.00242692975914756
9.875,-0.00251006623830455
10,-0.00714520534908579
10.125,-0.0101964200967637
10.25,-0.0106414375448251
10.375,-0.00800193451983672
10.5,-0.00253109492045917
10.625,0.00475028430559925
10.75,0.0121974048970625
10.875,0.0178553136937151
11,0.019891235428517
11.125,0.0170580652287046
11.25,0.00908434554522497
11.375,-0.0031070333878674
11.5,-0.0174201368236575
11.625,-0.0308723891235297
11.75,-0.0401206239313538
11.875,-0.0421496040696742
12,-0.0349997453713477
12.125,-0.0183817137812812
12.25,0.00597292498699938
12.375,0.0343368494448208
12.5,0.0614304811285923
12.625,0.0812454602714413
12.75,0.0881358741521891
12.875,0.0780079200939678
13,0.049401400322999
13.125,0.00424555119506407
13.25,-0.0518994063023406
13.375,-0.11022623567909
13.5,-0.159687125344534
13.625,-0.188500430303362
13.75,-0.185944192639838
13.875,-0.144171407407532
14,-0.0597633518668189
14.125,0.0652520159295282
14.25,0.223135323532412
14.375,0.401030511546004
14.5,0.58236887960818
14.625,0.748883983869672
14.75,0.882945596634961
14.875,0.969887215575735
15,1
15.125,0.969887215575734
15.25,0.88294559663496
15.375,0.748883983869671
15.5,0.58236887960818
15.625,0.401030511546006
15.75,0.223135323532415
15.875,0.0652520159295327
16,-0.0597633518668163
16.125,-0.144171407407535
16.25,-0.18594419263985
16.375,-0.188500430303383
16.5,-0.159687125344559
16.625,-0.110226235679116
16.75,-0.05189940630236
16.875,0.00424555119505491
17,0.049401400323001
17.125,0.078007920093979
17.25,0.0881358741522057
17.375,0.081245460271459
17.5,0.0614304811286076
17.625,0.0343368494448314
17.75,0.00597292498700478
17.875,-0.0183817137812802
18,-0.0349997453713495
18.125,-0.0421496040696771
18.25,-0.0401206239313565
18.375,-0.0308723891235313
18.5,-0.0174201368236579
18.625,-0.00310703338786662
18.75,0.00908434554522657
18.875,0.0170580652287066
19,0.019891235428519
19.125,0.0178553136937167
19.25,0.0121974048970636
19.375,0.00475028430560003
19.5,-0.00253109492045848
19.625,-0.00800193451983588
19.75,-0.0106414375448239
19.875,-0.0101964200967623
20,-0.00714520534908432
20.125,-0.0025100662383032
20.25,0.00242692975914861
20.375,0.00643645557915888
20.5,0.00861449260184916
20.625,0.00855931121509624
20.75,0.006421190763714
20.875,0.00282370519626494
21,-0.00131520704847792
21.125,-0.00501376090752302
21.25,-0.00745290246843492
21.375,-0.00814967619139812
21.5,-0.00704374364276014
21.625,-0.00448393363077751
21.75,-0.00112342724955871
21.875,0.00224820008977144
22,0.00489419179872068
22.125,0.00629534306420849
22.25,0.00625232089401901
22.375,0.00490513727335783
22.5,0.00267116383694721
22.625,0.000122839438691408
22.75,-0.0021608690661007
22.875,-0.00373128585949948
23,-0.00436227673903396
23.125,-0.00407789282317012
23.25,-0.00311318184053675
23.375,-0.00182437730811687
23.5,-0.000578226034732043
23.625,0.000345791029230854
23.75,0.000813613478260036
23.875,0.000843632261752704
24,0.000568579780175184
24.125,0.00017158514403762
24.25,-0.000179296882159068
24.375,-0.000377617945440308
24.5,-0.000395588686676416
24.625,-0.000272656465492639
24.75,-8.55617917773773e-05
24.875,8.63262696735455e-05
25,0.00018810276276067
25.125,0.000201788582067942
25.25,0.000143513794894891
25.375,4.99651679590446e-05
25.5,-3.88532916598027e-05
25.625,-9.3910779216958e-05
25.75,-0.000104387556939603
25.875,-7.70771200822975e-05
26,-2.99839030498836e-05
26.125,1.63723765769182e-05
26.25,4.64788282349437e-05
26.375,5.39122547917891e-05
26.5,4.14031824483882e-05
26.625,1.77920517320008e-05
26.75,-6.37367954093054e-06
26.875,-2.27992930470745e-05
27,-2.77244558420178e-05
27.125,-2.21446014860272e-05
27.25,-1.03742590154635e-05
27.375,2.17852858403006e-06
27.5,1.10922577423398e-05
27.625,1.41974792038376e-05
27.75,1.17887337401785e-05
27.875,5.95507966639637e-06
28,-5.40713877747381e-07
28.125,-5.35127804229176e-06
28.25,-7.24148867605432e-06
28.375,-6.24839707313766e-06
28.5,-3.37443001748793e-06
28.625,-2.54645582560254e-08
28.75,2.55738994219031e-06
28.875,3.67890804721511e-06
29,3.29830808379882e-06
29.125,1.89163594183392e-06
29.25,1.71405958941513e-07
29.375,-1.20877856389947e-06
29.5,-1.8613752542914e-06
29.625,-1.73426077786638e-06
29.75,-1.05074447964749e-06
29.875,-1.70421526962816e-07
30,5.63820299452424e-07
30.125,9.37758145155107e-07
30.25,9.08431149294759e-07
30.375,5.79033640393753e-07
30.5,1.30247234397112e-07
30.625,-2.58716071315907e-07
30.75,-4.70309133330199e-07
30.875,-4.74090322290616e-07
31,-3.16855965989216e-07
31.125,-8.89656135777914e-08
31.25,1.16257678797741e-07
31.375,2.34736076666704e-07
31.5,2.46516172501697e-07
31.625,1.72301562008916e-07
31.75,5.70542004278516e-08
31.875,-5.08048311351485e-08
32,-1.16551472035617e-07
32.125,-1.27719406400012e-07
32.25,-9.31620735945161e-08
32.375,-3.51301613219148e-08
32.5,2.13435676880722e-08
32.625,5.7543563517374e-08
32.75,6.59319567462652e-08
32.875,5.01089854863536e-08
33,2.10202855229093e-08
33.125,-8.43961302460714e-09
33.25,-2.82337129845765e-08
33.375,-3.39118633626608e-08
33.5,-2.68215391532957e-08
33.625,-1.23115069353988e-08
33.75,3.00053810237249e-09
33.875,1.37568776362745e-08
34,1.73780567885432e-08
34.125,1.429148516781e-08
34.25,7.0914798845187e-09
34.375,-8.38332407176382e-10
34.5,-6.65054820073863e-09
34.625,-8.87175318438823e-09
34.75,-7.58237247904543e-09
34.875,-4.03005129286693e-09
35,6.1797006877935e-11
35.125,3.1861954037105e-09
35.25,4.51156956994061e-09
35.375,4.00639932249522e-09
35.5,2.2647874966086e-09
35.625,1.61053940490251e-10
35.75,-1.51042024936545e-09
35.875,-2.28503075902544e-09
36,-2.10859871660447e-09
36.125,-1.26072696016734e-09
36.25,-1.83139832385486e-10
36.375,7.07028808879679e-10
36.5,1.15244879794246e-09
36.625,1.10554834387757e-09
36.75,6.96059251788821e-10
36.875,1.4617938884817e-10
37,-3.25872903124929e-10
37.125,-5.78649210930459e-10
37.25,-5.77490928093052e-10
37.375,-3.81532522250408e-10
37.5,-1.02029421788951e-10
37.625,1.47279706558051e-10
37.75,2.89166684598873e-10
37.875,3.00554335508577e-10
38,2.07784756244915e-10
38.125,6.62890754555712e-11
38.25,-6.48656050413758e-11
38.375,-1.43769338936537e-10
38.5,-1.55856907825422e-10
38.625,-1.12502028296654e-10
38.75,-4.11749674810057e-11
38.875,2.75601637807736e-11
39,7.10852301751522e-11
39.125,8.05299913891076e-11
39.25,6.05880116935066e-11
39.375,2.47934988183036e-11
39.5,-1.10954798058947e-11
39.625,-3.49342940671618e-11
39.75,-4.14581273552362e-11
39.875,-3.24688338034535e-11
40,-1.45915504349704e-11
40.125,4.07895821604059e-12
40.25,1.70525663030316e-11
40.375,2.12648527716848e-11
40.5,1.73197429987602e-11
40.625,8.43690534534341e-12
40.75,-1.24091144050054e-12
40.875,-8.26077685004308e-12
41,-1.0866351440003e-11
41.125,-9.19867692090596e-12
41.25,-4.80960918551437e-12
41.375,1.88742710392184e-13
41.5,3.96706092300144e-12
41.625,5.53131721315119e-12
41.75,4.86531200796744e-12
41.875,2.70994324486305e-12
42,1.3780083950632e-13
42.125,-1.8858696465306e-12
42.25,-2.80438078313217e-12
42.375,-2.56313162088527e-12
42.5,-1.51190239213356e-12
42.625,-1.93157475811253e-13
42.75,8.85765236550224e-13
42.875,1.41589984885154e-12
43,1.34512685910977e-12
43.125,8.36361562296049e-13
43.25,1.62779177028853e-13
43.375,-4.09966443766799e-13
43.5,-7.11736903424204e-13
43.625,-7.03283758644338e-13
43.75,-4.592270302853e-13
43.875,-1.16508212725877e-13
44,1.86283535398786e-13
44.125,3.56105959218541e-13
44.25,3.66355573790976e-13
44.375,2.50484517291021e-13
44.5,7.68081111872002e-14
44.625,-8.26360384826376e-14
44.75,-1.77282384842928e-13
44.875,-1.90150573450302e-13
45,-1.35811827728896e-13
45.125,-4.81681086859402e-14
45.25,3.54712961616435e-14
45.375,8.7780533634156e-14
45.5,9.83379736898928e-14
45.625,7.32359960419593e-14
45.75,2.92028523458398e-14
45.875,-1.45083132688363e-14
46,-4.32069860399254e-14
46.125,-5.06720411464838e-14
46.25,-3.92939079923138e-14
46.375,-1.72749890452879e-14
46.5,5.48548871544079e-15
46.625,2.1127819229825e-14
46.75,2.60149056100959e-14
46.875,2.09839938353415e-14
47,1.00288041545966e-14
47.125,-1.77968351850287e-15
47.25,-1.02553378876656e-14
47.375,-1.33061969236495e-14
47.5,-1.11566538094596e-14
47.625,-5.7358129091863e-15
47.75,3.68488124058461e-16
47.875,4.93619856489592e-15
48,6.77987468074932e-15
48.125,5.90690590429498e-15
48.25,3.24061555142349e-15
48.375,9.64906904799107e-17
48.5,-2.35289039124859e-15
48.625,-3.44087876379447e-15
48.75,-3.11490151770046e-15
48.875,-1.81216464961862e-15
49,-1.98669637246804e-16
49.125,1.1086799473143e-15
49.25,1.73910160830854e-15
49.375,1.63624318290564e-15
49.5,1.00447996335496e-15
49.625,1.7956505957239e-16
49.75,-5.15175041787898e-16
49.875,-8.75180804801279e-16
50,-8.56282287131225e-16
50.125,-5.52515848843576e-16
50.25,-1.32388480927248e-16
50.375,2.35268861347215e-16
50.5,4.38404853056863e-16
50.625,4.46462164341171e-16
50.75,3.01847108624698e-16
50.875,8.87265729632743e-17
51,-1.05062897575487e-16
51.125,-2.18533922201201e-16
51.25,-2.31937865315837e-16
51.375,-1.6389579496421e-16
51.5,-5.6232412493574e-17
51.625,4.55194704653623e-17
51.75,1.08357061114665e-16
51.875,1.20056855584133e-16
52,8.84966454079144e-17
52.125,3.43444392164249e-17
52.25,-1.88816787142449e-17
52.375,-5.34169306096562e-17
52.5,-6.19196054724591e-17
52.625,-4.75397930237208e-17
52.75,-2.04282389620881e-17
52.875,7.31190620024315e-18
53,2.61650099375355e-17
53.125,3.18186246387172e-17
53.25,2.54165063704358e-17
53.375,1.19100757106806e-17
53.5,-2.49493534767071e-18
53.625,-1.27248522443878e-17
53.75,-1.62899904318553e-17
53.875,-1.35278749754518e-17
54,-6.83520520118972e-18
54.125,6.180686824052e-19
54.25,6.13838658364088e-18
54.375,8.30821979684812e-18
54.5,7.16970467546684e-18
54.625,3.87274223119027e-18
54.75,3.03167276026596e-20
54.875,-2.93347305201725e-18
55,-4.22075847604942e-18
55.125,-3.78454240960861e-18
55.25,-2.17087350250897e-18
55.375,-1.97208350878152e-19
55.5,1.38649886490522e-18
55.625,2.13550456572169e-18
55.75,1.98989871040764e-18
55.875,1.2058171979753e-18
56,1.95811306852605e-19
56.125,-6.46690046185532e-19
56.25,-1.07585127992368e-18
56.375,-1.04232677431327e-18
56.5,-6.64474675211705e-19
56.625,-1.49581966424426e-19
56.75,2.96726163882411e-19
56.875,5.39559106777574e-19
57,5.43961749286105e-19
57.125,3.63603519330353e-19
57.25,1.02147931152255e-19
57.375,-1.33328684172957e-19
57.5,-2.69295506461589e-19
57.625,-2.82844719705441e-19
57.75,-1.97718715777525e-19
57.875,-6.54985688306058e-20
58,5.82592846521488e-20
58.125,1.33708834235069e-19
58.25,1.46539575214869e-19
58.375,1.06903208234259e-19
58.5,4.03256490550904e-20
58.625,-2.44718051896358e-20
58.75,-6.60133083724082e-20
58.875,-7.56465898958182e-20
59,-5.74990620067513e-20
59.125,-2.41272891362415e-20
59.25,9.67437098141224e-21
59.375,3.23887604404312e-20
59.5,3.89081288410001e-20
59.625,3.07767558366821e-20
59.75,1.4130487901531e-20
59.875,-3.43803842846633e-21
60,-1.57810814754272e-20
60.125,-1.99381619831791e-20
60.25,-1.63987540912161e-20
60.375,-8.1388631728062e-21
60.5,9.59440111619998e-22
60.625,7.6289290201176e-21
60.75,1.01786094781227e-20
60.875,8.70028020604075e-21
61,4.62510727962932e-21
61.125,-6.96416742264431e-23
61.25,-3.65482064911392e-21
61.375,-5.17608724465323e-21
61.5,-4.5970287783511e-21
61.625,-2.5991153734472e-21
61.75,-1.85439900826194e-22
61.875,1.73251392218055e-21
62,2.62156539350721e-21
62.125,2.41942392223353e-21
62.25,1.44679790015002e-21
62.375,2.10464101779249e-22
62.5,-8.10957755356415e-22
62.625,-1.32216218836129e-21
62.75,-1.26850140102523e-21
62.875,-7.98772675157224e-22
63,-1.67893431397911e-22
63.125,3.73755175392071e-22
63.25,6.63853999869877e-22
63.375,6.62603394799752e-22
63.5,4.37824265355879e-22
63.625,1.17153063690026e-22
63.75,-1.68909210651184e-22
63.875,-3.3174101986337e-22
64,-3.44847296836369e-22
64.125,-2.38437249512138e-22
64.25,-7.61026102335244e-23
64.375,7.43851790929152e-23
64.5,1.64934079351588e-22
64.625,1.78823771316497e-22
64.75,1.2909625215892e-22
64.875,4.7265459215087e-23
65,-3.16008338887875e-23
65.125,-8.15485195696984e-23
65.25,-9.23957946014157e-23
65.375,-6.95237858302772e-23
65.5,-2.84586785182012e-23
65.625,1.27196815958897e-23
65.75,4.00756418975533e-23
65.875,4.75663196961788e-23
66,3.72569496053154e-23
66.125,1.67476095808051e-23
66.25,-4.67436214171626e-24
66.375,-1.95618128088596e-23
66.5,-2.43976215519779e-23
66.625,-1.98735894320847e-23
66.75,-9.68310040649371e-24
66.875,1.42081268403796e-24
67,9.47610454266861e-24
67.125,1.24670581384211e-23
67.25,1.05549165613036e-23
67.375,5.51981673397277e-24
67.5,-2.15017130774038e-25
67.625,-4.55057028948923e-24
67.75,-6.34605419555612e-24
67.875,-5.58257988966709e-24
68,-3.1100070540991e-24
68.125,-1.58904293308676e-25
68.25,2.16318930277204e-24
68.375,3.21741414820704e-24
68.5,2.94096707230736e-24
68.625,1.73505499357825e-24
68.75,2.22032615792245e-25
68.875,-1.0159785532584e-24
69,-1.62441518667271e-24
69.125,-1.54339698788044e-24
69.25,-9.59783749810576e-25
69.375,-1.86977925791832e-25
69.5,4.7021155633625e-25
69.625,8.16541377008746e-25
69.75,8.06938150514509e-25
69.875,5.26984439017161e-25
70,1.33785290760953e-25
70.125,-2.13645014988258e-25
70.25,-4.08537354653935e-25
70.375,-4.20346843401963e-25
70.5,-2.87437343292522e-25
70.625,-8.81819027524756e-26
70.75,9.47659322198096e-26
70.875,2.03381505114334e-25
71,2.18171485255682e-25
71.125,1.55844900893999e-25
71.25,5.52943045694408e-26
71.375,-4.06733285723761e-26
71.5,-1.00701708471787e-25
71.625,-1.12828019991683e-25
71.75,-8.40374557492073e-26
71.875,-3.35204372215594e-26
72,1.66330926218344e-26
72.125,4.95660844292503e-26
72.25,5.81379134224292e-26
72.375,4.50886583348881e-26
72.5,1.98278188305051e-26
72.625,-6.28692819466273e-27
72.75,-2.42368632473066e-26
72.875,-2.98475411764191e-26
73,-2.40782222326414e-26
73.125,-1.15102571125292e-26
73.25,2.03833265800485e-27
73.375,1.17641797578815e-26
73.5,1.52663569132654e-26
73.625,1.28016139071535e-26
73.75,6.58284526590057e-27
73.875,-4.20912487550184e-28
74,-5.66229826598126e-27
74.125,-7.77854104182835e-27
74.25,-6.77775048175081e-27
74.375,-3.71904893932167e-27
74.5,-1.1168231596438e-28
74.625,2.69890935981627e-27
74.75,3.94766853342515e-27
74.875,3.57408440123285e-27
75,2.07964831979767e-27
75.125,2.28448161922036e-28
75.25,-1.27167649725118e-27
75.375,-1.9952203006202e-27
75.5,-1.87742869433669e-27
75.625,-1.15271784529862e-27
75.75,-2.06284470877651e-28
75.875,5.90888410948372e-28
76,1.00405608703997e-27
76.125,9.8248922296026e-28
76.25,6.34040837473225e-28
76.375,1.52029929712208e-28
76.5,-2.69829901462376e-28
76.625,-5.02955388934592e-28
76.75,-5.12260427562627e-28
76.875,-3.46378759553964e-28
77,-1.01869114533258e-28
77.125,1.20487517659568e-28
77.25,2.50706989827622e-28
77.375,2.66117331074036e-28
77.5,1.88072186136695e-28
77.625,6.45533263474748e-29
77.75,-5.21968375954034e-29
77.875,-1.24307607825797e-28
78,-1.37747534329153e-28
78.125,-1.01549252784164e-28
78.25,-3.94229281961842e-29
78.375,2.1648078773098e-29
78.5,6.12789953552871e-29
78.625,7.10428526103539e-29
78.75,5.45507698709324e-29
78.875,2.34473749636083e-29
79,-8.38099061879786e-30
79.125,-3.00154570203003e-29
79.25,-3.65063907278587e-29
79.375,-2.91644332343635e-29
79.5,-1.36695829014523e-29
79.625,2.85819861945786e-30
79.75,1.45971160053819e-29
79.875,1.86897508834176e-29
80,1.55225008903516e-29
80.125,7.84466145019905e-30
80.25,-7.06860453204266e-31
80.375,-7.04137380382241e-30
80.5,-9.53203693751747e-30
80.625,-8.22674578047401e-30
80.75,-4.44453477257551e-30
80.875,-3.59710253378718e-32
81,3.36490100159772e-30
81.125,4.84242741606241e-30
81.25,4.34245273293808e-30
81.375,2.49132059612604e-30
81.5,2.26882690322394e-31
81.625,-1.59035577630447e-30
