c1,c2
-3.99609375,-62.7506422012441
-3.9921875,-62.3313200434338
-3.98828125,-62.0076888560493
-3.984375,-61.9045240488109
-3.98046875,-62.0570565902617
-3.9765625,-62.4157821367601
-3.97265625,-62.8409017861702
-3.96875,-63.1227723331664
-3.96484375,-63.0945172551868
-3.9609375,-62.7769792397457
-3.95703125,-62.3582833889977
-3.953125,-62.0398491578849
-3.94921875,-61.9437300701286
-3.9453125,-62.1027287063631
-3.94140625,-62.4649377711061
-3.9375,-62.8881828614866
-3.93359375,-63.1623235752174
-3.9296875,-63.124457506275
-3.92578125,-62.8014106963305
-3.921875,-62.383487448667
-3.91796875,-62.0703105030864
-3.9140625,-61.9812265174551
-3.91015625,-62.1466243674775
-3.90625,-62.5121955217208
-3.90234375,-62.9334125428658
-3.8984375,-63.1997333074447
-3.89453125,-63.1523319938838
-3.890625,-62.8239562373652
-3.88671875,-62.4069493616923
-3.8828125,-62.0990887020599
-3.87890625,-62.0170289629296
-3.875,-62.1887590477566
-3.87109375,-62.5575704501157
-3.8671875,-62.976606113544
-3.86328125,-63.2350191562463
-3.859375,-63.1781605071185
-3.85546875,-62.8446344413954
-3.8515625,-62.428685266775
-3.84765625,-62.1261986146625
-3.84375,-62.0511520158184
-3.83984375,-62.2291472064887
-3.8359375,-62.6010765462686
-3.83203125,-63.0177777709114
-3.828125,-63.2681976834154
-3.82421875,-63.2019617550915
-3.8203125,-62.8634628356368
-3.81640625,-62.4487103344777
-3.8125,-62.1516541792813
-3.80859375,-62.0836093532905
-3.8046875,-62.2678023197613
-3.80078125,-62.6427267604195
-3.796875,-63.0569406619809
-3.79296875,-63.2992844213943
-3.7890625,-63.223753402422
-3.78515625,-62.880457928916
-3.78125,-62.4670387969606
-3.77734375,-62.1754684416922
-3.7734375,-62.1144137468502
-3.76953125,-62.3047369093603
-3.765625,-62.6825330339319
-3.76171875,-63.094106915
-3.7578125,-63.3282939070707
-3.75390625,-63.2435521006541
-3.75,-62.8956352425049
-3.74609375,-62.4836839756037
-3.7421875,-62.197653579894
-3.73828125,-62.1435770890125
-3.734375,-62.3399625683617
-3.73046875,-62.7205063273408
-3.7265625,-63.1292876704287
-3.72265625,-63.3552397110175
-3.71875,-63.2613735180099
-3.71484375,-62.9090093386481
-3.7109375,-62.4986583064791
-3.70703125,-62.2182209277218
-3.703125,-62.1711104164048
-3.69921875,-62.3734899863456
-3.6953125,-62.7566566450235
-3.69140625,-63.1624931084992
-3.6875,-63.3801344658458
-3.68359375,-63.2772323667813
-3.6796875,-62.9205938461625
-3.67578125,-62.511973363735
-3.671875,-62.2371809966403
-3.66796875,-62.1970239313703
-3.6640625,-62.4053289710803
-3.66015625,-62.7909930602246
-3.65625,-63.1937324729275
-3.65234375,-63.4029898928186
-3.6484375,-63.2911424272545
-3.64453125,-62.9304014846275
-3.640625,-62.5236398811781
-3.63671875,-62.2545434956635
-3.6328125,-62.221327021762
-3.62890625,-62.4354884691386
-3.625,-62.8235237347901
-3.62109375,-63.2230140967598
-3.6171875,-63.4238168230766
-3.61328125,-63.3031165717003
-3.609375,-62.9384440860263
-3.60546875,-62.53366777171
-3.6015625,-62.2703173497232
-3.59765625,-62.2440282788178
-3.59375,-62.4639765841814
-3.58984375,-62.8542559400278
-3.5859375,-63.2503454214089
-3.58203125,-63.4426252207917
-3.578125,-63.3131667836367
-3.57421875,-62.9447326154339
-3.5703125,-62.5420661449
-3.56640625,-62.2845107154089
-3.5625,-62.2651355141556
-3.55859375,-62.4908005943492
-3.5546875,-62.883196073213
-3.55078125,-63.2757330171407
-3.546875,-63.4594242015264
-3.54296875,-63.3213041770174
-3.5390625,-62.949277187947
-3.53515625,-62.548843324381
-3.53125,-62.2971309968758
-3.52734375,-62.2846557740127
-3.5234375,-62.5159669659128
-3.51953125,-62.9103496749793
-3.515625,-63.2991825996901
-3.51171875,-63.474222049174
-3.5078125,-63.3275390140076
-3.50390625,-62.9520870860955
-3.5,-62.5540068608851
-3.49609375,-62.3081848587264
-3.4921875,-62.3025953527524
-3.48828125,-62.539481368553
-3.484375,-62.9357214417706
-3.48046875,-63.3206990469114
-3.4765625,-63.4870262324019
-3.47265625,-63.3318807176852
-3.46875,-62.9531707742998
-3.46484375,-62.5575635465707
-3.4609375,-62.317678238123
-3.45703125,-62.318959804995
-3.453125,-62.5613486860963
-3.44921875,-62.959315239502
-3.4453125,-63.3402864110297
-3.44140625,-63.4978434178107
-3.4375,-63.3343378877454
-3.43359375,-62.9525359116684
-3.4296875,-62.5595194260698
-3.42578125,-62.3256163558093
-3.421875,-62.3337539555631
-3.41796875,-62.5815730273731
-3.4140625,-62.9811341137546
-3.41015625,-63.3579479331551
-3.40625,-63.5066794814168
-3.40234375,-63.3349183105175
-3.3984375,-62.9501893637838
-3.39453125,-62.5598798071169
-3.390625,-62.3320037249117
-3.38671875,-62.3469819092011
-3.3828125,-62.6001577348481
-3.37890625,-63.0011802998643
-3.375,-63.3736860515427
-3.37109375,-63.5135395198186
-3.3671875,-63.3336289698282
-3.36328125,-62.9461372125586
-3.359375,-62.5586492691162
-3.35546875,-62.3368441596732
-3.3515625,-62.3586470575081
-3.34765625,-62.6171053924117
-3.34375,-63.0194552308624
-3.33984375,-63.3875024113897
-3.3359375,-63.5184278586775
-3.33203125,-63.3304760548452
-3.328125,-62.9403847654127
-3.32421875,-62.5558316706015
-3.3203125,-62.3401407810951
-3.31640625,-62.3687520867962
-3.3125,-62.6324178319433
-3.30859375,-63.0359595421938
-3.3046875,-63.3993978738246
