c1,c2
-3.99609375,-6.25736614396501
-3.9921875,-6.46505159346153
-3.98828125,-7.70607460652899
-3.984375,-7.56633648332802
-3.98046875,-5.45961285144711
-3.9765625,-4.81556980294096
-3.97265625,-2.68558723275681
-3.96875,-4.35575327995546
-3.96484375,-8.73473257210007
-3.9609375,-5.35421341649374
-3.95703125,-3.71053722772539
-3.953125,-1.05153773055121
-3.94921875,-2.79664219315172
-3.9453125,-3.57877141582545
-3.94140625,-4.65359107544832
-3.9375,-4.7818846152863
-3.93359375,-6.31593266528605
-3.9296875,-7.28460011385588
-3.92578125,-3.00227303198243
-3.921875,-2.07953281706636
-3.91796875,-7.08763728276448
-3.9140625,-7.23276992484645
-3.91015625,-5.73290543685624
-3.90625,-3.96264148659926
-3.90234375,-1.96899269232033
-3.8984375,-2.99441354662761
-3.89453125,-7.58558369642734
-3.890625,-10.0216394827213
-3.88671875,-6.18869911619306
-3.8828125,-5.4836951753045
-3.87890625,-5.26308550022346
-3.875,-4.99463112669148
-3.87109375,-6.36221789191639
-3.8671875,-4.22588144847321
-3.86328125,-2.59784726063119
-3.859375,-3.62845334466091
-3.85546875,-5.04021698753222
-3.8515625,-3.23507141322317
-3.84765625,-5.33574722387276
-3.84375,-6.27794646833528
-3.83984375,-5.91567952358019
-3.8359375,-3.97761927126585
-3.83203125,-6.21117481442788
-3.828125,-4.8890264182086
-3.82421875,-4.57924503777079
-3.8203125,-4.63817470105317
-3.81640625,-3.30814139355156
-3.8125,-2.5092807081177
-3.80859375,-2.46584062484868
-3.8046875,-5.90132822701299
-3.80078125,-8.37141215584565
-3.796875,-3.34925803809702
-3.79296875,0
-3.7890625,-3.32099291741994
-3.78515625,-5.55057503960126
-3.78125,-8.53164985086451
-3.77734375,-5.2445984888706
-3.7734375,-6.25207753050049
-3.76953125,-6.81140871200217
-3.765625,-7.62701082477813
-3.76171875,-4.67229279277193
-3.7578125,-3.91255810099212
-3.75390625,-3.59846941255857
-3.75,-3.70251532232591
-3.74609375,-3.26436697548324
-3.7421875,-3.6257377850945
-3.73828125,-4.01244770722141
-3.734375,-4.95816565211594
-3.73046875,-4.91814883567326
-3.7265625,-4.06664958143409
-3.72265625,-5.71770707213069
-3.71875,-4.98778430953224
-3.71484375,-4.89948961288167
-3.7109375,-5.89581636329294
-3.70703125,-6.94223153536164
-3.703125,-4.52702465100406
-3.69921875,-3.52897410054619
-3.6953125,-2.43914346753341
-3.69140625,-4.47825180319864
-3.6875,-5.81611185059317
-3.68359375,-6.55037299989321
-3.6796875,-6.08185671985377
-3.67578125,-5.32935270423753
-3.671875,-6.48679250925157
-3.66796875,-7.15232511812301
-3.6640625,-6.41222415182297
-3.66015625,-5.6386137188883
-3.65625,-5.91188327131508
-3.65234375,-5.13050198590083
-3.6484375,-5.24678737473373
-3.64453125,-5.41273688198979
-3.640625,-3.97784583470493
-3.63671875,-3.71021985905131
-3.6328125,-3.18613004706684
-3.62890625,-2.8579210961168
-3.625,-2.00629680805489
-3.62109375,-5.23776340863761
-3.6171875,-6.25721763252307
-3.61328125,-7.54623832277131
-3.609375,-7.39958035154052
-3.60546875,-6.83077545809747
-3.6015625,-3.74829200460681
-3.59765625,-4.26688708133204
-3.59375,-3.40523660003577
-3.58984375,-3.2875262093251
-3.5859375,-2.13097363126379
-3.58203125,-4.2446852580851
-3.578125,-6.63470572518287
-3.57421875,-6.21023039541303
-3.5703125,-6.18069041001362
-3.56640625,-6.26111379677169
-3.5625,-7.19744358946587
-3.55859375,-9.06374185281938
-3.5546875,-7.82319739855918
-3.55078125,-3.37764935083175
-3.546875,-3.40230078882075
-3.54296875,-6.61534899122725
-3.5390625,-7.6660933138209
-3.53515625,-7.99618451723623
-3.53125,-5.83991831047693
-3.52734375,-6.57416877044261
-3.5234375,-8.93798392281169
-3.51953125,-6.29281521443293
-3.515625,-7.03570301420076
-3.51171875,-6.81326125657383
-3.5078125,-7.50665142286542
-3.50390625,-8.53742083134158
-3.5,-8.46717278878142
-3.49609375,-7.41552713969221
-3.4921875,-8.15152244229884
-3.48828125,-7.44892711116197
-3.484375,-7.56671767668619
-3.48046875,-8.68754814017141
-3.4765625,-9.28903137760104
-3.47265625,-10.4671878065397
-3.46875,-10.2961295201368
-3.46484375,-8.69890590820668
-3.4609375,-10.3360771270258
-3.45703125,-12.1503468500736
-3.453125,-11.7585119548802
-3.44921875,-11.2196000319971
-3.4453125,-13.9275758934004
-3.44140625,-14.6357693045718
-3.4375,-11.8715299054396
-3.43359375,-10.4208767643645
-3.4296875,-11.1430323632351
-3.42578125,-13.1103221211113
-3.421875,-15.6770052034707
-3.41796875,-19.1942505245726
-3.4140625,-20.1828114646778
-3.41015625,-18.8362138328733
-3.40625,-15.9613223064096
-3.40234375,-17.4556346317866
-3.3984375,-21.5312306035425
-3.39453125,-24.4349881336304
-3.390625,-25.3484260073671
-3.38671875,-26.3248164169385
-3.3828125,-28.8338965599642
-3.37890625,-31.8029833384173
-3.375,-33.473948119467
-3.37109375,-37.6762471119635
-3.3671875,-43.4849165026679
-3.36328125,-44.3846083036269
-3.359375,-49.1054264962401
-3.35546875,-44.9582006283773
-3.3515625,-47.7192760097826
-3.34765625,-41.5055945210711
-3.34375,-45.1371607941429
-3.33984375,-41.9819645119877
-3.3359375,-43.0460096826359
-3.33203125,-44.6645249354154
-3.328125,-45.9080575049142
-3.32421875,-46.5979744591077
-3.3203125,-45.393593610073
-3.31640625,-49.7307934068232
-3.3125,-49.4966934504599
-3.30859375,-50.7555623941456
-3.3046875,-50.7647814894765
-3.30078125,-52.4801503848715
-3.296875,-50.2315740749902
-3.29296875,-48.6688950416902
-3.2890625,-48.8789839026975
-3.28515625,-46.0947701889005
-3.28125,-50.1950838391313
-3.27734375,-50.0470341989435
-3.2734375,-46.5965123527698
-3.26953125,-49.9252253972299
-3.265625,-50.8232689226437
-3.26171875,-52.0725531126892
-3.2578125,-53.8602324110378
-3.25390625,-52.7908525699573
-3.25,-52.2548631911843
-3.24609375,-50.549255991188
-3.2421875,-51.7959657981275
-3.23828125,-49.0865301463195
-3.234375,-49.2358519699604
-3.23046875,-51.137683602274
-3.2265625,-52.4551420651378
-3.22265625,-50.5260667406485
-3.21875,-51.2373584738536
-3.21484375,-50.3730151863266
-3.2109375,-51.3576754826064
-3.20703125,-51.7739238574364
-3.203125,-51.9168047685038
-3.19921875,-53.223377157064
-3.1953125,-54.0950021034758
-3.19140625,-54.3242061612854
-3.1875,-53.3411714662046
-3.18359375,-52.8644814479596
-3.1796875,-51.4963829507017
-3.17578125,-49.9171156343656
-3.171875,-50.6290790376645
-3.16796875,-52.2749881037313
-3.1640625,-52.5947666374883
-3.16015625,-52.1480648813487
-3.15625,-53.1438670881313
-3.15234375,-53.2851223026103
-3.1484375,-54.5052842462245
-3.14453125,-53.4428363346932
-3.140625,-52.8138091949426
-3.13671875,-53.7131431905491
-3.1328125,-51.7194697635323
-3.12890625,-54.1852568382928
-3.125,-52.7239978603086
-3.12109375,-52.3994954886421
-3.1171875,-55.3126914816924
-3.11328125,-51.9219783034382
-3.109375,-51.6510402091609
-3.10546875,-52.0562196741588
-3.1015625,-52.3586637855077
-3.09765625,-54.0929379840936
-3.09375,-53.4066166844373
-3.08984375,-53.986042772818
-3.0859375,-55.0799077942295
-3.08203125,-55.382186015015
-3.078125,-55.1645397590849
-3.07421875,-52.3975444363749
-3.0703125,-53.8962289732767
-3.06640625,-52.1476165676576
-3.0625,-53.3395899038366
