c1,c2
-3.99609375,-63.3925191671113
-3.9921875,-62.9865346432591
-3.98828125,-62.7094752881407
-3.984375,-62.6627832835616
-3.98046875,-62.8616702706319
-3.9765625,-63.2371808749919
-3.97265625,-63.6324567293532
-3.96875,-63.8405045637971
-3.96484375,-63.7334854882368
-3.9609375,-63.3786485308244
-3.95703125,-62.9742569049044
-3.953125,-62.7026798008361
-3.94921875,-62.6628215828328
-3.9453125,-62.8675831153882
-3.94140625,-63.2456233821319
-3.9375,-63.6379333976451
-3.93359375,-63.837801713046
-3.9296875,-63.7219875003222
-3.92578125,-63.3630332500862
-3.921875,-62.9603665098721
-3.91796875,-62.6943366973348
-3.9140625,-62.6613162070616
-3.91015625,-62.8718970841292
-3.90625,-63.2523465738867
-3.90234375,-63.6415315169846
-3.8984375,-63.8331283925904
-3.89453125,-63.7085868896558
-3.890625,-63.3456739439949
-3.88671875,-62.9448628957501
-3.8828125,-62.6844446531727
-3.87890625,-62.6582653800135
-3.875,-62.8746095201135
-3.87109375,-63.2573462597847
-3.8671875,-63.643246187795
-3.86328125,-63.8264817897756
-3.859375,-63.6932834512404
-3.85546875,-63.3265704604875
-3.8515625,-62.9277447761486
-3.84765625,-62.6730016580537
-3.84375,-62.6536666395169
-3.83984375,-62.8757170400405
-3.8359375,-63.2606174662834
-3.83203125,-63.6430717181111
-3.828125,-63.8178583309831
-3.82421875,-63.6760762042501
-3.8203125,-63.3057218728232
-3.81640625,-62.9090101374117
-3.8125,-62.6600050123045
-3.80859375,-62.6475168335123
-3.8046875,-62.8752155290221
-3.80078125,-63.2621544305971
-3.796875,-63.6410016176956
-3.79296875,-63.8072536756205
-3.7890625,-63.6569633858855
-3.78515625,-63.2831264746924
-3.78125,-62.888656234047
-3.77734375,-62.6454513221361
-3.7734375,-62.6398121148932
-3.76953125,-62.8731001342372
-3.765625,-63.2619505930707
-3.76171875,-63.637028590618
-3.7578125,-63.7946627085336
-3.75390625,-63.6359424437406
-3.75,-63.2587817739283
-3.74609375,-62.8666795828652
-3.7421875,-62.6293364936806
-3.73828125,-62.6305479351176
-3.734375,-62.8693652572367
-3.73046875,-63.2599985880691
-3.7265625,-63.6311445262689
-3.72265625,-63.7800795308251
-3.71875,-63.6130100266479
-3.71484375,-63.2326844847968
-3.7109375,-62.8430759558057
-3.70703125,-62.6116557257934
-3.703125,-62.6197190365558
-3.69921875,-62.8640045448736
-3.6953125,-63.2562902333432
-3.69140625,-63.6233404887689
-3.6875,-63.7634974490249
-3.68359375,-63.5881619739806
-3.6796875,-63.2048305188446
-3.67578125,-62.8178403714112
-3.671875,-62.5924035015889
-3.66796875,-62.6073194435573
-3.6640625,-62.8570108788138
-3.66015625,-63.2508165178233
-3.65625,-63.6136067047248
-3.65234375,-63.7449089625827
-3.6484375,-63.5613933033559
-3.64453125,-63.1752149742517
-3.640625,-62.7909670849345
-3.63671875,-62.5715735786695
-3.6328125,-62.5933424521921
-3.62890625,-62.8483763635894
-3.625,-63.2435675877954
-3.62109375,-63.6019325492678
-3.6171875,-63.7243057496193
-3.61328125,-63.5326981967118
-3.609375,-63.1438321236653
-3.60546875,-62.7624495770238
-3.6015625,-62.5491589780253
-3.59765625,-62.5777806186267
-3.59375,-62.8380923131402
-3.58984375,-63.2345327313886
-3.5859375,-63.588306530325
-3.58203125,-63.7016786508854
-3.578125,-63.5020699846871
-3.57421875,-63.1106754004532
-3.5703125,-62.7322805409484
-3.56640625,-62.5251519715422
-3.5625,-62.5606257460872
-3.55859375,-62.8261492357818
-3.5546875,-63.2237003613184
-3.55078125,-63.5727162710401
-3.546875,-63.6770176518537
-3.54296875,-63.4695011292545
-3.5390625,-63.075737383326
-3.53515625,-62.7004518683095
-3.53125,-62.4995440680853
-3.52734375,-62.541868870357
-3.5234375,-62.8125368175511
-3.51953125,-63.2110579957957
-3.515625,-63.5551484902646
-3.51171875,-63.6503118628688
-3.5078125,-63.4349832045323
-3.50390625,-63.0390097792603
-3.5,-62.6669546331841
-3.49609375,-62.4723259980831
-3.4921875,-62.5215002437458
-3.48828125,-62.7972439038292
-3.484375,-63.1965922375289
-3.48046875,-63.5355889810374
-3.4765625,-63.6215494972773
-3.47265625,-63.3985068756979
-3.46875,-63.000483404661
-3.46484375,-62.6317790746264
-3.4609375,-62.4434876965693
-3.45703125,-62.4995093174615
-3.453125,-62.7802584791901
-3.44921875,-63.1802887507074
-3.4453125,-63.5140225869381
-3.44140625,-63.5907178474273
-3.4375,-63.3600618759165
-3.43359375,-62.9601481646664
-3.4296875,-62.5949145774608
-3.42578125,-62.4130182845915
