c1,c2
0,0.798710536215178
0.125,0
0.25,0
0.375,0
0.5,0.0625097435270969
0.625,0
0.75,0
0.875,0
1,-0.810624640052759
1.125,0
1.25,0
1.375,0
1.5,-0.844944566993664
1.625,0
1.75,0
1.875,0
2,-0.600089093851817
2.125,0
2.25,0
2.375,0
2.5,-0.802893740553695
2.625,0
2.75,0
2.875,0
3,-0.807216000498028
3.125,0
3.25,0
3.375,0
3.5,-0.0139523552044611
3.625,0
3.75,0
3.875,0
4,0.78142378762031
4.125,0
4.25,0
4.375,0
4.5,0.865353949411048
4.625,0
4.75,0
4.875,0
5,0.663726620685526
5.125,0
5.25,0
5.375,0
5.5,0.652528503401421
5.625,0
5.75,0
5.875,0
6,0.714817353574303
6.125,0
6.25,0
6.375,0
6.5,0.743969040248019
6.625,0
6.75,0
6.875,0
7,0.74318285640485
7.125,0
7.25,0
7.375,0
7.5,0.623383304369416
7.625,0
7.75,0
7.875,0
8,0.628959116426786
8.125,0
8.25,0
8.375,0
8.5,0.939275959052395
8.625,0
8.75,0
8.875,0
9,0.809559495894314
9.125,0
9.25,0
9.375,0
9.5,-0.174374205635377
9.625,0
9.75,0
9.875,0
10,-0.82644503267234
10.125,0
10.25,0
10.375,0
10.5,-0.146075416197292
10.625,0
10.75,0
10.875,0
11,0.825282273318114
11.125,0
11.25,0
11.375,0
11.5,0.881774403438224
11.625,0
11.75,0
11.875,0
12,0.607243892217422
12.125,0
12.25,0
12.375,0
12.5,0.763553524848121
12.625,0
12.75,0
12.875,0
13,0.780265263919612
13.125,0
13.25,0
13.375,0
13.5,0.0906201534198
13.625,0
13.75,0
13.875,0
14,-0.75335373493389
14.125,0
14.25,0
14.375,0
14.5,-1.03648205252017
14.625,0
14.75,0
14.875,0
15,-0.695863552536481
15.125,0
15.25,0
15.375,0
15.5,0.0384483038820108
15.625,0
15.75,0
15.875,0
16,0.732387479782595
16.125,0
16.25,0
16.375,0
16.5,0.877374969587186
16.625,0
16.75,0
16.875,0
17,0.639246553199463
17.125,0
17.25,0
17.375,0
17.5,0.660261735717465
17.625,0
17.75,0
17.875,0
