c1,c2
0,-0.777988420777772
0.125,0
0.25,0
0.375,0
0.5,-0.0711156809244033
0.625,0
0.75,0
0.875,0
1,0.747394425541877
1.125,0
1.25,0
1.375,0
1.5,0.926538408499652
1.625,0
1.75,0
1.875,0
2,0.717709680146828
2.125,0
2.25,0
2.375,0
2.5,0.534475701666538
2.625,0
2.75,0
2.875,0
3,0.642982194732332
3.125,0
3.25,0
3.375,0
3.5,1.00540016379465
3.625,0
3.75,0
3.875,0
4,0.818861789253475
4.125,0
4.25,0
4.375,0
4.5,-0.265870000628679
4.625,0
4.75,0
4.875,0
5,-0.857419205169069
5.125,0
5.25,0
5.375,0
5.5,0.0500197175620614
5.625,0
5.75,0
5.875,0
6,0.875614237244761
6.125,0
6.25,0
6.375,0
6.5,0.103432325043154
6.625,0
6.75,0
6.875,0
7,-0.863037167425598
7.125,0
7.25,0
7.375,0
7.5,-0.32831047795695
7.625,0
7.75,0
7.875,0
8,0.827882977625854
8.125,0
8.25,0
8.375,0
8.5,1.12019496071498
8.625,0
8.75,0
8.875,0
9,0.627781241904045
9.125,0
9.25,0
9.375,0
9.5,-0.028330957909906
9.625,0
9.75,0
9.875,0
10,-0.671500451068239
10.125,0
10.25,0
10.375,0
10.5,-1.00860363759859
10.625,0
10.75,0
10.875,0
11,-0.713443788248592
11.125,0
11.25,0
11.375,0
11.5,0.0131480560135737
11.625,0
11.75,0
11.875,0
12,0.700689510262904
12.125,0
12.25,0
12.375,0
12.5,0.993730593925351
12.625,0
12.75,0
12.875,0
13,0.709090798432579
13.125,0
13.25,0
13.375,0
13.5,0.00657696449902598
13.625,0
13.75,0
13.875,0
14,-0.687979853308793
14.125,0
14.25,0
14.375,0
14.5,-1.02784981963552
14.625,0
14.75,0
14.875,0
15,-0.75285462862835
15.125,0
15.25,0
15.375,0
15.5,0.0874668687527536
15.625,0
15.75,0
15.875,0
16,0.768616923244604
16.125,0
16.25,0
16.375,0
16.5,0.77800619400485
16.625,0
16.75,0
16.875,0
17,0.635460877196136
17.125,0
17.25,0
17.375,0
17.5,0.826056299442878
17.625,0
17.75,0
17.875,0
18,0.772862188361018
18.125,0
18.25,0
18.375,0
18.5,0.0241770453383233
18.625,0
18.75,0
18.875,0
19,-0.750427304607793
19.125,0
19.25,0
19.375,0
19.5,-0.905253384508766
19.625,0
19.75,0
19.875,0
20,-0.692625333575187
20.125,0
20.25,0
20.375,0
20.5,-0.574513981639894
20.625,0
20.75,0
20.875,0
21,-0.685479776527805
21.125,0
21.25,0
21.375,0
21.5,-0.909375128608527
21.625,0
21.75,0
21.875,0
22,-0.75800631237313
22.125,0
22.25,0
22.375,0
22.5,0.0349020494244538
22.625,0
22.75,0
22.875,0
23,0.767860298427851
23.125,0
23.25,0
23.375,0
23.5,0.817029987529066
23.625,0
23.75,0
23.875,0
24,0.660796052880328
24.125,0
24.25,0
24.375,0
24.5,0.767307485406063
24.625,0
24.75,0
24.875,0
25,0.736028465813431
25.125,0
25.25,0
25.375,0
25.5,0.133093922263338
25.625,0
25.75,0
25.875,0
26,-0.71584752579358
26.125,0
26.25,0
26.375,0
26.5,-1.12676605222952
26.625,0
26.75,0
26.875,0
27,-0.713097027674227
27.125,0
27.25,0
27.375,0
27.5,0.20842307566635
27.625,0
27.75,0
27.875,0
28,0.71990547323965
28.125,0
28.25,0
28.375,0
28.5,0.247446869190565
28.625,0
28.75,0
28.875,0
29,-0.709955147948931
29.125,0
29.25,0
29.375,0
29.5,-1.18669065977114
29.625,0
29.75,0
29.875,0
30,-0.717662914969875
30.125,0
30.25,0
30.375,0
30.5,0.260142382215812
30.625,0
30.75,0
30.875,0
31,0.742558358311635
31.125,0
31.25,0
31.375,0
31.5,0.156768251811601
31.625,0
31.75,0
31.875,0
32,-0.767681814301545
32.125,0
32.25,0
32.375,0
32.5,-0.963143146167621
32.625,0
32.75,0
32.875,0
33,-0.626253239339008
33.125,0
33.25,0
33.375,0
33.5,-0.610512938107119
33.625,0
33.75,0
33.875,0
34,-0.815528914790147
34.125,0
34.25,0
34.375,0
34.5,-0.666528841993393
34.625,0
34.75,0
34.875,0
35,-0.570906724055814
35.125,0
35.25,0
35.375,0
35.5,-0.956876039891693
35.625,0
35.75,0
35.875,0
36,-0.868935826894724
36.125,0
36.25,0
36.375,0
36.5,0.262597602615076
36.625,0
36.75,0
36.875,0
37,0.907363207594932
37.125,0
37.25,0
37.375,0
37.5,-0.0923188455921184
37.625,0
37.75,0
37.875,0
38,-0.942027124633174
38.125,0
38.25,0
38.375,0
38.5,0.0234526855831985
38.625,0
38.75,0
38.875,0
39,0.972387776726103
39.125,0
39.25,0
39.375,0
39.5,0.00172498765966128
39.625,0
39.75,0
39.875,0
40,-0.984469568119067
40.125,0
40.25,0
40.375,0
40.5,-0.0131217605262309
40.625,0
40.75,0
40.875,0
41,0.984535223706651
41.125,0
41.25,0
41.375,0
41.5,0.0324789974970105
41.625,0
41.75,0
41.875,0
42,-0.960216743269985
42.125,0
42.25,0
42.375,0
42.5,-0.0857418810930923
42.625,0
42.75,0
42.875,0
43,0.939518214308148
43.125,0
43.25,0
43.375,0
43.5,0.223573809090861
43.625,0
43.75,0
43.875,0
44,-0.904232713333236
44.125,0
44.25,0
44.375,0
44.5,-0.864504603324889
44.625,0
44.75,0
44.875,0
45,-0.533468722422649
45.125,0
45.25,0
45.375,0
45.5,-0.870771709600817
45.625,0
45.75,0
45.875,0
46,-0.858325216023251
46.125,0
46.25,0
46.375,0
46.5,0.167493255897732
46.625,0
46.75,0
46.875,0
47,0.827766419382217
47.125,0
47.25,0
47.375,0
47.5,0.150501145535673
47.625,0
47.75,0
47.875,0
48,-0.799836821014761
48.125,0
48.25,0
48.375,0
48.5,-0.924429210866503
48.625,0
48.75,0
48.875,0
49,-0.650829238286886
49.125,0
49.25,0
49.375,0
49.5,-0.623383304369416
49.625,0
49.75,0
49.875,0
50,-0.732031070115822
50.125,0
50.25,0
50.375,0
50.5,-0.752633172284269
50.625,0
50.75,0
50.875,0
51,-0.716744295329539
51.125,0
51.25,0
51.375,0
51.5,-0.642682077381032
51.625,0
51.75,0
51.875,0
52,-0.668046782707747
52.125,0
52.25,0
52.375,0
52.5,-0.870351335084312
52.625,0
52.75,0
52.875,0
53,-0.75800631237313
53.125,0
53.25,0
53.375,0
53.5,-0.00412174409976166
53.625,0
53.75,0
53.875,0
54,0.757572861655174
54.125,0
54.25,0
54.375,0
54.5,0.881076339170442
54.625,0
54.75,0
54.875,0
55,0.670190449821962
55.125,0
55.25,0
55.375,0
55.5,0.629534021367458
55.625,0
55.75,0
55.875,0
56,0.720209349153631
56.125,0
56.25,0
56.375,0
56.5,0.760902955971135
56.625,0
56.75,0
56.875,0
57,0.716744295329539
57.125,0
57.25,0
57.375,0
57.5,0.634412293694166
57.625,0
57.75,0
57.875,0
58,0.687014060717319
58.125,0
58.25,0
58.375,0
58.5,0.860078873986508
58.625,0
58.75,0
58.875,0
59,0.723920536025336
59.125,0
59.25,0
59.375,0
59.5,0.0623213639817149
59.625,0
59.75,0
59.875,0
60,-0.705586227416034
60.125,0
60.25,0
60.375,0
60.5,-1.05132880070606
60.625,0
60.75,0
60.875,0
61,-0.738629170121171
61.125,0
61.25,0
61.375,0
61.5,0.0947418975195616
61.625,0
61.75,0
61.875,0
62,0.780265263919612
62.125,0
62.25,0
62.375,0
62.5,0.759431780748359
62.625,0
62.75,0
62.875,0
63,0.606810441499465
63.125,0
63.25,0
63.375,0
63.5,0.888377663424593
63.625,0
63.75,0
63.875,0
64,0.819846932666991
64.125,0
64.25,0
64.375,0
64.5,-0.148498468124735
64.625,0
64.75,0
64.875,0
65,-0.813690754686652
65.125,0
65.25,0
65.375,0
65.5,-0.183374222061846
65.625,0
65.75,0
65.875,0
66,0.783013210119404
66.125,0
66.25,0
66.375,0
66.5,0.973421480249903
66.625,0
66.75,0
66.875,0
67,0.659579838950488
67.125,0
67.25,0
67.375,0
67.5,0.546188896714466
67.625,0
67.75,0
67.875,0
68,0.722636673174189
68.125,0
68.25,0
68.375,0
68.5,0.903554692336447
68.625,0
68.75,0
68.875,0
69,0.719809134003651
69.125,0
69.25,0
69.375,0
69.5,0.0131480560135737
69.625,0
69.75,0
69.875,0
70,-0.732563411989339
70.125,0
70.25,0
70.375,0
70.5,-0.918427736009682
70.625,0
70.75,0
70.875,0
71,-0.677900768762467
71.125,0
71.25,0
71.375,0
71.5,-0.572064634225108
71.625,0
71.75,0
71.875,0
72,-0.727357458120574
72.125,0
72.25,0
72.375,0
72.5,-0.870351335084312
72.625,0
72.75,0
72.875,0
73,-0.705841194007685
73.125,0
73.25,0
73.375,0
73.5,-0.0706174431559238
73.625,0
73.75,0
73.875,0
74,0.72630834285344
74.125,0
74.25,0
74.375,0
74.5,1.03614589880972
74.625,0
74.75,0
74.875,0
75,0.668579124581264
75.125,0
75.25,0
75.375,0
75.5,0.00615071699804207
75.625,0
75.75,0
75.875,0
76,-0.646748519913617
76.125,0
76.25,0
76.375,0
76.5,-1.07947247501844
76.625,0
76.75,0
76.875,0
77,-0.798021431838466
77.125,0
77.25,0
77.375,0
77.5,0.238420557276753
77.625,0
77.75,0
77.875,0
78,0.814013928785448
78.125,0
78.25,0
78.375,0
78.5,0.10947467460052
78.625,0
78.75,0
78.875,0
79,-0.823311986491083
79.125,0
79.25,0
79.375,0
79.5,-0.84447559757367
79.625,0
79.75,0
79.875,0
80,-0.586844950878812
80.125,0
80.25,0
80.375,0
80.5,-0.840353853473908
80.625,0
80.75,0
80.875,0
81,-0.815732978725745
81.125,0
81.25,0
81.375,0
81.5,0.0987496705143893
81.625,0
81.75,0
81.875,0
82,0.811870261671234
82.125,0
82.25,0
82.375,0
82.5,0.251568613290327
82.625,0
82.75,0
82.875,0
83,-0.801486485662558
83.125,0
83.25,0
83.375,0
83.5,-1.08774225870531
83.625,0
83.75,0
83.875,0
84,-0.617170631032572
84.125,0
84.25,0
84.375,0
84.5,-0.0131217605262309
84.625,0
84.75,0
84.875,0
85,0.617236286620156
85.125,0
85.25,0
85.375,0
85.5,1.12194624386198
85.625,0
85.75,0
85.875,0
86,0.813657519118675
86.125,0
86.25,0
86.375,0
86.5,-0.313857808800221
86.625,0
86.75,0
86.875,0
87,-0.821524729043641
87.125,0
87.25,0
87.375,0
87.5,0.036627037084115
87.625,0
87.75,0
87.875,0
88,0.826442480752778
88.125,0
88.25,0
88.375,0
88.5,0.227721848677965
88.625,0
88.75,0
88.875,0
89,-0.817703265552777
89.125,0
89.25,0
89.375,0
89.5,-0.970024095905267
89.625,0
89.75,0
89.875,0
90,-0.616530564459456
90.125,0
90.25,0
90.375,0
90.5,-0.612658300283286
90.625,0
90.75,0
90.875,0
91,-0.764619527546995
91.125,0
91.25,0
91.375,0
91.5,-0.728429831458602
91.625,0
91.75,0
91.875,0
92,-0.688700690638008
92.125,0
92.25,0
92.375,0
92.5,-0.70502973685009
92.625,0
92.75,0
92.875,0
93,-0.694590516563096
93.125,0
93.25,0
93.375,0
93.5,-0.726757434773627
93.625,0
93.75,0
93.875,0
94,-0.738288691171282
94.125,0
94.25,0
94.375,0
94.5,-0.645111002292953
94.625,0
94.75,0
94.875,0
95,-0.687014060717319
95.125,0
95.25,0
95.375,0
95.5,-0.84938016538772
95.625,0
95.75,0
95.875,0
96,-0.702376140183593
96.125,0
96.25,0
96.375,0
96.5,-0.0964668851792229
96.625,0
96.75,0
96.875,0
97,0.672821837778117
97.125,0
97.25,0
97.375,0
97.5,1.13094626028845
97.625,0
97.75,0
97.875,0
98,0.757572861655174
98.125,0
98.25,0
98.375,0
98.5,-0.25399166521777
98.625,0
98.75,0
98.875,0
99,-0.753492143281904
99.125,0
99.25,0
99.375,0
99.5,-0.148472172637392
99.625,0
99.75,0
99.875,0
100,0.739814141816758
100.125,0
100.25,0
100.375,0
100.5,0.982447792163715
100.625,0
100.75,0
100.875,0
101,0.703882292644253
101.125,0
101.25,0
101.375,0
101.5,0.498895319503385
101.625,0
101.75,0
101.875,0
102,0.687014060717319
102.125,0
102.25,0
102.375,0
102.5,0.995595848177289
102.625,0
102.75,0
102.875,0
103,0.743928095758004
103.125,0
103.25,0
103.375,0
103.5,-0.163345216310627
103.625,0
103.75,0
103.875,0
104,-0.725624470797117
104.125,0
104.25,0
104.375,0
104.5,-0.266719346714838
104.625,0
104.75,0
104.875,0
105,0.686763639378953
105.125,0
105.25,0
105.375,0
105.5,1.22326510588057
105.625,0
105.75,0
105.875,0
106,0.77829497709258
106.125,0
106.25,0
106.375,0
106.5,-0.36978949188043
106.625,0
106.75,0
106.875,0
107,-0.833695762499758
107.125,0
107.25,0
107.375,0
107.5,0.120643930517546
107.625,0
107.75,0
107.875,0
108,0.878539391611079
108.125,0
108.25,0
108.375,0
108.5,0.0131480560135736
108.625,0
108.75,0
108.875,0
109,-0.898439226644148
109.125,0
109.25,0
109.375,0
109.5,-0.131395230091019
109.625,0
109.75,0
109.875,0
110,0.886010674676818
110.125,0
110.25,0
110.375,0
110.5,0.333188750283658
110.625,0
110.75,0
110.875,0
111,-0.855361820424261
111.125,0
111.25,0
111.375,0
111.5,-1.10292516060164
111.625,0
111.75,0
111.875,0
112,-0.61976878342075
112.125,0
112.25,0
112.375,0
112.5,0.00197638192359485
112.625,0
112.75,0
112.875,0
113,0.680834296261411
113.125,0
113.25,0
113.375,0
113.5,1.02341821731266
113.625,0
113.75,0
113.875,0
114,0.671111621381859
114.125,0
114.25,0
114.375,0
114.5,0.0110026938374069
114.625,0
114.75,0
114.875,0
115,-0.623233837244842
115.125,0
115.25,0
115.375,0
115.5,-1.10707320018875
115.625,0
115.75,0
115.875,0
116,-0.818204923777878
116.125,0
116.25,0
116.375,0
116.5,0.303191268673254
116.625,0
116.75,0
116.875,0
117,0.832524169601495
117.125,0
117.25,0
117.375,0
117.5,-0.0324468290251895
117.625,0
117.75,0
117.875,0
118,-0.821700661250385
118.125,0
118.25,0
118.375,0
118.5,-0.234240349217828
118.625,0
118.75,0
118.875,0
119,0.792867196174124
119.125,0
119.25,0
119.375,0
119.5,1.00174656517533
119.625,0
119.75,0
119.875,0
120,0.659905564968846
120.125,0
120.25,0
120.375,0
120.5,0.526463876201867
120.625,0
120.75,0
120.875,0
121,0.721099837065113
121.125,0
121.25,0
121.375,0
121.5,0.920100132694657
121.625,0
121.75,0
121.875,0
122,0.709805354137317
122.125,0
122.25,0
122.375,0
122.5,-9.10729824887824e-18
122.625,0
122.75,0
122.875,0
123,-0.709805354137317
123.125,0
123.25,0
123.375,0
123.5,-0.920100132694658
123.625,0
123.75,0
123.875,0
124,-0.721099837065113
124.125,0
124.25,0
124.375,0
124.5,-0.526463876201867
124.625,0
124.75,0
124.875,0
125,-0.652760007921465
125.125,0
125.25,0
125.375,0
125.5,-1.00586830927509
125.625,0
125.75,0
125.875,0
126,-0.800446203939462
126.125,0
126.25,0
126.375,0
126.5,0.244965353303958
126.625,0
126.75,0
126.875,0
127,0.8238443283646
127.125,0
127.25,0
127.375,0
127.5,0.0192987730116157
127.625,0
127.75,0
127.875,0
128,-0.821913558730021
128.125,0
128.25,0
128.375,0
128.5,-0.29904322908615
128.625,0
128.75,0
128.875,0
129,0.788193584178876
129.125,0
129.25,0
129.375,0
129.5,1.13294893769939
129.625,0
129.75,0
129.875,0
130,0.676286891602209
130.125,0
130.25,0
130.375,0
130.5,-0.103347834916868
130.625,0
130.75,0
130.875,0
131,-0.746139970379364
131.125,0
131.25,0
131.375,0
131.5,-0.782574608108461
131.625,0
131.75,0
131.875,0
132,-0.597132387651489
132.125,0
132.25,0
132.375,0
132.5,-0.877232284821957
132.625,0
132.75,0
132.875,0
133,-0.876365040848449
133.125,0
133.25,0
133.375,0
133.5,0.208700765417626
133.625,0
133.75,0
133.875,0
134,0.929341054154632
134.125,0
134.25,0
134.375,0
134.5,-0.0643503368799954
134.625,0
134.75,0
134.875,0
135,-0.961926959666243
135.125,0
135.25,0
135.375,0
135.5,0.0110289893247497
135.625,0
135.75,0
135.875,0
136,0.982825007310393
136.125,0
136.25,0
136.375,0
136.5,0.0082697836868661
136.625,0
136.75,0
136.875,0
137,-1.00179228531997
137.125,0
137.25,0
137.375,0
137.5,-0.00902631191381201
137.625,0
137.75,0
137.875,0
138,1.00783445697623
138.125,0
138.25,0
138.375,0
138.5,-5.20417042793042e-18
138.625,0
138.75,0
138.875,0
139,-1.00783445697623
139.125,0
139.25,0
139.375,0
139.5,0.00902631191381197
139.625,0
139.75,0
139.875,0
140,1.00179228531997
140.125,0
140.25,0
140.375,0
140.5,-0.00826978368686619
140.625,0
140.75,0
140.875,0
141,-0.982825007310393
141.125,0
141.25,0
141.375,0
141.5,-0.0110289893247497
141.625,0
141.75,0
141.875,0
142,0.954781402618862
142.125,0
142.25,0
142.375,0
142.5,0.0684720809797571
142.625,0
142.75,0
142.875,0
143,-0.914616489341912
143.125,0
143.25,0
143.375,0
143.5,-0.223547513603518
143.625,0
143.75,0
143.875,0
144,0.873787923016278
144.125,0
144.25,0
144.375,0
144.5,0.896983600821899
144.625,0
144.75,0
144.875,0
145,0.588231993176273
145.125,0
145.25,0
145.375,0
145.5,0.771881772494151
145.625,0
145.75,0
145.875,0
146,0.781326580198715
146.125,0
146.25,0
146.375,0
146.5,0.0791970850658875
146.625,0
146.75,0
146.875,0
147,-0.753742564620271
147.125,0
147.25,0
147.375,0
147.5,-1.01960633143599
147.625,0
147.75,0
147.875,0
148,-0.671933901786196
148.125,0
148.25,0
148.375,0
148.5,-0.0148467481858921
148.625,0
148.75,0
148.875,0
149,0.669790234671982
149.125,0
149.25,0
149.375,0
149.5,1.05172287973522
149.625,0
149.75,0
149.875,0
150,0.745709071580968
150.125,0
150.25,0
150.375,0
150.5,-0.107218184752696
150.625,0
150.75,0
150.875,0
151,-0.749993853889836
151.125,0
151.25,0
151.375,0
151.5,-0.776339670304353
151.625,0
151.75,0
151.875,0
152,-0.667182433191395
152.125,0
152.25,0
152.375,0
152.5,-0.797757510004793
152.625,0
152.75,0
152.875,0
153,-0.732563411989339
153.125,0
153.25,0
153.375,0
153.5,-0.107522169991315
153.625,0
153.75,0
153.875,0
154,0.694799684337817
154.125,0
154.25,0
154.375,0
154.5,1.11607321661522
154.625,0
154.75,0
154.875,0
155,0.753285527426745
155.125,0
155.25,0
155.375,0
155.5,-0.234272517689649
155.625,0
155.75,0
155.875,0
156,-0.788678753101256
156.125,0
156.25,0
156.375,0
156.5,-0.133347734700224
156.625,0
156.75,0
156.875,0
157,0.823311986491082
157.125,0
157.25,0
157.375,0
157.5,0.868348657673374
157.625,0
157.75,0
157.875,0
158,0.561509775194619
158.125,0
158.25,0
158.375,0
158.5,0.836205813886804
158.625,0
158.75,0
158.875,0
159,0.860468883137466
159.125,0
159.25,0
159.375,0
159.5,-0.135350412111162
159.625,0
159.75,0
159.875,0
160,-0.867066983142815
160.125,0
160.25,0
160.375,0
160.5,-0.146075416197292
160.625,0
160.75,0
160.875,0
161,0.865904223788589
161.125,0
161.25,0
161.375,0
161.5,0.842750609914009
161.625,0
161.75,0
161.875,0
162,0.55633450497427
162.125,0
162.25,0
162.375,0
162.5,0.866623670013713
162.625,0
162.75,0
162.875,0
163,0.847714605151778
163.125,0
163.25,0
163.375,0
163.5,-0.154345199884158
163.625,0
163.75,0
163.875,0
164,-0.837055643543813
164.125,0
164.25,0
164.375,0
164.5,-0.157104405522042
164.625,0
164.75,0
164.875,0
165,0.807849279498056
165.125,0
165.25,0
165.375,0
165.5,0.921947694979896
165.625,0
165.75,0
165.875,0
166,0.641973464843247
166.125,0
166.25,0
166.375,0
166.5,0.629928100396621
166.625,0
166.75,0
166.875,0
167,0.726855799895472
167.125,0
167.25,0
167.375,0
167.5,0.750908184624607
167.625,0
167.75,0
167.875,0
168,0.734001356942853
168.125,0
168.25,0
168.375,0
168.5,0.625806356296859
168.625,0
168.75,0
168.875,0
169,0.634394457077909
169.125,0
169.25,0
169.375,0
169.5,0.932672699066027
169.625,0
169.75,0
169.875,0
170,0.80999294661227
170.125,0
170.25,0
170.375,0
170.5,-0.170252461535615
170.625,0
170.75,0
170.875,0
171,-0.833590589719721
171.125,0
171.25,0
171.375,0
171.5,-0.146075416197292
171.625,0
171.75,0
171.875,0
172,0.825282273318114
172.125,0
172.25,0
172.375,0
172.5,0.881774403438224
172.625,0
172.75,0
172.875,0
173,0.614389449264803
173.125,0
173.25,0
173.375,0
173.5,0.759431780748359
173.625,0
173.75,0
173.875,0
174,0.765540699106892
174.125,0
174.25,0
174.375,0
174.5,0.105466901605692
174.625,0
174.75,0
174.875,0
175,-0.743631060054338
175.125,0
175.25,0
175.375,0
