c1,c2
0,0.797388237032037
0.125,0.51178690564256
0.25,0.256759856961967
0.375,0.0552236581762018
0.5,-0.0825571868028359
0.625,-0.159984192672619
0.75,-0.191033409600576
0.875,-0.194533949195425
1,-0.188046671706483
1.125,-0.183401309874409
1.25,-0.185054777626698
1.375,-0.191266266467836
1.5,-0.197115689982518
1.625,-0.19792996967224
1.75,-0.191800469152007
1.875,-0.180433809860776
2,-0.168306293067327
2.125,-0.160703666160515
2.25,-0.161528955267883
2.375,-0.171703944736617
2.5,-0.188662060783397
2.625,-0.206995167796258
2.75,-0.219939451802367
2.875,-0.221174994763508
3,-0.206398631706678
3.125,-0.174272941788505
3.25,-0.126584516653201
3.375,-0.0676831608427589
3.5,-0.00345038666440639
3.625,0.0598835816583524
3.75,0.116791309269676
3.875,0.163188248509846
4,0.196796665305197
4.125,0.217158548785719
4.25,0.225377730663455
4.375,0.223696112953305
4.5,0.215007376972585
4.625,0.2023888576433
4.75,0.188701008502145
4.875,0.17627974846983
5,0.166736250603653
5.125,0.16087478347477
5.25,0.158732067837691
5.375,0.159727379618426
5.5,0.162894133416899
5.625,0.167146907989729
5.75,0.17152940297341
5.875,0.175392917403992
6,0.178470972070576
6.125,0.180839474066066
6.25,0.182779028409964
6.375,0.184581932585402
6.5,0.186363732962459
6.625,0.187940551277864
6.75,0.188816833271048
6.875,0.188298377656728
7,0.185709815168454
7.125,0.180662490719085
7.25,0.173297840269201
7.375,0.164430746569922
7.5,0.155537173059086
7.625,0.148563595893558
7.75,0.145574682547935
7.875,0.148294797820235
8,0.15763164313965
8.125,0.173287327358827
8.25,0.193555583568304
8.375,0.215372372975595
8.5,0.234637582934441
8.625,0.246771267973074
8.75,0.247423280593064
8.875,0.23322754102485
9,0.202479704425209
9.125,0.155617319397085
9.25,0.0954006025984249
9.375,0.026736983504615
9.5,-0.0438428613894877
9.625,-0.108986983514526
9.75,-0.16148883334164
9.875,-0.195283053023588
10,-0.2063242999451
10.125,-0.193205263505247
10.25,-0.157398787997729
10.375,-0.103071575436941
10.5,-0.0364978326332949
10.625,0.0348286210575158
10.75,0.103243687795555
10.875,0.161967083805083
11,0.206003166273969
11.125,0.232746780120712
11.25,0.242197303951764
11.375,0.236756752862483
11.5,0.220666852859077
11.625,0.199198944049368
11.75,0.177738589736705
11.875,0.160910163029289
12,0.151873512750861
12.125,0.151895405619551
12.25,0.160251350909909
12.375,0.174454571332982
12.5,0.190751901956383
12.625,0.204785813155762
12.75,0.21230585078669
12.875,0.209819678281579
13,0.195094224439762
13.125,0.167443639319827
13.25,0.127773223509845
13.375,0.078389206490277
13.5,0.0226259185357239
13.625,-0.0356304479008892
13.75,-0.0924370369242229
13.875,-0.14423509856592
14,-0.188179324416164
14.125,-0.222318007367609
14.25,-0.245613206758275
14.375,-0.257823531539995
14.5,-0.259300076865503
14.625,-0.250756877678089
14.75,-0.233071352447629
14.875,-0.207155725776873
15,-0.173921388590663
15.125,-0.134333689753405
15.25,-0.0895282345594624
15.375,-0.0409412516636672
15.5,0.00959744113785642
15.625,0.059852528256367
15.75,0.10728143488778
15.875,0.149250316649721
16,0.183345662867657
16.125,0.207728091382248
16.25,0.221455515897709
16.375,0.224703387800366
16.5,0.21882627823125
16.625,0.206229847232853
16.75,0.190053402912782
16.875,0.173701777465502
17,0.160304409748352
17.125,0.152204357819318
17.25,0.150578947821593
17.375,0.155267609163067
17.5,0.164841120798846
17.625,0.176901422289645
17.75,0.188560763101863
17.875,0.197017864549796
18,0.200129157759707
18.125,0.196868315555399
18.25,0.18758237738129
18.375,0.173988951452648
18.5,0.158907642795912
18.625,0.14576588580456
18.75,0.137955848324794
18.875,0.138144548988411
19,0.147654504535323
19.125,0.166032759592531
19.25,0.190905345317646
19.375,0.218170058804765
19.5,0.242519933638619
19.625,0.258227765094088
19.75,0.260074313150685
19.875,0.244276546095747
20,0.209264650662588
20.125,0.156165265605491
20.25,0.0888807513503874
20.375,0.0137181461434938
20.5,-0.0613927515068759
20.625,-0.127973082577094
20.75,-0.178192861584955
20.875,-0.206011437623022
21,-0.20808699070804
21.125,-0.184307254363513
21.25,-0.13784553455591
21.375,-0.0747282811979901
21.5,-0.00299406601823666
21.625,0.0684049070396337
21.75,0.130779658697456
21.875,0.176789543017602
22,0.201292433641155
22.125,0.201853631098073
22.25,0.178859504156626
22.375,0.135250169898254
22.5,0.0759515591296512
22.625,0.00712647993391019
22.75,-0.0646310003660365
22.875,-0.133049745639221
23,-0.192797154695712
23.125,-0.239893186111419
23.25,-0.271894489599117
23.375,-0.287863268854053
23.5,-0.288170915437585
23.625,-0.274201293307116
23.75,-0.248016065858907
23.875,-0.212036365478364
24,-0.168785071552192
24.125,-0.120716601410087
24.25,-0.07013574473477
24.375,-0.0191834331526033
24.5,0.0301449619215
24.625,0.0759844135493073
24.75,0.116618986957687
24.875,0.15055515085086
25,0.17665130687962
25.125,0.194280434636269
25.25,0.203482916273557
25.375,0.205060645525295
25.5,0.200570951364727
25.625,0.19219443748185
25.75,0.182472961926596
25.875,0.1739432640408
26,0.168722861573504
26.125,0.168125831126761
26.25,0.172387311304241
26.375,0.180556538614874
26.5,0.190585845032896
26.625,0.199606666575492
26.75,0.204351575319841
26.875,0.201658227541689
27,0.188977293750378
27.125,0.164802506892031
27.25,0.128951233322583
27.375,0.0826511298049706
27.5,0.0284254106110668
27.625,-0.0301979698868566
27.75,-0.0891071208297851
27.875,-0.144098011543061
28,-0.191367444085814
28.125,-0.22793271662932
28.25,-0.25191486120696
28.375,-0.262650696236456
28.5,-0.260632018585644
28.625,-0.247295560134561
28.75,-0.224704258925453
28.875,-0.195174849387713
29,-0.160917657403304
29.125,-0.123753071290702
29.25,-0.0849515052886392
29.375,-0.0452166215444646
29.5,-0.00480463538124118
29.625,0.0362505551014622
29.75,0.0778553800912742
29.875,0.119577827327895
30,0.160431308615707
30.125,0.198768847787522
30.25,0.232317352201999
30.375,0.258360304324952
30.5,0.274051803570846
30.625,0.276818740862452
30.75,0.264790323047875
30.875,0.237191280734454
31,0.194641662363081
31.125,0.139313115511592
31.25,0.0748999604304605
31.375,0.00638279025086812
31.5,-0.0604049555615032
31.625,-0.119363088014692
31.75,-0.164797143617918
31.875,-0.192100409017046
32,-0.198360110710391
32.125,-0.182795299576908
32.25,-0.146941774379589
32.375,-0.094533257565269
32.5,-0.0310803531196662
32.625,0.0368011603061356
