c1,c2
0,-0.777565904359829
0.125,-0.497489567816445
0.25,-0.248229582059552
0.375,-0.0528487798823022
0.5,0.0785899589707555
0.625,0.150067454415585
0.75,0.17645241579622
0.875,0.177619598562598
1,0.172084141822264
1.125,0.17224616115672
1.25,0.182469340094984
1.375,0.200065256611746
1.5,0.218283028386028
1.625,0.229918227366981
1.75,0.230232346115417
1.875,0.218379581242937
2,0.197210711975967
2.125,0.171894688665741
2.25,0.148090369504921
2.375,0.130375283727938
2.5,0.121376425318317
2.625,0.121693507706753
2.75,0.13040205138404
2.875,0.145768876219586
3,0.165830858109466
3.125,0.188636629542314
3.25,0.212148603212154
3.375,0.233965269270531
3.5,0.25109554221394
3.625,0.259986538377695
3.75,0.256901479581515
3.875,0.238611214416912
4,0.203243413861576
4.125,0.1510598140372
4.25,0.0849262567012245
4.375,0.0103079070200973
4.5,-0.0652599880795973
4.625,-0.133151485797069
4.75,-0.184913872347121
4.875,-0.213603140156417
5,-0.214965376880175
5.125,-0.188254782290173
5.25,-0.136531042145568
5.375,-0.0663686994711542
5.5,0.0129810564403736
5.625,0.0908441752200979
5.75,0.156606530622889
5.875,0.20121613342699
6,0.218489271710516
6.125,0.206017648948169
6.25,0.165521987880704
6.375,0.102589002755266
6.5,0.0258410205707823
6.625,-0.0543173205014174
6.75,-0.127176002182767
6.875,-0.183201686788458
7,-0.215309306775163
7.125,-0.219733615448978
7.25,-0.196373126221415
7.375,-0.148576388975159
7.5,-0.0824462009180704
7.625,-0.00581447805573448
7.75,0.0729273089820246
7.875,0.145959481650784
8,0.206965171377733
8.125,0.251736007473824
8.25,0.278387693294658
8.375,0.287197823349471
8.5,0.280148330449803
8.625,0.260295208218405
8.75,0.231095817761463
8.875,0.195811138863915
9,0.157075178324368
9.125,0.116685972083561
9.25,0.0756242597724714
9.375,0.0342586006639777
9.5,-0.00733722807911184
9.625,-0.0490420028902714
9.75,-0.0904026943984032
9.875,-0.130470172351401
10,-0.167784247120761
10.125,-0.200500551281477
10.25,-0.226622523324956
10.375,-0.244285726546225
10.5,-0.252036527137471
10.625,-0.249050084371935
10.75,-0.235246283558339
10.875,-0.211288055768743
11,-0.178476151547324
11.125,-0.138574695264911
11.25,-0.0936078021864461
11.375,-0.0456649098740167
11.5,0.00325333005037666
11.625,0.0513275236596384
11.75,0.0969471835396755
11.875,0.138689669341079
