c1,c2
-3.99609375,-60.9917331031474
-3.9921875,-60.7636598789955
-3.98828125,-60.8187828125678
-3.984375,-61.1417425719551
-3.98046875,-61.6225129381575
-3.9765625,-62.0486950620437
-3.97265625,-62.17805757634
-3.96875,-61.9280332487878
-3.96484375,-61.4608079449485
-3.9609375,-61.0254503435898
-3.95703125,-60.7994869501393
-3.953125,-60.8572590051768
-3.94921875,-61.1825453418027
-3.9453125,-61.6642566541999
-3.94140625,-62.0889245203011
-3.9375,-62.2145225363106
-3.93359375,-61.9607511736397
-3.9296875,-61.4919155126839
-3.92578125,-61.0572520218013
-3.921875,-60.8334277926117
-3.91796875,-60.8938822933825
-3.9140625,-61.2215231447186
-3.91015625,-61.7041831993087
-3.90625,-62.1273120526862
-3.90234375,-62.2491015389889
-3.8984375,-61.9915542454225
-3.89453125,-61.5211074439526
-3.890625,-61.0871567276723
-3.88671875,-60.8655006065466
-3.8828125,-60.9286699306179
-3.87890625,-61.2586919678301
-3.875,-61.7423072349393
-3.87109375,-62.1638714929389
-3.8671875,-62.2818088684319
-3.86328125,-62.0204582585657
-3.859375,-61.5484008317592
-3.85546875,-61.1151819581038
-3.8515625,-60.8957224903475
-3.84765625,-60.9616380951084
-3.84375,-61.2940667747022
-3.83984375,-61.7786424634356
-3.8359375,-62.1986157722864
-3.83203125,-62.3126579196442
-3.828125,-62.0474780684086
-3.82421875,-61.5738117592566
-3.8203125,-61.1413441517822
-3.81640625,-60.9241094762446
-3.8125,-60.9928019234913
-3.80859375,-61.3276615379775
-3.8046875,-61.8132016583265
-3.80078125,-62.2315569466414
-3.796875,-62.34166122355
-3.79296875,-62.0726276209391
-3.7890625,-61.5973553288125
-3.78515625,-61.1656587211965
-3.78125,-60.9506765621426
-3.77734375,-61.0221755443995
-3.7734375,-61.3594892688976
-3.76953125,-61.8459966920289
-3.765625,-62.2627062213045
-3.76171875,-62.3688304731363
-3.7578125,-62.095919975816
-3.75390625,-61.619045689705
-3.75,-61.1881400827735
-3.74609375,-60.9754377429039
-3.7421875,-61.0497721061547
-3.73828125,-61.3895620462427
-3.734375,-61.8770385605556
-3.73046875,-62.2920739751741
-3.7265625,-62.394176543915
-3.72265625,-62.1173673316564
-3.71875,-61.6388960641752
-3.71484375,-61.2088016835446
-3.7109375,-60.9984060374562
-3.70703125,-61.0756038050377
-3.703125,-61.4178910402214
-3.69921875,-61.9063374076688
-3.6953125,-62.3196697820122
-3.69140625,-62.4177095160053
-3.6875,-62.1369810457378
-3.68359375,-61.6569187710293
-3.6796875,-61.2276560261617
-3.67578125,-61.01959351478
