c1,c2
-3.99609375,-65.5875497040046
-3.9921875,-67.2234691164816
-3.98828125,-67.63646164056
-3.984375,-66.3320726780991
-3.98046875,-64.6564510368059
-3.9765625,-63.4723495913423
-3.97265625,-62.9745133254995
-3.96875,-63.1838135899472
-3.96484375,-64.0946300057056
-3.9609375,-65.6198675154712
-3.95703125,-67.2462525790412
-3.953125,-67.6235840992427
-3.94921875,-66.2991735451098
-3.9453125,-64.6285834406091
-3.94140625,-63.4567416382454
-3.9375,-62.9719768149001
-3.93359375,-63.1941795212089
-3.9296875,-64.1172549453781
-3.92578125,-65.6504803381055
-3.921875,-67.2667933847651
-3.91796875,-67.6083055797371
-3.9140625,-66.264495759076
-3.91015625,-64.5992091664995
-3.90625,-63.4396688532354
-3.90234375,-62.9679702418548
-3.8984375,-63.2030628862784
-3.89453125,-64.1383561112366
-3.890625,-65.6793809881499
-3.88671875,-67.2850788131488
-3.8828125,-67.5906342563915
-3.87890625,-66.2280471309432
-3.875,-64.5683289278754
-3.87109375,-63.421130307397
-3.8671875,-62.9624925736747
-3.86328125,-63.2104624924031
-3.859375,-64.157930886691
-3.85546875,-65.7065613306148
-3.8515625,-67.3010954477468
-3.84765625,-67.5705778416826
-3.84375,-66.1898345445752
-3.83984375,-64.5359426628213
-3.8359375,-63.4011243564824
-3.83203125,-62.9555420636128
-3.828125,-63.2163764078343
-3.82421875,-64.1759758454338
-3.8203125,-65.7320122718613
-3.81640625,-67.3148291866358
-3.8125,-67.5481435695609
-3.80859375,-66.1498639563231
-3.8046875,-64.5020495335103
-3.80078125,-63.3796486384176
-3.796875,-62.9471162477167
-3.79296875,-63.2208019576669
-3.7890625,-64.1924867447122
-3.78515625,-65.7557237506728
-3.78125,-67.3262652516207
-3.77734375,-67.5233381771215
-3.7734375,-66.1081403933967
-3.76953125,-64.4666479242699
-3.765625,-63.3567000695402
-3.76171875,-62.9372119403774
-3.7578125,-63.2237357183007
-3.75390625,-64.2074585170633
-3.75,-65.7776847277954
-3.74609375,-67.3353881961188
-3.7421875,-67.496167884647
-3.73828125,-66.0646679509793
-3.734375,-64.429735438299
-3.73046875,-63.3322748395413
-3.7265625,-62.925825228562
-3.72265625,-63.2251735104965
-3.71875,-64.2208852604844
-3.71484375,-65.7978831739179
-3.7109375,-67.3421819116679
-3.70703125,-67.4666383740197
-3.703125,-66.0194497881017
-3.69921875,-64.3913088930151
-3.6953125,-63.3063684050918
-3.69140625,-62.912951464706
-3.6875,-63.2251103910027
-3.68359375,-64.2327602269857
-3.6796875,-65.816306056049
-3.67578125,-67.3466296329923
-3.671875,-67.4347547655455
-3.66796875,-65.9724881222082
-3.6640625,-64.3513643140135
-3.66015625,-63.2789754821347
-3.65625,-62.8985852582388
-3.65234375,-63.2235406427056
-3.6484375,-64.2430758094948
-3.64453125,-65.832939322266
-3.640625,-67.3487139415358
-3.63671875,-67.4005215931846
-3.6328125,-65.9237842223945
-3.62890625,-64.309896927607
-3.625,-63.2500900368065
-3.62109375,-62.8827204657015
-3.6171875,-63.2204577632783
-3.61328125,-64.2518235270439
-3.609375,-65.847767884756
-3.60546875,-67.3484167673905
-3.6015625,-67.3639427782056
-3.59765625,-65.873338401272
-3.59375,-64.2669011519146
-3.58984375,-63.2197052749478
-3.5859375,-62.8653501794211
-3.58203125,-63.2158544522628
-3.578125,-64.2589940081877
-3.57421875,-65.8607756011221
-3.5703125,-67.3457193895144
-3.56640625,-67.3250216012388
-3.5625,-65.8211500053996
-3.55859375,-64.2223705864582
-3.5546875,-63.1878136301706
-3.55078125,-62.8464667146938
-3.546875,-63.2097225965392
-3.54296875,-64.2645769725739
-3.5390625,-65.8719452538639
-3.53515625,-67.3406024341317
-3.53125,-67.2837606727351
-3.52734375,-65.7672174042366
-3.5234375,-64.1762980002197
-3.51953125,-63.1544067504224
-3.515625,-62.8260615954208
-3.51171875,-63.2020532541164
-3.5078125,-64.2685612105971
-3.50390625,-65.8812585279654
-3.5,-67.3330458712113
-3.49609375,-67.2401619017895
-3.4921875,-65.711537977553
-3.48828125,-64.1286753181077
-3.484375,-63.1194754829994
-3.48046875,-62.8041255381362
-3.4765625,-63.1928366361688
-3.47265625,-64.2709345610313
