c1,c2
-0.99609375,-54.4263745713488
-0.9921875,-54.1110287842192
-0.98828125,-53.7618249778154
-0.984375,-53.5334017025107
-0.98046875,-53.5111464237805
-0.9765625,-53.7050181726789
-0.97265625,-54.0468555500261
-0.96875,-54.3902920039045
-0.96484375,-54.5526177775126
-0.9609375,-54.4308349184329
-0.95703125,-54.092118491317
-0.953125,-53.7149309292266
-0.94921875,-53.4625481924253
-0.9453125,-53.426619155775
-0.94140625,-53.6166661536323
-0.9375,-53.9663664442318
-0.93359375,-54.3285540036386
-0.9296875,-54.5073674720219
-0.92578125,-54.3907789609141
-0.921875,-54.0378600086419
-0.91796875,-53.6345086021755
-0.9140625,-53.3538219254713
-0.91015625,-53.2950343117328
-0.90625,-53.4767254837655
-0.90234375,-53.8354019578781
-0.8984375,-54.2231010982434
-0.89453125,-54.4289275866057
-0.890625,-54.3153302701776
-0.88671875,-53.9415143833839
-0.8828125,-53.4940693619712
-0.87890625,-53.1800666074251
-0.875,-53.0968404933089
-0.87109375,-53.2744430630173
-0.8671875,-53.6491846506998
-0.86328125,-54.0612461982734
-0.859375,-54.2866292962352
-0.85546875,-54.1679358376357
-0.8515625,-53.7621917882548
-0.84765625,-53.284571493419
-0.84375,-52.9419779751479
-0.83984375,-52.8409497410081
-0.8359375,-53.0163670789778
-0.83203125,-53.3968615774177
-0.828125,-53.8245343060121
-0.82421875,-54.074906887012
-0.8203125,-53.9616054484643
-0.81640625,-53.5466859173191
-0.8125,-53.0363747404907
-0.80859375,-52.6566890178596
-0.8046875,-52.5294735198486
-0.80078125,-52.6850999679188
-0.796875,-53.071970062151
-0.79296875,-53.5317601538624
-0.7890625,-53.8135461083077
-0.78515625,-53.728364325907
-0.78125,-53.2683696330205
-0.77734375,-52.7214591891469
-0.7734375,-52.2863361573118
-0.76953125,-52.1252981636639
-0.765625,-52.2593229070545
-0.76171875,-52.6582297061583
-0.7578125,-53.1445227113251
-0.75390625,-53.4657232102268
-0.75,-53.3771696768942
-0.74609375,-52.9004394915113
-0.7421875,-52.295645751906
-0.73828125,-51.8161638313214
-0.734375,-51.6221874494914
-0.73046875,-51.729697279761
-0.7265625,-52.1223022308518
-0.72265625,-52.6268755267962
-0.71875,-53.0222796409507
-0.71484375,-52.9178770228002
-0.7109375,-52.4604765109091
-0.70703125,-51.7996762438747
-0.703125,-51.2731470189704
-0.69921875,-50.996486676736
-0.6953125,-51.0675143951576
-0.69140625,-51.4422108281392
-0.6875,-51.9878621281605
-0.68359375,-52.4269306572781
-0.6796875,-52.4266600551863
-0.67578125,-51.896218680343
-0.671875,-51.1947681300233
-0.66796875,-50.5275125954633
-0.6640625,-50.2331298859055
-0.66015625,-50.1053020597592
-0.65625,-50.5120894749564
-0.65234375,-51.1104105194303
-0.6484375,-51.5823287433965
-0.64453125,-51.6852685497765
-0.640625,-51.1293879512929
-0.63671875,-50.299997932247
-0.6328125,-49.6223359146295
-0.62890625,-48.5621530987525
-0.625,-48.7194735415611
-0.62109375,-47.6457587415565
-0.6171875,-49.8999357045832
-0.61328125,-47.0072771672283
-0.609375,-46.8519602043164
-0.60546875,-41.6737662805924
-0.6015625,-43.5330189045503
-0.59765625,-39.5960262115671
-0.59375,-34.2080217248836
-0.58984375,-33.752224735382
-0.5859375,-31.9117606713371
-0.58203125,-29.0121291058021
-0.578125,-27.4330806232628
-0.57421875,-25.9743753660191
-0.5703125,-24.2150323086522
-0.56640625,-20.8929919615009
-0.5625,-17.4900197801201
-0.55859375,-19.2764304234311
-0.5546875,-20.5363431958348
-0.55078125,-17.9282110356062
-0.546875,-16.9178167904027
-0.54296875,-15.769747762921
-0.5390625,-14.2867890966127
-0.53515625,-13.4129336686143
-0.53125,-11.7959616658987
-0.52734375,-13.2681414395562
-0.5234375,-16.5017544204383
-0.51953125,-12.5403925583215
-0.515625,-11.0722918861251
-0.51171875,-10.8826836727697
-0.5078125,-10.2041442675917
-0.50390625,-12.353625901801
-0.5,-12.3670047479247
-0.49609375,-13.0497654699818
-0.4921875,-10.3178992480362
-0.48828125,-8.91260266588229
-0.484375,-9.82588822561607
-0.48046875,-11.2383531711147
-0.4765625,-9.13072781993808
-0.47265625,-6.45388025413139
-0.46875,-5.83063570828454
-0.46484375,-4.91903809834107
