c1,c2
-3.99609375,-5.42870947035489
-3.9921875,-3.0368870544064
-3.98828125,-1.41426981838876
-3.984375,-4.6210653440271
-3.98046875,-6.62407618101427
-3.9765625,-5.78712245540955
-3.97265625,-4.93107015306698
-3.96875,-0.83751454121259
-3.96484375,-1.09761209274377
-3.9609375,-4.6552008513377
-3.95703125,-3.42004572511672
-3.953125,-5.58064543158043
-3.94921875,-5.09668292529558
-3.9453125,-2.60689928418182
-3.94140625,-2.96508622842387
-3.9375,-5.98923178677492
-3.93359375,-7.54201254688777
-3.9296875,-4.40306667788459
-3.92578125,-3.4917265049542
-3.921875,-7.01657399094375
-3.91796875,-5.60580950516135
-3.9140625,-1.98958598371371
-3.91015625,-1.57597181941637
-3.90625,-3.79757340895097
-3.90234375,-3.47001671399228
-3.8984375,-3.51819097348605
-3.89453125,-4.10288388851391
-3.890625,-2.94603535385423
-3.88671875,-1.35392554880926
-3.8828125,-1.95351801939434
-3.87890625,-4.84489990571747
-3.875,-4.64320207138967
-3.87109375,-4.22361357278556
-3.8671875,-6.5441003151499
-3.86328125,-5.10053723455314
-3.859375,-3.69035581853652
-3.85546875,-4.08694614364048
-3.8515625,-4.09230121243877
-3.84765625,-2.21977648730137
-3.84375,-2.22654750083797
-3.83984375,-4.61632950925799
-3.8359375,-3.50746338774032
-3.83203125,-2.41417413108302
-3.828125,-1.12374064489706
-3.82421875,-2.44193034401737
-3.8203125,-7.16221626525899
-3.81640625,-2.51658354605929
-3.8125,-2.96076122185369
-3.80859375,-4.74524255504557
-3.8046875,-5.01437887755837
-3.80078125,-4.19421223868299
-3.796875,-1.87702353741071
-3.79296875,-1.83130620343362
-3.7890625,-1.07050269387205
-3.78515625,-0.21311497213538
-3.78125,-1.28545080768408
-3.77734375,-1.0653346112557
-3.7734375,-1.62042998105666
-3.76953125,-4.2524424359013
-3.765625,-3.69572753113439
-3.76171875,-3.72987830111453
-3.7578125,-4.17922484242693
-3.75390625,-5.89242249246277
-3.75,-0.908837453824079
-3.74609375,0
-3.7421875,-3.93403426144633
-3.73828125,-6.409798361584
-3.734375,-2.92443514783178
-3.73046875,-2.77955626078543
-3.7265625,-5.3517915452244
-3.72265625,-6.55749435470765
-3.71875,-6.7148730941512
-3.71484375,-3.70534998683805
-3.7109375,-4.80243115695556
-3.70703125,-2.84942431445879
-3.703125,-5.09102527323953
-3.69921875,-7.40102778847833
-3.6953125,-5.2709036882213
-3.69140625,-2.40580994173316
-3.6875,-2.16043114156314
-3.68359375,-2.74547521776638
-3.6796875,-4.14874585839373
-3.67578125,-7.00635805852782
-3.671875,-2.57703837923762
-3.66796875,-1.36828426777455
-3.6640625,-5.6935308320155
-3.66015625,-5.39372893053912
-3.65625,-4.22152541688737
-3.65234375,-3.9253820751012
-3.6484375,-4.63710801916847
-3.64453125,-2.90919657624709
-3.640625,-2.33592453072442
-3.63671875,-1.73012606149645
-3.6328125,-2.35070686262341
-3.62890625,-3.97966427436372
-3.625,-2.93613978338325
-3.62109375,-1.25296278717226
-3.6171875,-3.23595465403626
-3.61328125,-4.9706474184865
-3.609375,-1.35532526081832
-3.60546875,-2.73843752873899
-3.6015625,-6.6584387132186
-3.59765625,-7.58037115826874
-3.59375,-5.42827359275445
-3.58984375,-6.07548422808427
-3.5859375,-6.09916329100078
-3.58203125,-4.46739384000711
-3.578125,-1.73633801785099
-3.57421875,-1.38155965087548
-3.5703125,-3.88816843598789
-3.56640625,-5.25352299216782
-3.5625,-2.2772022408292
-3.55859375,-2.5948108540088
-3.5546875,-2.93019247709862
-3.55078125,-4.27265983609407
-3.546875,-5.40803236970187
-3.54296875,-6.1917881859923
-3.5390625,-5.85365605682341
-3.53515625,-5.36170712940396
-3.53125,-4.64550046053438
-3.52734375,-9.76192170522464
-3.5234375,-6.03253932655471
-3.51953125,-5.41664252073702
-3.515625,-10.3895678506255
-3.51171875,-8.44327488811773
-3.5078125,-8.51319343766171
-3.50390625,-8.17107478493856
-3.5,-5.51010973266299
-3.49609375,-6.41814870532479
-3.4921875,-8.00753319061702
-3.48828125,-9.00681093231343
-3.484375,-10.0516410853166
-3.48046875,-9.21635176150096
-3.4765625,-7.62440892738778
-3.47265625,-8.73368010598877
-3.46875,-8.72267084908892
-3.46484375,-7.62615638091901
-3.4609375,-8.59237149203972
-3.45703125,-11.7247162489811
-3.453125,-12.2709270795296
-3.44921875,-8.44746723966359
-3.4453125,-7.99517497754174
-3.44140625,-12.1182675744914
-3.4375,-14.2031921618996
-3.43359375,-14.0892488841618
-3.4296875,-14.1662623304876
-3.42578125,-13.7027474298586
-3.421875,-14.8989074974193
-3.41796875,-18.2378627485275
-3.4140625,-17.7361272403994
-3.41015625,-20.0474979009806
-3.40625,-19.0605794143699
-3.40234375,-18.0134027949757
-3.3984375,-19.1154961363493
-3.39453125,-23.9632650378582
-3.390625,-26.1233961386667
-3.38671875,-24.3270864194719
-3.3828125,-25.94051936301
-3.37890625,-27.511102667327
-3.375,-32.0199281971659
-3.37109375,-36.8198116425467
-3.3671875,-39.4632190925538
-3.36328125,-43.1277989387061
-3.359375,-46.4712023617756
-3.35546875,-48.4189235274445
-3.3515625,-44.2945364240891
-3.34765625,-39.9052054292194
-3.34375,-39.9586686745153
-3.33984375,-40.9573893080271
-3.3359375,-42.6598921523728
-3.33203125,-42.1545607391282
-3.328125,-42.8275747500896
-3.32421875,-44.492549530091
-3.3203125,-43.9345082555429
-3.31640625,-49.6996909394095
-3.3125,-52.5242731450258
-3.30859375,-52.365156314718
-3.3046875,-51.4366189414751
-3.30078125,-49.4572390410399
-3.296875,-46.2032766419889
-3.29296875,-47.1390753355403
-3.2890625,-43.9593661252046
-3.28515625,-44.5675835830316
-3.28125,-46.9743824167715
-3.27734375,-45.3856987529185
-3.2734375,-47.2877177043393
-3.26953125,-49.6864681344571
-3.265625,-48.3883420316826
-3.26171875,-48.607590479269
-3.2578125,-50.232517312968
-3.25390625,-51.5166331738007
-3.25,-51.9214711563699
-3.24609375,-50.4835019993886
-3.2421875,-49.8238818894479
-3.23828125,-50.8450118689389
-3.234375,-48.5891499939176
-3.23046875,-48.0395157879577
-3.2265625,-50.6971912469738
-3.22265625,-49.9583146474321
-3.21875,-49.143252304358
-3.21484375,-50.2745739377492
-3.2109375,-50.4453529873678
-3.20703125,-51.6112076757735
-3.203125,-53.121925500728
-3.19921875,-52.8649100977838
-3.1953125,-51.8010946963564
-3.19140625,-52.7869890500572
-3.1875,-49.409293143835
-3.18359375,-50.9635456936839
-3.1796875,-49.8202302037248
-3.17578125,-50.6611014890522
-3.171875,-51.0811171441164
-3.16796875,-50.4849213055103
-3.1640625,-51.2939932374407
-3.16015625,-49.3666935603923
-3.15625,-51.3466690051107
-3.15234375,-51.0946639051597
-3.1484375,-50.8690696794859
-3.14453125,-52.2223355901219
