c1,c2
-3.99609375,-61.6806792813776
-3.9921875,-61.3985905170006
-3.98828125,-61.4020696906583
-3.984375,-61.6901290796783
-3.98046875,-62.1677123222948
-3.9765625,-62.6320186138778
-3.97265625,-62.824408544712
-3.96875,-62.6179585710817
-3.96484375,-62.1477244077396
-3.9609375,-61.6729842307512
-3.95703125,-61.3930776597637
-3.953125,-61.3996671415782
-3.94921875,-61.690787683586
-3.9453125,-62.170173333103
-3.94140625,-62.633587707746
-3.9375,-62.8220418141496
-3.93359375,-62.6108848885025
-3.9296875,-62.138065694378
-3.92578125,-61.6635593869214
-3.921875,-61.3858541699161
-3.91796875,-61.3955722496205
-3.9140625,-61.6897676592398
-3.91015625,-62.1709552864275
-3.90625,-62.6334532571336
-3.90234375,-62.817934883157
-3.8984375,-62.6020540701713
-3.89453125,-62.1266582761139
-3.890625,-61.6524036295394
-3.88671875,-61.3769184667356
-3.8828125,-61.3897829284796
-3.87890625,-61.687066490206
-3.875,-62.1700553644528
-3.87109375,-62.6316123636236
-3.8671875,-62.8120852149666
-3.86328125,-62.5914641993738
-3.859375,-62.1135004900231
-3.85546875,-61.639515061897
-3.8515625,-61.3662681814036
-3.84765625,-61.3822963131639
-3.84375,-61.6826809084145
-3.83984375,-62.167470036966
-3.8359375,-62.6280614537724
-3.83203125,-62.8044896082264
-3.828125,-62.5791126629732
-3.82421875,-62.0985899271117
-3.8203125,-61.6248910060781
-3.81640625,-61.3539001522327
-3.8125,-61.3731087552001
-3.80859375,-61.676606889458
-3.8046875,-62.163195056905
-3.80078125,-62.6227962746557
-3.796875,-62.7951441917608
-3.79296875,-62.5649961452293
-3.7890625,-62.0819234259257
-3.78515625,-61.6085279966998
-3.78125,-61.3398104184382
-3.77734375,-61.3622158163982
-3.7734375,-61.6688396465103
-3.76953125,-62.1572254546288
-3.765625,-62.6158118882016
-3.76171875,-62.7840444181071
-3.7578125,-62.5491106203397
-3.75390625,-62.0634970647901
-3.75,-61.5904217732015
-3.74609375,-61.3239942124396
-3.7421875,-61.3496122611659
-3.73828125,-61.6593736228538
-3.734375,-62.1495555308742
-3.73046875,-62.6071026642823
-3.7265625,-62.771185055798
-3.72265625,-62.5314513436513
-3.71875,-62.0433061526357
-3.71484375,-61.5705672706665
-3.7109375,-61.3064459506576
-3.70703125,-61.3352920473287
-3.703125,-61.6482024829791
-3.69921875,-62.1401788483833
-3.6953125,-62.5966622725351
-3.69140625,-62.7565601803684
-3.6875,-62.5120128415231
-3.68359375,-62.0213452183923
-3.6796875,-61.5489586091256
-3.67578125,-61.2871592227683
-3.671875,-61.319248315429
-3.66796875,-61.6353191022235
-3.6640625,-62.1290882221616
-3.66015625,-62.5844836728853
-3.65625,-62.7401631640372
-3.65234375,-62.4907888997929
-3.6484375,-61.9976079988921
-3.64453125,-61.5255890813078
-3.640625,-61.2661267793701
-3.63671875,-61.3014733764526
-3.6328125,-61.6207155549047
-3.62890625,-62.1162757083266
-3.625,-62.5705591047257
-3.62109375,-62.7219866640277
-3.6171875,-62.4677725508002
-3.61328125,-61.9720874252399
-3.609375,-61.5004511387887
-3.60546875,-61.2433405180139
-3.6015625,-61.2819586979424
-3.59765625,-61.6043831009033
-3.59375,-62.1017325915018
-3.58984375,-62.5548800747072
-3.5859375,-62.7020226094848
-3.58203125,-62.4429560589168
-3.578125,-61.9447756075939
-3.57421875,-61.4735363764644
-3.5703125,-61.2187914675409
-3.56640625,-61.2606948884308
-3.5625,-61.5863121706429
-3.55859375,-62.0854493707058
-3.5546875,-62.537437343091
-3.55078125,-62.6802621869153
-3.546875,-62.4163309045242
-3.54296875,-61.9156638182912
-3.5390625,-61.444835515305
-3.53515625,-61.1924697706582
-3.53125,-61.2376716801328
-3.52734375,-61.5664923483905
-3.5234375,-62.0674157436757
-3.51953125,-62.5182209086077
-3.515625,-62.6566958241111
-3.51171875,-62.3878877663623
-3.5078125,-61.8847424732471
-3.50390625,-61.4143383833007
-3.5,-61.164364664676
-3.49609375,-61.2128779098261
-3.4921875,-61.5449123538257
-3.48828125,-62.0476205895522
-3.484375,-62.4972199917462
-3.48046875,-62.6313131724716
-3.4765625,-62.3576165021891
-3.47265625,-61.8520011115522
-3.46875,-61.3820338945243
-3.46484375,-61.1344644603332
-3.4609375,-61.1863014978335
-3.45703125,-61.5215600217857
-3.453125,-62.0260519498632
-3.44921875,-62.4744230164135
-3.4453125,-62.6041030876509
-3.44140625,-62.3255061276544
-3.4375,-61.8174283731713
-3.43359375,-61.347910026216
-3.4296875,-61.1027565186072
-3.42578125,-61.1579294250169
-3.421875,-61.4964222801026
-3.41796875,-62.002697007712
-3.4140625,-62.4498175898744
-3.41015625,-62.5750536084533
-3.40625,-62.2915447933028
-3.40234375,-61.7810119746524
-3.3984375,-61.311953793788
-3.39453125,-61.0692272254156
-3.390625,-61.1277477076848
-3.38671875,-61.4694851254362
