c1,c2
0,-0.178362978647193
0.125,0
0.25,0
0.375,0
0.5,-0.645669558389232
0.625,0
0.75,0
0.875,0
1,-0.768975540350318
1.125,0
1.25,0
1.375,0
1.5,-0.0950829965173959
1.625,0
1.75,0
1.875,0
2,0.564833076604942
2.125,0
2.25,0
2.375,0
2.5,0.361095699961704
2.625,0
2.75,0
2.875,0
3,-0.0122435917899091
3.125,0
3.25,0
3.375,0
3.5,0.28997713405656
3.625,0
3.75,0
3.875,0
4,0.503587416192068
4.125,0
4.25,0
4.375,0
4.5,-0.112282713663068
4.625,0
4.75,0
4.875,0
5,-0.567137719603268
5.125,0
5.25,0
5.375,0
5.5,-0.0159910057334959
5.625,0
5.75,0
5.875,0
6,0.516852688378273
6.125,0
6.25,0
6.375,0
6.5,0.0786740927450102
6.625,0
6.75,0
6.875,0
7,-0.500587885144417
7.125,0
7.25,0
7.375,0
7.5,-0.320674168772839
7.625,0
7.75,0
7.875,0
8,0.0435724761507116
8.125,0
8.25,0
8.375,0
8.5,-0.175434259169635
8.625,0
8.75,0
8.875,0
9,-0.626786683017971
9.125,0
9.25,0
9.375,0
9.5,-0.683532841293373
9.625,0
9.75,0
9.875,0
10,-0.492045400342622
10.125,0
10.25,0
10.375,0
10.5,-0.36928739497755
10.625,0
10.75,0
10.875,0
11,-0.0427756730028513
11.125,0
11.25,0
11.375,0
11.5,0.567955069746917
11.625,0
11.75,0
11.875,0
12,0.745384506959289
12.125,0
12.25,0
12.375,0
12.5,0.165937544028075
12.625,0
12.75,0
12.875,0
13,-0.253242295900089
13.125,0
13.25,0
13.375,0
13.5,0.1305297876925
13.625,0
13.75,0
13.875,0
14,0.462561351904505
14.125,0
14.25,0
14.375,0
14.5,-0.0741969808814285
14.625,0
14.75,0
14.875,0
15,-0.712150401662274
15.125,0
15.25,0
15.375,0
15.5,-0.485062589821676
15.625,0
15.75,0
15.875,0
16,0.14631084973329
16.125,0
16.25,0
16.375,0
16.5,0.35962253306268
16.625,0
16.75,0
16.875,0
17,0.325645765959776
17.125,0
17.25,0
17.375,0
17.5,0.374517067934993
17.625,0
17.75,0
17.875,0
18,0.254254813880825
18.125,0
18.25,0
18.375,0
18.5,-0.114610976019337
18.625,0
18.75,0
18.875,0
19,-0.300801944151896
19.125,0
19.25,0
19.375,0
19.5,-0.181212998314289
19.625,0
19.75,0
19.875,0
20,-0.127923936064112
20.125,0
20.25,0
20.375,0
20.5,-0.369105646255309
20.625,0
20.75,0
20.875,0
21,-0.707569962342808
21.125,0
21.25,0
21.375,0
21.5,-0.790515058460439
21.625,0
21.75,0
21.875,0
22,-0.473426437026808
22.125,0
22.25,0
22.375,0
22.5,0.0278660907025759
22.625,0
22.75,0
22.875,0
23,0.305881984224897
23.125,0
23.25,0
23.375,0
23.5,0.1132329024725
23.625,0
23.75,0
23.875,0
24,-0.377018189039534
24.125,0
24.25,0
24.375,0
24.5,-0.72681242951141
24.625,0
24.75,0
24.875,0
25,-0.652088411543546
25.125,0
25.25,0
25.375,0
25.5,-0.305060669952574
25.625,0
25.75,0
25.875,0
26,-0.0139875671089953
26.125,0
26.25,0
26.375,0
26.5,0.0713054690444335
26.625,0
26.75,0
26.875,0
27,-0.0143047577386483
27.125,0
27.25,0
27.375,0
27.5,-0.123394879132484
27.625,0
27.75,0
27.875,0
28,0.0152476558239955
28.125,0
28.25,0
28.375,0
28.5,0.40520556044787
28.625,0
28.75,0
28.875,0
29,0.449579696276789
29.125,0
29.25,0
29.375,0
29.5,-0.195814107974856
29.625,0
29.75,0
29.875,0
30,-0.772933182202214
30.125,0
30.25,0
30.375,0
30.5,-0.559861077189853
30.625,0
30.75,0
30.875,0
31,-0.190565659161931
31.125,0
31.25,0
31.375,0
31.5,-0.434126697080937
31.625,0
31.75,0
31.875,0
32,-0.650201273471482
32.125,0
32.25,0
32.375,0
32.5,-0.192689196077494
32.625,0
32.75,0
32.875,0
33,0.185341101869733
33.125,0
33.25,0
33.375,0
33.5,-0.178148667554072
33.625,0
33.75,0
33.875,0
34,-0.654203558084588
34.125,0
34.25,0
34.375,0
34.5,-0.615686130441856
34.625,0
34.75,0
34.875,0
35,-0.290718841756103
35.125,0
35.25,0
35.375,0
35.5,-0.0764402832203962
35.625,0
35.75,0
35.875,0
36,-0.0417433522777264
36.125,0
36.25,0
36.375,0
36.5,-0.0422844248076178
36.625,0
36.75,0
36.875,0
37,0.13785822175957
37.125,0
37.25,0
37.375,0
37.5,0.492101247169714
37.625,0
37.75,0
37.875,0
38,0.621615215662023
38.125,0
38.25,0
38.375,0
38.5,0.232050251514805
38.625,0
38.75,0
38.875,0
39,-0.406941042183147
39.125,0
39.25,0
39.375,0
39.5,-0.706427488445507
39.625,0
39.75,0
39.875,0
40,-0.399978248440082
40.125,0
40.25,0
40.375,0
40.5,0.16476833737344
40.625,0
40.75,0
40.875,0
41,0.378952151657275
41.125,0
41.25,0
41.375,0
41.5,0.0218777531943831
41.625,0
41.75,0
41.875,0
42,-0.550334899290021
42.125,0
42.25,0
42.375,0
42.5,-0.777202068016541
42.625,0
