c1,c2
0,-0.800420752611435
0.125,0
0.25,0
0.375,0
0.5,-0.055964947499892
0.625,0
0.75,0
0.875,0
1,0.798303812785028
1.125,0
1.25,0
1.375,0
1.5,0.847341323433764
1.625,0
1.75,0
1.875,0
2,0.632070720277851
2.125,0
2.25,0
2.375,0
2.5,0.77117127128363
2.625,0
2.75,0
2.875,0
3,0.756695442941257
3.125,0
3.25,0
3.375,0
3.5,0.104268523385642
3.625,0
3.75,0
3.875,0
4,-0.737470646420472
4.125,0
4.25,0
4.375,0
4.5,-1.06362751063347
4.625,0
4.75,0
4.875,0
5,-0.693687057628475
5.125,0
5.25,0
5.375,0
5.5,0.063167773575635
5.625,0
5.75,0
5.875,0
6,0.691982254671098
6.125,0
6.25,0
6.375,0
6.5,0.890438535474474
6.625,0
6.75,0
6.875,0
7,0.738464623378027
7.125,0
7.25,0
7.375,0
7.5,0.540342164955043
7.625,0
7.75,0
7.875,0
8,0.651827450897968
8.125,0
8.25,0
8.375,0
8.5,0.98899258819092
8.625,0
8.75,0
8.875,0
9,0.784983496946436
9.125,0
9.25,0
9.375,0
9.5,-0.198247265735081
9.625,0
9.75,0
9.875,0
10,-0.790824972135032
10.125,0
10.25,0
10.375,0
10.5,-0.159527457449485
10.625,0
10.75,0
10.875,0
11,0.761791988376457
11.125,0
11.25,0
11.375,0
11.5,0.96757474849048
11.625,0
11.75,0
11.875,0
12,0.692449401368443
12.125,0
12.25,0
12.375,0
12.5,0.522736211131268
12.625,0
12.75,0
12.875,0
13,0.659406458663306
13.125,0
13.25,0
13.375,0
13.5,0.999995282028327
13.625,0
13.75,0
13.875,0
14,0.818136716270733
14.125,0
14.25,0
14.375,0
14.5,-0.260174550687633
14.625,0
14.75,0
14.875,0
15,-0.871028591352886
15.125,0
15.25,0
15.375,0
15.5,0.0557181039953462
15.625,0
15.75,0
15.875,0
16,0.895231691331268
16.125,0
16.25,0
16.375,0
16.5,0.0754694199952887
16.625,0
16.75,0
16.875,0
17,-0.889651660707654
17.125,0
17.25,0
17.375,0
17.5,-0.26184107438813
17.625,0
17.75,0
17.875,0
18,0.857003829313374
18.125,0
18.25,0
18.375,0
18.5,0.96757474849048
18.625,0
18.75,0
18.875,0
19,0.611528674526289
19.125,0
19.25,0
19.375,0
19.5,0.61680633987039
19.625,0
19.75,0
19.875,0
20,0.750220688752633
20.125,0
20.25,0
20.375,0
20.5,0.743606860370457
20.625,0
20.75,0
20.875,0
21,0.711742405396372
21.125,0
21.25,0
21.375,0
21.5,0.653407081467162
21.625,0
21.75,0
21.875,0
22,0.667613331989791
22.125,0
22.25,0
22.375,0
22.5,0.862107846884788
22.625,0
22.75,0
22.875,0
23,0.757572861655174
23.125,0
23.25,0
23.375,0
23.5,0.0148467481858921
23.625,0
23.75,0
23.875,0
