c1,c2
0,-0.178414847875333
0.125,-0.153930642496456
0.25,-0.13693927507138
0.375,-0.132371245867224
0.5,-0.140957220085527
0.625,-0.158926304717917
0.75,-0.179108718687412
0.875,-0.19302489286241
1,-0.1932646657266
1.125,-0.175437763159427
1.25,-0.13918679265069
1.375,-0.0880964911539424
1.5,-0.0286734973260956
1.625,0.0312055238115453
1.75,0.0839231343247601
1.875,0.123459184212887
2,0.146227521076834
2.125,0.151363401014259
2.25,0.140537116217785
2.375,0.117436923743285
2.5,0.0870749016903207
2.625,0.0550360267939331
2.75,0.0267415720830552
2.875,0.00676493239681608
3,-0.00176265352104371
3.125,0.00240223207189275
3.25,0.0183931496081247
3.375,0.0433002416042518
3.5,0.0725509739362641
3.625,0.100576564444856
3.75,0.121681561583665
3.875,0.130989974473279
4,0.125312374513931
4.125,0.103773124651875
4.25,0.0680667939216208
4.375,0.022280081383648
4.5,-0.027696814614711
4.625,-0.075066607993743
4.75,-0.11317756765958
4.875,-0.136563760781659
5,-0.141809379610243
5.125,-0.128097075969789
5.25,-0.0973472186630219
5.375,-0.053926125082743
5.5,-0.00398058054571679
5.625,0.0454819864962066
5.75,0.0876183576734441
5.875,0.116727623869896
6,0.129043290153938
6.125,0.123224347192389
6.25,0.100472924805265
6.375,0.0642688751401115
6.5,0.0197797324038242
6.625,-0.0269447111803664
6.75,-0.0698624111048618
6.875,-0.103784698598072
7,-0.125062172160634
7.125,-0.132018180287033
7.25,-0.125074608117024
7.375,-0.106566786970239
7.5,-0.0802977182027546
7.625,-0.0509186767616975
7.75,-0.0232367399223815
7.875,-0.00154672983815149
8,0.0109253444303318
8.125,0.0123968205614975
8.25,0.00267731366086877
8.375,-0.0169146714793593
8.5,-0.0438366998885687
8.625,-0.0747516511591881
8.75,-0.106032506653972
8.875,-0.134272574588391
9,-0.15673344827113
9.125,-0.171669658745095
9.25,-0.178485623705865
9.375,-0.177708351621687
9.5,-0.170790429192341
9.625,-0.159782031483727
9.75,-0.146925420882999
9.875,-0.134234367050326
10,-0.123125362361467
10.125,-0.114163155346361
10.25,-0.106966308311563
10.375,-0.100291405754161
10.5,-0.0922835372030948
10.625,-0.080852269885377
10.75,-0.0641116477474296
10.875,-0.0408126525149008
11,-0.0106965469390156
11.125,0.0252944009504975
11.25,0.0649957137596017
11.375,0.105208385239514
11.5,0.142078249381853
11.625,0.171614147362224
11.75,0.190268638151866
11.875,0.195496873507074
12,0.186210443690036
12.125,0.163049775842596
12.25,0.128416568964166
12.375,0.0862432166509779
12.5,0.0415233635479619
12.625,-0.000330287319765078
12.75,-0.0342106137520261
12.875,-0.056024757222439
13,-0.0632882947791671
13.125,-0.0555133691707625
13.25,-0.0343213417390627
13.375,-0.00325199116801239
13.5,0.0327069294721476
13.625,0.067800968278083
13.75,0.0963050174819527
13.875,0.113326493317385
14,0.115505116063136
14.125,0.101504887772981
14.25,0.0722176280952771
14.375,0.0306429948577079
14.5,-0.0185333462150078
14.625,-0.0695932561061136
14.75,-0.116572715864826
14.875,-0.154071004127909
15,-0.177968832648895
15.125,-0.185948729749393
15.25,-0.177737536894646
15.375,-0.155039519681511
15.5,-0.121185434173033
15.625,-0.0805681301580766
15.75,-0.0379603166668654
15.875,0.00217992014898735
16,0.0363098798201338
16.125,0.0622162811018081
16.25,0.0791821597103835
16.375,0.0878947881652178
16.5,0.0901323537936475
16.625,0.0883027931658256
16.75,0.0849248110312369
16.875,0.0821418649120899
17,0.0813485507632771
17.125,0.0829865767203612
17.25,0.0865359554709816
17.375,0.0906910164277422
17.5,0.0936775561704807
17.625,0.093644094891329
17.75,0.089051700052066
17.875,0.0789935493428961
18,0.0633927728397542
18.125,0.0430493756168591
18.25,0.0195316626076528
18.375,-0.00506575518921133
18.5,-0.0284500948271195
18.625,-0.0484817284850374
18.75,-0.063486108095503
18.875,-0.0724784414134103
19,-0.0752742077356119
19.125,-0.0724786771054644
19.25,-0.0653663557869118
19.375,-0.0556773929044531
19.5,-0.0453700103291039
19.625,-0.0363711930106078
