c1,c2
0,-1
0.5,0
1,-1
1.5,0
2,-1
2.5,0
3,-1
3.5,0
4,-1
4.5,0
5,-1
5.5,0
6,-1
6.5,0
7,-1
7.5,0
8,-1
8.5,0
9,1
9.5,0
10,1
10.5,0
11,1
11.5,0
12,1
12.5,0
13,1
13.5,0
14,1
14.5,0
15,1
15.5,0
16,-1
16.5,0
17,1
17.5,0
18,-1
18.5,0
19,1
19.5,0
20,-1
20.5,0
21,-1
21.5,0
22,-1
22.5,0
23,-1
23.5,0
24,1
24.5,0
25,1
25.5,0
26,-1
26.5,0
27,1
27.5,0
28,1
28.5,0
29,1
29.5,0
30,-1
30.5,0
31,1
31.5,0
32,1
32.5,0
33,1
33.5,0
34,-1
34.5,0
35,1
35.5,0
36,-1
36.5,0
37,1
37.5,0
38,1
38.5,0
39,1
39.5,0
40,-1
40.5,0
41,1
41.5,0
42,1
42.5,0
43,-1
43.5,0
44,-1
44.5,0
45,1
45.5,0
46,-1
46.5,0
47,-1
47.5,0
48,1
48.5,0
49,1
49.5,0
50,1
50.5,0
51,-1
51.5,0
52,-1
52.5,0
53,-1
53.5,0
54,1
54.5,0
55,1
55.5,0
56,1
56.5,0
57,-1
57.5,0
58,-1
58.5,0
59,1
59.5,0
60,-1
60.5,0
61,1
61.5,0
62,1
62.5,0
63,1
63.5,0
64,-1
64.5,0
65,1
65.5,0
66,-1
66.5,0
67,1
67.5,0
68,-1
68.5,0
69,-1
69.5,0
70,1
70.5,0
71,-1
71.5,0
72,-1
72.5,0
73,-1
73.5,0
74,1
74.5,0
75,-1
75.5,0
76,-1
76.5,0
77,1
77.5,0
78,-1
78.5,0
79,-1
79.5,0
80,1
80.5,0
81,1
81.5,0
82,-1
82.5,0
83,1
83.5,0
84,1
84.5,0
85,-1
85.5,0
86,1
86.5,0
87,1
87.5,0
88,1
88.5,0
89,1
89.5,0
90,1
90.5,0
91,1
91.5,0
92,-1
92.5,0
93,-1
93.5,0
94,-1
94.5,0
95,-1
95.5,0
96,1
96.5,0
97,-1
97.5,0
98,1
98.5,0
99,-1
99.5,0
100,-1
100.5,0
101,1
101.5,0
102,1
102.5,0
103,1
103.5,0
104,-1
104.5,0
105,-1
105.5,0
106,1
106.5,0
107,-1
107.5,0
108,1
108.5,0
109,1
109.5,0
110,-1
110.5,0
111,1
111.5,0
112,1
112.5,0
113,1
113.5,0
114,-1
114.5,0
115,-1
115.5,0
116,-1
116.5,0
117,-1
117.5,0
118,1
118.5,0
119,1
119.5,0
120,-1
120.5,0
121,1
121.5,0
122,1
122.5,0
123,-1
123.5,0
124,-1
124.5,0
125,1
125.5,0
126,-1
126.5,0
127,-1
127.5,0
128,1
128.5,0
129,1
129.5,0
130,-1
130.5,0
131,1
131.5,0
132,-1
132.5,0
133,-1
133.5,0
134,1
134.5,0
135,1
135.5,0
136,-1
136.5,0
137,1
137.5,0
138,1
138.5,0
139,-1
