c1,c2
0,0.324579320851329
0.5,0
1,-0.181484955318997
1.5,0
2,0.454206368994882
2.5,0
3,0.615538871093247
3.5,0
4,0.562299470454334
4.5,0
5,0.344592026527324
5.5,0
6,-0.730170941008981
6.5,0
7,-0.723702480065132
7.5,0
8,0.575325514085751
8.5,0
9,0.271704650282523
9.5,0
10,0.0619624438827027
10.5,0
11,-0.504433711165801
11.5,0
12,0.748746092709588
12.5,0
13,0.978008686045066
13.5,0
14,-0.223214824119311
14.5,0
15,-0.0201689389488886
15.5,0
16,-0.388235935946599
16.5,0
17,-0.256956725474593
17.5,0
18,-0.942042412078165
18.5,0
19,-0.530080869399634
19.5,0
20,0.346982594405845
20.5,0
21,0.0155137863273507
21.5,0
22,0.359397397349139
22.5,0
23,-0.0241375152352348
23.5,0
24,0.342736800621028
24.5,0
25,-0.988527987127897
25.5,0
26,-0.17182102434943
26.5,0
27,-0.364078252143085
27.5,0
28,0.948068071015166
28.5,0
29,-0.884105480035138
29.5,0
30,-0.339917006095171
30.5,0
31,0.928055078714799
31.5,0
32,0.728937214251671
32.5,0
33,-0.0186511591214127
33.5,0
34,0.636160408359282
34.5,0
35,-0.639659667669571
35.5,0
36,0.344545410324275
36.5,0
37,0.598673679387577
37.5,0
38,-0.601973175621731
38.5,0
39,0.584521195534177
39.5,0
40,0.329685826465399
40.5,0
41,0.0703794800208548
41.5,0
42,0.659911204498653
42.5,0
43,-0.12790550064298
43.5,0
44,-0.374062873888716
44.5,0
45,-0.663636096013257
45.5,0
46,0.901902044828139
46.5,0
47,-0.708880800657592
47.5,0
48,0.84135644694528
48.5,0
49,-0.739968289952761
49.5,0
50,-0.948789623988817
50.5,0
51,0.345470966401168
51.5,0
52,-0.920243276421493
52.5,0
53,0.61980601795888
53.5,0
54,-0.602272162815167
54.5,0
55,0.584563632030465
55.5,0
56,0.176223853178408
56.5,0
57,-0.872643934296323
57.5,0
58,-0.572840141795041
58.5,0
59,0.320213168560463
59.5,0
60,-0.629192266141832
60.5,0
61,-0.475248101849649
61.5,0
62,-0.183421658946662
62.5,0
63,0.270581769824348
63.5,0
64,-0.246103605379284
64.5,0
65,-0.877342342930157
65.5,0
66,-0.395796699545164
66.5,0
67,0.897488332614079
67.5,0
68,0.670596789200285
68.5,0
69,0.911017228753056
69.5,0
70,-0.615441869514803
70.5,0
71,0.790307846148064
71.5,0
72,-0.650924855968261
72.5,0
73,0.205819707823683
73.5,0
74,0.146272523624702
74.5,0
75,-0.65772987737455
75.5,0
76,0.601139111648333
76.5,0
77,-0.622317597734591
77.5,0
78,-0.963081805171888
78.5,0
79,0.794949796036498
79.5,0
80,0.618984761014211
80.5,0
81,-0.513888184327346
81.5,0
82,-0.92321179535756
82.5,0
83,0.843014008914896
83.5,0
84,0.850408918279754
84.5,0
85,0.640426905403823
85.5,0
86,0.410989889265742
86.5,0
87,0.211146761926866
87.5,0
88,-0.640172982762325
88.5,0
89,0.440408483698964
89.5,0
90,0.423000452164834
90.5,0
91,0.823173423210374
91.5,0
92,0.731018206745896
92.5,0
93,0.00141342353033824
93.5,0
94,-0.381212900018538
94.5,0
95,-0.38586597958382
95.5,0
96,0.862122532969216
96.5,0
97,-0.304717597084536
97.5,0
98,-0.0958280047749474
98.5,0
99,-0.403145054254421
99.5,0
100,-0.14376120581111
100.5,0
101,-0.499290282933685
101.5,0
102,0.969794879625169
102.5,0
103,0.492860279923502
103.5,0
104,-0.420621869251695
104.5,0
105,-0.137474424597479
105.5,0
106,0.992174925651501
106.5,0
107,-0.732441646112906
107.5,0
108,-0.165620194051989
108.5,0
109,0.237478012437909
109.5,0
110,0.748973704905724
110.5,0
111,-0.0340975280815492
111.5,0
112,0.85024169831928
112.5,0
113,0.00740077542103235
113.5,0
114,-0.449532001575809
114.5,0
115,-0.671789715937501
115.5,0
116,-0.44554178261793
116.5,0
117,0.791515523304595
117.5,0
118,-0.273901272017435
118.5,0
119,-0.0831191753507621
119.5,0
120,-0.347189924631161
120.5,0
121,-0.164317748253672
121.5,0
122,0.763271886737644
122.5,0
123,0.958418084168682
123.5,0
124,0.747424417068345
124.5,0
125,-0.961799629615902
125.5,0
126,0.736469306708903
126.5,0
127,0.468107802227371
127.5,0
128,0.483728078655614
128.5,0
129,0.933589146405692
129.5,0
130,0.335218904924511
130.5,0
131,0.29945080264733
131.5,0
132,-0.929890023380685
132.5,0
133,-0.330261125061763
133.5,0
134,0.735995805589938
134.5,0
135,-0.184342404344358
135.5,0
136,-0.970359810276811
136.5,0
137,0.260565278290275
137.5,0
138,-0.48265161092173
138.5,0
139,-0.049197194853047
139.5,0
140,-0.0813492079367117
140.5,0
141,-0.700986017498208
141.5,0
142,0.0604406627878014
142.5,0
143,0.167550724768153
143.5,0
144,-0.255590017585843
144.5,0
145,-0.155191945616924
145.5,0
146,0.383906174348148
146.5,0
147,0.56726452003543
147.5,0
148,-0.928222898862166
148.5,0
149,0.330228229883505
149.5,0
150,0.75231381053301
150.5,0
151,-0.835956169440896
151.5,0
152,-0.0432480871168635
152.5,0
153,-0.402909585138954
153.5,0
154,0.844042225791254
154.5,0
155,0.175605758376445
155.5,0
156,0.912417282057744
156.5,0
157,-0.868603139296435
157.5,0
158,-0.742505024557342
158.5,0
159,0.666986700441031
159.5,0
160,0.217642636864438
160.5,0
161,0.40603285632511
161.5,0
162,0.795718884706367
162.5,0
163,0.0274132204819593
163.5,0
164,-0.718971751849841
164.5,0
165,-0.0767157875737676
165.5,0
166,-0.537901718687912
166.5,0
167,0.23886507434077
167.5,0
168,-0.841755188966217
168.5,0
169,0.581133885712868
169.5,0
170,-0.540076806919898
170.5,0
171,-0.482806663326687
171.5,0
172,0.357265113536383
172.5,0
173,0.0548024082434491
173.5,0
174,0.196940837499784
174.5,0
175,-0.489447698918628
175.5,0
176,-0.323578923107454
176.5,0
177,-0.346130553205767
177.5,0
178,-0.313435455508865
178.5,0
179,-0.447730503278824
179.5,0
180,-0.683554234340359
180.5,0
181,0.193809108619587
181.5,0
182,0.840428306723727
182.5,0
183,0.8272523763141
183.5,0
184,-0.216863767092331
184.5,0
185,-0.586026864575942
185.5,0
186,0.752624033690712
186.5,0
187,-0.815061818800729
187.5,0
188,0.112242091662507
188.5,0
189,-0.677446834698002
189.5,0
190,-0.672955280427844
190.5,0
191,-0.425173785384736
191.5,0
192,0.132155456059501
192.5,0
193,0.998397153327688
193.5,0
194,-0.899961700585484
194.5,0
195,-0.458209025242921
195.5,0
196,0.212597899880378
196.5,0
197,0.391440533221826
197.5,0
198,0.0974759545063872
198.5,0
