c1,c2
-1.99609375,-0.0355648540398121
-1.9921875,-0.0344525823425728
-1.98828125,-0.032651872008646
-1.984375,-0.0302399147219033
-1.98046875,-0.0273200500634461
-1.9765625,-0.024017299113849
-1.97265625,-0.0204729800283596
-1.96875,-0.016838646455018
-1.96484375,-0.0132696153831467
-1.9609375,-0.00991836371228133
-1.95703125,-0.00692807280928726
-1.953125,-0.00442658855366015
-1.94921875,-0.0025210423170098
-1.9453125,-0.00129334770068874
-1.94140625,-0.000796750441881959
-1.9375,-0.00105356637832396
-1.93359375,-0.0020541962446562
-1.9296875,-0.00375745767425285
-1.92578125,-0.00609222526471543
-1.921875,-0.00896032003297472
-1.91796875,-0.0122405411799436
-1.9140625,-0.0157936870879156
-1.91015625,-0.0194683703811504
-1.90625,-0.0231073954111377
-1.90234375,-0.0265544375773019
-1.8984375,-0.0296607444065166
-1.89453125,-0.0322915700995275
-1.890625,-0.0343320597529965
-1.88671875,-0.0356923175221702
-1.8828125,-0.0363114246265593
-1.87890625,-0.0361602173938521
-1.875,-0.0352426905686334
-1.87109375,-0.0335959540637409
-1.8671875,-0.0312887386834424
-1.86328125,-0.0284185141844768
-1.859375,-0.025107347409191
-1.85546875,-0.0214966854958848
-1.8515625,-0.0177412963549222
-1.84765625,-0.0140026335674835
-1.84375,-0.0104419144550002
-1.83984375,-0.00721320806858264
-1.8359375,-0.0044568248682676
-1.83203125,-0.00229328313381206
-1.828125,-0.000818100289350918
-1.82421875,-9.76221078822007e-05
-1.8203125,-0.000166060929321762
-1.81640625,-0.00102386716365539
-1.8125,-0.00263750784154116
-1.80859375,-0.00494067302612553
-1.8046875,-0.00783687663136909
-1.80078125,-0.0112033637594121
-1.796875,-0.0148961833955668
-1.79296875,-0.0187562347846464
-1.7890625,-0.0226160499882028
-1.78515625,-0.0263070362324215
-1.78125,-0.0296668721443106
-1.77734375,-0.0325467342848226
-1.7734375,-0.0348180266966149
-1.76953125,-0.0363782980896509
-1.765625,-0.0371560595118015
-1.76171875,-0.0371142595064902
-1.7578125,-0.0362522322250413
-1.75390625,-0.034606003912496
-1.75,-0.0322469207774245
-1.74609375,-0.0292786419554722
-1.7421875,-0.0258326202890286
-1.73828125,-0.0220622663825506
-1.734375,-0.018136053897408
-1.73046875,-0.0142298733249388
-1.7265625,-0.0105189756656245
-1.72265625,-0.0071698658513481
-1.71875,-0.00433250870959434
-1.71484375,-0.00213319889997512
-1.7109375,-0.000668422146286271
-1.70703125,0
-1.703125,-0.000151765968733269
-1.69921875,-0.00110796852995659
-1.6953125,-0.00281353741638524
-1.69140625,-0.00517628444822736
-1.6875,-0.00807103986815557
-1.68359375,-0.0113456505506995
-1.6796875,-0.0148286890059046
-1.67578125,-0.0183386438828728
-1.671875,-0.0216942866870748
-1.66796875,-0.0247258395509749
-1.6640625,-0.0272865097893521
-1.66015625,-0.0292639136761035
-1.65625,-0.0305908892961572
-1.65234375,-0.0312552005329996
-1.6484375,-0.0313076638034957
-1.64453125,-0.0308682864724054
-1.640625,-0.0301300888845222
-1.63671875,-0.0293603859998137
-1.6328125,-0.0288994228374512
-1.62890625,-0.0291563819269807
-1.625,-0.0306029017492774
-1.62109375,-0.0337643542302575
-1.6171875,-0.0392092197040498
-1.61328125,-0.0475369645923451
-1.609375,-0.0593648681865014
-1.60546875,-0.0753142608462577
-1.6015625,-0.0959966294240292
-1.59765625,-0.12200002126378
-1.59375,-0.153876141135531
-1.58984375,-0.192128491564647
-1.5859375,-0.237201861323428
-1.58203125,-0.289473423482793
-1.578125,-0.349245666132067
-1.57421875,-0.416741346908018
-1.5703125,-0.492100636553855
-1.56640625,-0.575380595182057
-1.5625,-0.666557104895623
-1.55859375,-0.765529360223093
-1.5546875,-0.872126989260559
-1.55078125,-0.986119839305499
-1.546875,-1.1072304074766
-1.54296875,-1.23514882687647
-1.5390625,-1.36955023162473
-1.53515625,-1.51011422134983
-1.53125,-1.65654603214409
-1.52734375,-1.80859890427005
-1.5234375,-1.96609702755727
-1.51953125,-2.12895835593551
-1.515625,-2.29721652604389
-1.51171875,-2.47104110330571
-1.5078125,-2.65075542106182
-1.50390625,-2.83685137808179
-1.5,-3.03000071447903
-1.49609375,-3.23106248654578
-1.4921875,-3.44108669224373
-1.48828125,-3.66131424202873
-1.484375,-3.89317370408429
-1.48046875,-4.13827546035
-1.4765625,-4.39840407584149
-1.47265625,-4.67550980090012
-1.46875,-4.97170019361581
-1.46484375,-5.2892328741443
-1.4609375,-5.63051041630947
-1.45703125,-5.99807836146806
-1.453125,-6.39462732477982
-1.44921875,-6.82300017637423
-1.4453125,-7.28620534281837
-1.44140625,-7.78743741391197
-1.4375,-8.33010648746414
-1.43359375,-8.91787808105326
-1.4296875,-9.55472604176809
-1.42578125,-10.2450017763961
-1.421875,-10.9935244329678
-1.41796875,-11.805698588022
-1.4140625,-12.6876688445024
-1.41015625,-13.6465250199395
-1.40625,-14.6905781003102
-1.40234375,-15.8297371262081
-1.3984375,-17.0760326600024
-1.39453125,-18.4443563630909
-1.390625,-19.9535217819097
-1.38671875,-21.627798077479
-1.3828125,-23.4991001654456
-1.37890625,-25.6098853575962
-1.375,-28.0157690315168
-1.37109375,-30.781310478302
