c1,c2
-1.99609375,-121.978018733936
-1.9921875,-121.975196768396
-1.98828125,-121.970496924075
-1.984375,-121.963924336673
-1.98046875,-121.955486167608
-1.9765625,-121.945191570217
-1.97265625,-121.933051668328
-1.96875,-121.919079498152
-1.96484375,-121.903289958199
-1.9609375,-121.885699764719
-1.95703125,-121.866327381504
-1.953125,-121.845192944517
-1.94921875,-121.822318198474
-1.9453125,-121.797726413347
-1.94140625,-121.771442299231
-1.9375,-121.743491926389
-1.93359375,-121.713902626117
-1.9296875,-121.682702914723
-1.92578125,-121.649922383352
-1.921875,-121.615591617109
-1.91796875,-121.579742093354
-1.9140625,-121.542406089125
-1.91015625,-121.50361658707
-1.90625,-121.463407185055
-1.90234375,-121.421811995063
-1.8984375,-121.378865567585
-1.89453125,-121.334602795064
-1.890625,-121.289058820441
-1.88671875,-121.242268974992
-1.8828125,-121.194268678133
-1.87890625,-121.145093372118
-1.875,-121.094778455594
-1.87109375,-121.043359201943
-1.8671875,-120.990870702758
-1.86328125,-120.937347807222
-1.859375,-120.882825064723
-1.85546875,-120.827336667676
-1.8515625,-120.770916409535
-1.84765625,-120.713597639495
-1.84375,-120.655413213666
-1.83984375,-120.596395466217
-1.8359375,-120.536576174446
-1.83203125,-120.475986527301
-1.828125,-120.414657093577
-1.82421875,-120.352617810777
-1.8203125,-120.289897958711
-1.81640625,-120.226526136376
-1.8125,-120.162530262353
-1.80859375,-120.097937548698
-1.8046875,-120.032774502548
-1.80078125,-119.967066913838
-1.796875,-119.900839855398
-1.79296875,-119.834117680489
-1.7890625,-119.766924015545
-1.78515625,-119.699281774419
-1.78125,-119.631213152829
-1.77734375,-119.562739631667
-1.7734375,-119.493881996275
-1.76953125,-119.424660328408
-1.765625,-119.355094020143
-1.76171875,-119.285201791558
-1.7578125,-119.215001687183
-1.75390625,-119.144511099704
-1.75,-119.073746776707
-1.74609375,-119.002724830446
-1.7421875,-118.931460757618
-1.73828125,-118.859969443023
-1.734375,-118.788265187215
-1.73046875,-118.716361706328
-1.7265625,-118.64427215592
-1.72265625,-118.572009142606
-1.71875,-118.499584737487
-1.71484375,-118.427010488362
-1.7109375,-118.354297442333
-1.70703125,-118.281456153307
-1.703125,-118.208496697828
-1.69921875,-118.135428688954
-1.6953125,-118.062261295065
-1.69140625,-117.989003245528
-1.6875,-117.915662853519
-1.68359375,-117.842248019993
-1.6796875,-117.76876625831
-1.67578125,-117.695224693069
-1.671875,-117.621630088625
-1.66796875,-117.54798884966
-1.6640625,-117.474307038518
-1.66015625,-117.400590386341
-1.65625,-117.326844306901
-1.65234375,-117.253073903363
-1.6484375,-117.179283985294
-1.64453125,-117.105479075311
-1.640625,-117.031663418978
-1.63671875,-116.957840997536
-1.6328125,-116.884015536697
-1.62890625,-116.810190515805
-1.625,-116.736369175207
-1.62109375,-116.662554525319
-1.6171875,-116.588749360147
-1.61328125,-116.514956256673
-1.609375,-116.441177592928
-1.60546875,-116.367415549195
-1.6015625,-116.293672121367
-1.59765625,-116.219949126856
-1.59375,-116.146248212566
-1.58984375,-116.072570863193
-1.5859375,-115.998918408378
-1.58203125,-115.925292028223
-1.578125,-115.851692755208
-1.57421875,-115.778121482549
-1.5703125,-115.704578966111
-1.56640625,-115.63106582419
-1.5625,-115.55758254472
-1.55859375,-115.484129484869
-1.5546875,-115.410706881698
-1.55078125,-115.337314850678
-1.546875,-115.263953400726
-1.54296875,-115.190622440384
-1.5390625,-115.117321786612
-1.53515625,-115.044051177516
-1.53125,-114.970810279143
-1.52734375,-114.897598692361
-1.5234375,-114.82441595679
-1.51953125,-114.751261549136
-1.515625,-114.678134878421
-1.51171875,-114.605035279232
-1.5078125,-114.531962002178
-1.50390625,-114.458914203457
-1.5,-114.385890935987
-1.49609375,-114.312891147566
-1.4921875,-114.239913685141
-1.48828125,-114.166957301797
-1.484375,-114.094020679929
-1.48046875,-114.021102453815
-1.4765625,-113.948201241176
-1.47265625,-113.875315669515
-1.46875,-113.802444401302
-1.46484375,-113.729586143256
-1.4609375,-113.656739645371
-1.45703125,-113.583903676739
-1.453125,-113.511076992197
-1.44921875,-113.438258280959
-1.4453125,-113.36544611944
-1.44140625,-113.292638924442
-1.4375,-113.219834930397
-1.43359375,-113.147032188737
-1.4296875,-113.07422860342
