c1,c2
-0.49609375,0
-0.4921875,0
-0.48828125,-1.44649119982993e-15
-0.484375,0
-0.48046875,-1.44649119982993e-15
-0.4765625,-1.44649119982993e-15
-0.47265625,-4.82163733276644e-16
-0.46875,0
-0.46484375,-4.82163733276644e-16
-0.4609375,0
-0.45703125,-1.44649119982993e-15
-0.453125,-4.82163733276644e-16
-0.44921875,-1.44649119982993e-15
-0.4453125,0
-0.44140625,0
-0.4375,0
-0.43359375,-1.44649119982993e-15
-0.4296875,-4.82163733276644e-16
-0.42578125,-1.44649119982993e-15
-0.421875,-1.44649119982993e-15
-0.41796875,-1.44649119982993e-15
-0.4140625,0
-0.41015625,0
-0.40625,-1.44649119982993e-15
-0.40234375,-1.44649119982993e-15
-0.3984375,0
-0.39453125,-1.44649119982993e-15
-0.390625,-1.44649119982993e-15
-0.38671875,0
-0.3828125,0
-0.37890625,-1.44649119982993e-15
-0.375,-4.82163733276644e-16
-0.37109375,-1.44649119982993e-15
-0.3671875,0
-0.36328125,0
-0.359375,-1.44649119982993e-15
-0.35546875,-1.44649119982993e-15
-0.3515625,0
-0.34765625,-1.44649119982993e-15
-0.34375,-1.44649119982993e-15
-0.33984375,0
-0.3359375,0
-0.33203125,-1.44649119982993e-15
-0.328125,-1.44649119982993e-15
-0.32421875,-1.44649119982993e-15
-0.3203125,-4.82163733276644e-16
-0.31640625,-1.44649119982993e-15
-0.3125,0
-0.30859375,0
-0.3046875,0
-0.30078125,-1.44649119982993e-15
-0.296875,-4.82163733276644e-16
-0.29296875,-1.44649119982993e-15
-0.2890625,0
-0.28515625,-4.82163733276644e-16
-0.28125,0
-0.27734375,-4.82163733276644e-16
-0.2734375,-1.44649119982993e-15
-0.26953125,-1.44649119982993e-15
-0.265625,0
-0.26171875,-1.44649119982993e-15
-0.2578125,0
-0.25390625,0
-0.25,-4.82163733276644e-16
-0.24609375,0
-0.2421875,0
-0.23828125,-1.44649119982993e-15
-0.234375,0
-0.23046875,-1.44649119982993e-15
-0.2265625,-1.44649119982993e-15
-0.22265625,-4.82163733276644e-16
-0.21875,0
-0.21484375,-4.82163733276644e-16
-0.2109375,0
-0.20703125,-1.44649119982993e-15
-0.203125,-4.82163733276644e-16
-0.19921875,-1.44649119982993e-15
-0.1953125,0
-0.19140625,0
-0.1875,0
-0.18359375,-1.44649119982993e-15
-0.1796875,-4.82163733276644e-16
-0.17578125,-1.44649119982993e-15
-0.171875,-1.44649119982993e-15
-0.16796875,-1.44649119982993e-15
-0.1640625,0
-0.16015625,0
-0.15625,-1.44649119982993e-15
-0.15234375,-1.44649119982993e-15
-0.1484375,0
-0.14453125,-1.44649119982993e-15
-0.140625,-1.44649119982993e-15
-0.13671875,0
-0.1328125,0
-0.12890625,-1.44649119982993e-15
-0.125,-4.82163733276644e-16
-0.12109375,-1.44649119982993e-15
-0.1171875,0
-0.11328125,0
-0.109375,-1.44649119982993e-15
-0.10546875,-1.44649119982993e-15
-0.1015625,0
-0.09765625,-1.44649119982993e-15
-0.09375,-1.44649119982993e-15
-0.08984375,0
-0.0859375,0
-0.08203125,-1.44649119982993e-15
-0.078125,-1.44649119982993e-15
-0.07421875,-1.44649119982993e-15
-0.0703125,-4.82163733276644e-16
-0.06640625,-1.44649119982993e-15
-0.0625,0
-0.05859375,0
-0.0546875,0
-0.05078125,-1.44649119982993e-15
-0.046875,-4.82163733276644e-16
-0.04296875,-1.44649119982993e-15
-0.0390625,0
-0.03515625,-4.82163733276644e-16
-0.03125,0
-0.02734375,-4.82163733276644e-16
-0.0234375,-1.44649119982993e-15
-0.01953125,-1.44649119982993e-15
-0.015625,0
-0.01171875,-1.44649119982993e-15
-0.0078125,0
-0.00390625,0
0,-4.82163733276644e-16
0.00390625,0
0.0078125,0
0.01171875,-1.44649119982993e-15
0.015625,0
0.01953125,-1.44649119982993e-15
0.0234375,-1.44649119982993e-15
0.02734375,-4.82163733276644e-16
0.03125,0
0.03515625,-4.82163733276644e-16
0.0390625,0
0.04296875,-1.44649119982993e-15
0.046875,-4.82163733276644e-16
0.05078125,-1.44649119982993e-15
0.0546875,0
0.05859375,0
0.0625,0
0.06640625,-1.44649119982993e-15
0.0703125,-4.82163733276644e-16
0.07421875,-1.44649119982993e-15
0.078125,-1.44649119982993e-15
0.08203125,-1.44649119982993e-15
0.0859375,0
0.08984375,0
0.09375,-1.44649119982993e-15
0.09765625,-1.44649119982993e-15
0.1015625,0
0.10546875,-1.44649119982993e-15
0.109375,-1.44649119982993e-15
0.11328125,0
0.1171875,0
0.12109375,-1.44649119982993e-15
0.125,-4.82163733276644e-16
0.12890625,-1.44649119982993e-15
0.1328125,0
0.13671875,0
0.140625,-1.44649119982993e-15
0.14453125,-1.44649119982993e-15
0.1484375,0
0.15234375,-1.44649119982993e-15
0.15625,-1.44649119982993e-15
0.16015625,0
0.1640625,0
0.16796875,-1.44649119982993e-15
0.171875,-1.44649119982993e-15
