c1,c2
0,-1.98182268159491e-05
0.25,-4.97265545133817e-05
0.5,-6.67853768351495e-05
0.75,-5.96296747162291e-05
1,-2.41132489745804e-05
1.25,3.26967641738027e-05
1.5,9.22497902327126e-05
1.75,0.000129205101333086
2,0.000120519525222487
2.25,5.62591361187807e-05
2.5,-5.20952831519513e-05
2.75,-0.000170248969310521
3,-0.000249287497504252
3.25,-0.000242744599475157
3.5,-0.000127710243166906
3.75,7.80756529253919e-05
4,0.000311842464731481
4.25,0.000479828071837466
4.5,0.000489043156256269
4.75,0.000288051212940902
5,-9.85187801418991e-05
5.25,-0.000558800861187383
5.5,-0.000917702922056634
5.75,-0.000995875698079864
6,-0.000687803404853012
6.25,-2.98981859620825e-05
6.5,0.000774812887094699
6.75,0.00139942580178034
7,0.00150425727373593
7.25,0.0008866708490283
7.5,-0.000386464248605322
7.75,-0.00192878437371087
8,-0.0031140948732791
8.25,-0.00328810706741646
8.5,-0.00205561198959133
8.75,0.000464106488341349
9,0.00353753442953271
9.25,0.00596270289760947
9.5,0.00646668549199933
9.75,0.00425130408836602
10,-0.000511363794230066
10.25,-0.006466873841924
10.5,-0.0113259402726034
10.75,-0.0125979204122799
11,-0.00863183588397083
11.25,0.000400306182436068
11.5,0.0120254057279078
11.75,0.0218548088314506
12,0.0249205941070066
12.25,0.0176637889492056
12.5,-8.55398990388737e-05
12.75,-0.0239657783409339
13,-0.0454616288448666
13.25,-0.0540113604392157
13.5,-0.0403871749033297
13.75,-0.000287420856781475
14,0.0631915827505609
14.25,0.139301532805069
14.5,0.211989603387784
14.75,0.264280031273065
15,0.283306609949508
15.25,0.264280031273064
15.5,0.211989603387784
15.75,0.139301532805071
16,0.0631915827505656
16.25,-0.000287420856773186
16.5,-0.0403871749033189
16.75,-0.0540113604392044
17,-0.0454616288448572
17.25,-0.0239657783409282
17.5,-8.55398990374129e-05
17.75,0.0176637889492037
18,0.0249205941070029
18.25,0.0218548088314471
18.5,0.0120254057279057
18.75,0.000400306182435964
19,-0.0086318358839692
19.25,-0.0125979204122773
19.5,-0.011325940272601
19.75,-0.00646687384192257
20,-0.000511363794229903
20.25,0.00425130408836513
20.5,0.00646668549199798
20.75,0.00596270289760834
21,0.00353753442953228
21.25,0.00046410648834179
21.5,-0.00205561198959018
21.75,-0.00328810706741496
22,-0.00311409487327767
22.25,-0.00192878437370983
22.5,-0.000386464248604789
22.75,0.000886670849028375
23,0.00150425727373573
23.25,0.00139942580178006
23.5,0.00077481288709452
23.75,-2.98981859620817e-05
24,-0.000687803404852845
24.25,-0.000995875698079613
24.5,-0.000917702922056401
24.75,-0.00055880086118725
25,-9.85187801418958e-05
25.25,0.0002880512129408
25.5,0.00048904315625612
25.75,0.000479828071837335
26,0.000311842464731417
26.25,7.8075652925411e-05
26.5,-0.000127710243166819
26.75,-0.000242744599475037
27,-0.000249287497504141
27.25,-0.00017024896931045
27.5,-5.20952831519354e-05
27.75,5.62591361187467e-05
28,0.000120519525222422
28.25,0.000129205101333016
28.5,9.22497902326566e-05
28.75,3.2696764173773e-05
29,-2.41132489745829e-05
29.25,-5.9629674716212e-05
29.5,-6.67853768351245e-05
29.75,-4.97265545133602e-05
30,-1.98182268159382e-05
30.25,9.86426619895504e-06
30.5,2.93471277933462e-05
30.75,3.44092699550736e-05
31,2.66771407756385e-05
31.25,1.1722527224416e-05
31.5,-3.73219963280468e-06
31.75,-1.43509350882332e-05
32,-1.76655678620893e-05
32.25,-1.42461781797063e-05
32.5,-6.80562035563859e-06
32.75,1.21254148778135e-06
33,6.96625685448916e-06
33.25,9.03583966257394e-06
33.5,7.57447486739796e-06
33.75,3.89261576977344e-06
34,-2.52383598933784e-07
34.25,-3.35326064442913e-06
34.5,-4.60412163101793e-06
34.75,-4.01041149729685e-06
35,-2.19938556224481e-06
35.25,-6.43867287498564e-08
35.5,1.59846762438266e-06
35.75,2.33671127995083e-06
36,2.11486819627251e-06
36.25,1.22997256954255e-06
36.5,1.34314660833205e-07
36.75,-7.53252045512526e-07
37,-1.18105850546768e-06
37.25,-1.11095515975675e-06
37.5,-6.81804398471529e-07
37.75,-1.21626312589279e-07
38,3.50048230062094e-07
38.25,5.94368105987256e-07
38.5,5.81400023756876e-07
38.75,3.75043368994608e-07
39,8.97394095588379e-08
39.25,-1.59877265982788e-07
39.5,-2.97745373620605e-07
39.75,-3.03146091595649e-07
40,-2.04899091739743e-07
40.25,-6.01678292248836e-08
40.5,7.14062708855797e-08
40.75,1.48423057102728e-07
41,1.57488231352077e-07
41.25,1.11259096629499e-07
41.5,3.81425323989294e-08
41.75,-3.09438200744248e-08
42,-7.35959088651602e-08
42.25,-8.1521569312117e-08
42.5,-6.00769649362103e-08
42.75,-2.33000568698814e-08
43,1.28395943619301e-08
43.25,3.62819559794986e-08
43.5,4.2045828163846e-08
43.75,3.2273860069686e-08
44,1.38608191911325e-08
44.25,-4.97467864116507e-09
44.5,-1.7772547233158e-08
44.75,-2.16065492593871e-08
45,-1.72552442457864e-08
45.25,-8.0819640853266e-09
45.5,1.69921252226412e-09
45.75,8.64371984388981e-09
46,1.10620164922703e-08
46.25,9.18429460633235e-09
46.5,4.6386283354484e-09
46.75,-4.22340976729569e-10
47,-4.16988507771945e-09
47.25,-5.64197523371927e-09
47.5,-4.86774620114624e-09
47.75,-2.62836701830705e-09
48,-1.92037659265619e-11
48.25,1.99286308400623e-09
48.5,2.86631404429414e-09
48.75,2.56950841138145e-09
49,1.47342071828994e-09
49.25,1.33193091434952e-10
49.5,-9.41987590892909e-10
49.75,-1.45025472778556e-09
50,-1.35106833065805e-09
50.25,-8.18455615994458e-10
50.5,-1.32590854904326e-10
50.75,4.39398656237085e-10
51,7.30646143589023e-10
51.25,7.077170601102e-10
51.5,4.51035637007118e-10
51.75,1.01379555573166e-10
52,-2.01634403501081e-10
52.25,-3.6644233285076e-10
52.5,-3.69345989079628e-10
52.75,-2.46818211072404e-10
53,-6.92634218156565e-11
53.25,9.06134297834905e-11
53.5,1.82897733001928e-10
53.75,1.92053511541317e-10
54,1.34218370362021e-10
54.25,4.4425331105659e-11
54.5,-3.96019311893015e-11
54.75,-9.0814033556855e-11
55,-9.95034687151741e-11
55.25,-7.25719282858263e-11
55.5,-2.7356770837425e-11
55.75,1.66393912378443e-11
56,4.48372843752983e-11
56.25,5.13667150773558e-11
56.5,3.90347466641855e-11
56.75,1.63701860933612e-11
57,-6.58094634107442e-12
57.25,-2.19997972683129e-11
57.5,-2.64205605072274e-11
57.75,-2.08941767436802e-11
58,-9.58847255141731e-12
58.25,2.34070674528463e-12
