c1,c2
-3.99609375,-148.315964506996
-3.9921875,-148.315923864347
-3.98828125,-148.31585612988
-3.984375,-148.315761299248
-3.98046875,-148.315639386399
-3.9765625,-148.315490368797
-3.97265625,-148.315314269579
-3.96875,-148.315111080652
-3.96484375,-148.314880792898
-3.9609375,-148.314623369544
-3.95703125,-148.314338886778
-3.953125,-148.314027306717
-3.94921875,-148.313688596577
-3.9453125,-148.313322758854
-3.94140625,-148.312929830432
-3.9375,-148.3125097816
-3.93359375,-148.312062622677
-3.9296875,-148.311588336992
-3.92578125,-148.31108690685
-3.921875,-148.310558371021
-3.91796875,-148.310002681605
-3.9140625,-148.309419863022
-3.91015625,-148.308809886404
-3.90625,-148.308172795432
-3.90234375,-148.307508514384
-3.8984375,-148.306817082566
-3.89453125,-148.306098520474
-3.890625,-148.305352756311
-3.88671875,-148.304579799871
-3.8828125,-148.303779665598
-3.87890625,-148.302952351908
-3.875,-148.302097837754
-3.87109375,-148.301216149032
-3.8671875,-148.300307181439
-3.86328125,-148.29937102506
-3.859375,-148.298407667462
-3.85546875,-148.297417047155
-3.8515625,-148.296399199075
-3.84765625,-148.295354091744
-3.84375,-148.29428175912
-3.83984375,-148.293182132376
-3.8359375,-148.292055196176
-3.83203125,-148.290900984838
-3.828125,-148.289719560804
-3.82421875,-148.288510749578
-3.8203125,-148.287274653988
-3.81640625,-148.286011219112
-3.8125,-148.28472045032
-3.80859375,-148.283402321462
-3.8046875,-148.282056837161
-3.80078125,-148.280684031811
-3.796875,-148.279283761287
-3.79296875,-148.27785618836
-3.7890625,-148.276401182347
-3.78515625,-148.274918752135
-3.78125,-148.273408908649
-3.77734375,-148.271871598984
-3.7734375,-148.270306889515
-3.76953125,-148.268714676599
-3.765625,-148.267095014652
-3.76171875,-148.265447820733
-3.7578125,-148.263773132299
-3.75390625,-148.262070960188
-3.75,-148.260341217549
-3.74609375,-148.258583958569
-3.7421875,-148.256799119436
-3.73828125,-148.254986700382
-3.734375,-148.253146668568
-3.73046875,-148.251279070748
-3.7265625,-148.24938382005
-3.72265625,-148.247460980585
-3.71875,-148.245510454409
-3.71484375,-148.243532265981
-3.7109375,-148.24152639812
-3.70703125,-148.239492805883
-3.703125,-148.23743156199
-3.69921875,-148.235342474415
-3.6953125,-148.233225722579
-3.69140625,-148.231081170168
-3.6875,-148.228908805673
-3.68359375,-148.226708655511
-3.6796875,-148.224480664421
-3.67578125,-148.22222485339
-3.671875,-148.219941132648
-3.66796875,-148.217629625053
-3.6640625,-148.215290126842
-3.66015625,-148.21292269689
-3.65625,-148.210527386587
-3.65234375,-148.208104098017
-3.6484375,-148.20565284829
-3.64453125,-148.203173577042
-3.640625,-148.200666264763
-3.63671875,-148.198130948293
-3.6328125,-148.195567552525
-3.62890625,-148.19297602996
-3.625,-148.190356453262
-3.62109375,-148.187708736384
-3.6171875,-148.185032857942
-3.61328125,-148.182328817738
-3.609375,-148.179596529951
-3.60546875,-148.176836071947
-3.6015625,-148.174047372863
-3.59765625,-148.17123038524
-3.59375,-148.168385104085
-3.58984375,-148.165511548186
-3.5859375,-148.162609623852
-3.58203125,-148.159679330062
-3.578125,-148.156720660482
-3.57421875,-148.153733567147
-3.5703125,-148.150718048164
-3.56640625,-148.147674053047
-3.5625,-148.144601552722
-3.55859375,-148.141500557903
-3.5546875,-148.138371013974
-3.55078125,-148.135212900817
-3.546875,-148.132026166618
-3.54296875,-148.1288108517
-3.5390625,-148.125566840711
-3.53515625,-148.122294164871
-3.53125,-148.118992823536
-3.52734375,-148.115662697323
-3.5234375,-148.112303823799
-3.51953125,-148.108916146815
-3.515625,-148.105499668973
-3.51171875,-148.102054307786
-3.5078125,-148.098580093889
-3.50390625,-148.095076965806
-3.5,-148.09154486111
-3.49609375,-148.087983827185
-3.4921875,-148.084393780017
-3.48828125,-148.080774699689
-3.484375,-148.077126523381
-3.48046875,-148.073449299184
-3.4765625,-148.06974291223
-3.47265625,-148.066007346303
-3.46875,-148.062242609599
-3.46484375,-148.058448648839
-3.4609375,-148.054625426128
-3.45703125,-148.050772921821
-3.453125,-148.046891077295
-3.44921875,-148.042979859764
-3.4453125,-148.03903930004
-3.44140625,-148.035069259953
-3.4375,-148.031069786249
-3.43359375,-148.02704080327
-3.4296875,-148.022982281113
-3.42578125,-148.018894187514
-3.421875,-148.014776465179
-3.41796875,-148.010629132729
-3.4140625,-148.006452092167
-3.41015625,-148.002245362247
