c1,c2
0,1.06435370557048e-07
0.125,-3.21713822485858e-08
0.25,-1.98354649807194e-07
0.375,-3.27385673616317e-07
0.5,-3.5138175253472e-07
0.625,-2.28187588306082e-07
0.75,3.23572187332645e-08
0.875,3.57094224212364e-07
1,6.22639240643511e-07
1.125,6.94487129376026e-07
1.25,4.82772164145576e-07
1.375,-4.80708072548562e-09
1.5,-6.37009184804231e-07
1.625,-1.17954330220634e-06
1.75,-1.36701451041951e-06
1.875,-1.01018934922737e-06
2,-1.02073447868111e-07
2.125,1.12417220806978e-06
2.25,2.22542225821461e-06
2.375,2.68013400990395e-06
2.5,2.09394476266063e-06
2.625,4.11252481216208e-07
2.75,-1.95840430654751e-06
2.875,-4.18035474652757e-06
3,-5.23369366783073e-06
3.125,-4.30394437068179e-06
3.25,-1.20319354306492e-06
3.375,3.35870067272617e-06
3.5,7.81589997809188e-06
3.625,1.01773044033812e-05
3.75,8.7740567536323e-06
3.875,3.09070100802722e-06
4,-5.66022159004014e-06
4.125,-1.4550259799801e-05
4.25,-1.97057968916842e-05
4.375,-1.77280395810007e-05
4.5,-7.33454346924443e-06
4.625,9.43219173171055e-06
4.75,2.70918658915342e-05
4.875,3.80927088426017e-05
5,3.55091636052983e-05
5.125,1.62962711886059e-05
5.25,-1.61519566113392e-05
5.375,-5.14708178610632e-05
5.5,-7.46773901107781e-05
5.625,-7.12849572655799e-05
5.75,-3.38468304721433e-05
5.875,3.23910444612935e-05
6,0.000107333843164195
6.125,0.000159256969784107
6.25,0.000153590163626508
6.375,6.5276820233767e-05
6.5,-0.000109154818179156
6.625,-0.00034439745254634
6.75,-0.000587691970528343
6.875,-0.000769805617406228
7,-0.000823490288736506
7.125,-0.000704374768868547
7.25,-0.000407918799658537
7.375,2.31890572028545e-05
7.5,0.000504249870180674
7.625,0.000925968972437088
7.75,0.00118028402284012
7.875,0.00118840554778477
8,0.000923902736705574
8.125,0.000424404743627934
8.25,-0.000212075364644952
8.375,-0.000846456110233187
8.5,-0.00132968512388467
8.625,-0.00153845792035857
8.75,-0.00140692422164286
8.875,-0.000946474436261073
9,-0.000248278662013468
9.125,0.000533045917644627
9.25,0.00121216249045516
9.375,0.0016157869125619
9.5,0.00162620379778694
9.625,0.00121504411123052
9.75,0.000458144498312459
9.875,-0.000473838615700756
10,-0.00134883859232221
10.125,-0.00192483270362639
10.25,-0.00200884102513391
10.375,-0.00151056793559831
